fecha,ultima,apertura,maximo,minimo,vol,varianza
20171226,491.65,491.65,491.65,491.65,0.35k,13.26
20171206,434.10,434.10,434.10,434.10,1.49k,4.35
20171114,416.00,416.00,416.00,416.00,0.14k,1.46
20171107,410.00,410.00,410.00,410.00,0.10k,-3.79
20171011,426.15,426.15,426.15,426.15,4.00k,15.21
20170713,369.90,369.90,369.90,369.90,4.86k,-3.93
20170705,385.05,385.05,385.05,385.05,0.05k,3.18
20170703,373.20,373.20,373.20,373.20,0.48k,1.00
20170621,369.50,369.50,369.50,369.50,1.00k,0.35
20170522,368.20,355.00,368.20,355.00,3.53k,3.54
20170516,355.60,355.60,355.60,355.60,7.31k,-7.15
20170328,383.00,383.00,383.00,383.00,0.50k,-0.56
20170313,385.15,385.15,385.15,385.15,0.50k,2.98
20170213,374.00,374.00,374.00,374.00,0.09k,-1.37
20170202,379.20,379.20,379.20,379.20,2.00k,-1.96
20170201,386.80,386.80,386.80,386.80,1.04k,-1.34
20170130,392.05,392.05,392.05,392.05,5.60k,-2.23
20170124,401.00,401.00,401.00,401.00,4.00k,-4.40
20161221,419.44,419.44,419.44,419.44,1.00k,2.71
20161214,408.36,408.36,408.36,408.36,1.00k,14.07
20161110,358.00,358.00,358.00,358.00,3.00k,-11.64
20160906,405.15,405.15,405.15,405.15,1.10k,3.24
20160817,392.45,392.45,392.45,392.45,0.51k,-8.94
20160720,431.00,431.00,431.00,431.00,0.03k,0.00
20160719,431.00,431.00,431.00,431.00,6.40k,4.17
20160714,413.75,413.75,413.75,413.75,0.08k,-1.69
20160706,420.85,420.85,420.85,420.85,2.00k,21.87
20160524,345.34,345.34,345.34,345.34,0.00k,-1.74
20160516,351.47,351.47,351.47,351.47,2.00k,-4.26
20160512,367.10,367.10,367.10,367.10,2.98k,0.10
20160426,366.75,366.75,366.75,366.75,1.96k,-0.69
20160425,369.30,369.30,369.30,369.30,2.20k,-0.99
20160412,373.00,373.00,373.00,373.00,0.02k,-5.94
20160331,396.55,396.40,396.55,396.40,0.35k,-0.21
20160330,397.39,397.39,397.39,397.39,0.37k,1.89
20160315,390.00,390.00,390.00,390.00,0.02k,-4.99
20160303,410.50,410.50,410.50,410.50,1.00k,-0.33
20160302,411.85,411.85,411.85,411.85,2.80k,3.91
20160224,396.35,396.35,396.35,396.35,5.30k,-0.79
20160223,399.50,399.50,399.50,399.50,2.40k,2.53
20160219,389.65,389.65,389.65,389.65,3.10k,0.45
20160217,387.90,387.90,387.90,387.90,9.40k,2.03
20160212,380.20,380.20,380.20,380.20,4.00k,3.85
20160204,366.10,366.10,366.10,366.10,6.00k,0.58
20160203,364.00,364.00,364.00,364.00,5.00k,0.25
20160202,363.10,363.10,363.10,363.10,9.00k,-1.60
20160201,369.00,369.00,369.00,369.00,7.70k,7.86
20160126,342.10,342.25,342.25,342.10,10.00k,6.31
20160108,321.80,321.80,321.80,321.80,0.76k,2.06
20151218,315.29,315.29,315.29,315.29,3.13k,2.90
20151009,306.40,306.40,306.40,306.40,0.10k,1.36
20151007,302.29,302.29,302.29,302.29,0.59k,-2.10
20150904,308.78,308.78,308.78,308.78,2.00k,-2.91
20150828,318.04,318.04,318.04,318.04,0.76k,16.20
20150608,273.69,273.69,273.69,273.69,2.00k,-4.07
20150529,285.30,285.30,285.30,285.30,2.80k,-2.96
20150508,294.00,294.00,294.00,294.00,0.33k,10.54
20141209,265.96,265.96,265.96,265.96,11.20k,-7.83
20141201,288.56,288.56,288.56,288.56,0.66k,0.57
20141126,286.93,286.93,286.93,286.93,0.33k,-8.32
20141103,312.98,312.98,312.98,312.98,2.75k,1.96
20141016,306.96,302.08,306.96,302.08,2.57k,24.26
20140731,247.03,247.03,247.03,247.03,0.20k,2.62
20140730,240.73,240.73,240.73,240.73,4.00k,-1.11
20140716,243.43,243.43,243.43,243.43,1.70k,2.86
20140703,236.65,236.65,236.65,236.65,4.00k,0.88
20140630,234.58,235.29,235.29,234.58,2.10k,14.09
20131230,205.61,205.61,205.61,205.61,1.88k,1.03
20130816,203.52,203.52,203.52,203.52,3.00k,-16.36
20130509,243.34,243.34,243.34,243.34,1.00k,21.35
20130403,200.53,200.53,200.53,200.53,4.29k,-2.96
20130327,206.64,206.64,206.64,206.64,1.98k,1.07
20130320,204.45,204.45,204.45,204.45,1.46k,0.54
20130319,203.35,203.35,203.35,203.35,3.44k,0.35
20130312,202.65,202.65,202.65,202.65,0.95k,22.12
20130129,165.95,165.95,165.95,165.95,1.20k,5.87
20130118,156.75,156.75,156.75,156.75,0.64k,6.97
20121123,146.53,146.53,146.53,146.53,0.74k,-2.15
20121114,149.75,149.80,149.80,149.75,0.66k,5.16
20120911,142.40,142.40,142.40,142.40,-,-2.70
20120905,146.35,146.40,146.40,146.35,2.13k,2.02
20120904,143.45,143.50,143.50,143.45,2.22k,1.81
20120828,140.90,139.20,140.95,139.20,1.53k,-1.19
20120824,142.60,142.60,142.60,142.60,0.70k,0.04
20120809,142.55,142.55,142.55,142.55,0.40k,-1.25
20120808,144.35,144.35,144.35,144.35,3.46k,-7.53
20120731,156.10,156.10,156.10,156.10,0.40k,1.23
20120723,154.20,154.20,154.20,154.20,6.49k,5.17
20120625,146.62,146.62,146.62,146.62,0.40k,2.32
20120615,143.29,143.29,143.29,143.29,2.80k,3.59
20120611,138.33,138.33,138.33,138.33,0.92k,8.27
20120530,127.76,127.76,127.76,127.76,0.60k,2.63
20120522,124.49,124.49,124.49,124.49,0.35k,3.25
20120515,120.57,120.57,120.57,120.57,2.46k,9.11
20120503,110.50,110.50,110.50,110.50,1.37k,10.25
20120413,100.23,100.23,100.23,100.23,3.96k,0.50
20120410,99.73,99.73,99.73,99.73,1.00k,0.44
20120327,99.29,99.29,99.29,99.29,1.96k,-0.19
20120326,99.48,99.48,99.48,99.48,0.59k,5.63
20120313,94.18,94.18,94.18,94.18,1.56k,-0.57
20120308,94.72,94.72,94.72,94.72,0.20k,0.72
20120307,94.04,93.64,94.04,93.64,1.98k,1.92
20120306,92.27,92.27,92.27,92.27,1.06k,2.34
20120229,90.16,90.16,90.16,90.16,0.98k,0.39
20120217,89.81,89.81,89.81,89.81,0.54k,-0.11
20120216,89.91,89.91,89.91,89.91,1.09k,2.00
20120209,88.15,88.19,88.19,88.15,1.22k,0.06
20120208,88.10,88.15,88.15,88.10,1.23k,0.51
20120206,87.65,87.46,87.65,87.46,2.70k,-2.00
20120105,89.44,89.44,89.44,89.44,0.80k,1.71
20111028,87.94,87.94,87.94,87.94,1.10k,10.41
20111011,79.65,79.65,79.65,79.65,0.10k,-0.11
20110923,79.74,79.74,79.74,79.74,1.44k,3.22
20110908,77.25,77.25,77.25,77.25,1.24k,2.02
20110826,75.72,75.72,75.72,75.72,0.10k,8.51
20110808,69.78,69.78,69.78,69.78,0.28k,-4.58
20110804,73.13,73.13,73.13,73.13,2.23k,-0.58
20110725,73.56,73.56,73.56,73.56,1.20k,-2.30
20110721,75.29,75.29,75.29,75.29,1.58k,0.32
20110720,75.05,75.05,75.05,75.05,1.90k,0.58
20110718,74.62,74.62,74.62,74.62,0.21k,1.44
20110624,73.56,73.56,73.56,73.56,1.29k,-5.12
20110428,77.53,77.53,77.53,77.53,0.43k,2.50
20110414,75.64,75.64,75.64,75.64,0.62k,-0.25
20110411,75.83,75.83,75.83,75.83,0.25k,-0.89
20110331,76.51,76.51,76.51,76.51,0.37k,4.94
20110322,72.91,72.91,72.91,72.91,0.32k,2.16
20110215,71.37,71.37,71.37,71.37,1.31k,3.66
20110202,68.85,68.85,68.85,68.85,0.67k,1.73
20110111,67.68,67.68,67.68,67.68,1.38k,-0.94
20110104,68.32,68.36,68.36,68.32,0.68k,1.17
20110103,67.53,67.53,67.53,67.53,0.47k,3.30
20101222,65.37,65.37,65.37,65.37,0.15k,8.82
20101115,60.07,60.02,60.07,60.02,8.01k,3.84
20101022,57.85,57.85,57.85,57.85,1.26k,-3.89
20101005,60.19,60.19,60.19,60.19,3.60k,27.28
20100721,47.29,47.29,47.29,47.29,0.98k,-1.79
20100712,48.15,48.15,48.15,48.15,0.37k,0.82
20100625,47.76,47.76,47.76,47.76,1.06k,-0.52
