fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,699.50,699.50,699.50,699.50,0.23k,41.02
20171019,496.03,496.03,496.03,496.03,0.04k,-0.24
20171017,497.23,497.23,497.23,497.23,0.06k,-0.36
20171013,499.01,499.01,499.01,499.01,0.06k,0.00
20171011,499.01,499.01,499.01,499.01,5.10k,10.58
20170907,451.25,451.25,451.25,451.25,0.11k,0.00
20170829,451.25,450.00,451.25,450.00,0.09k,0.00
20170828,451.25,451.25,451.25,451.25,0.11k,-5.00
20170823,475.00,475.00,475.00,475.00,0.02k,0.32
20170811,473.50,477.70,477.70,473.50,0.30k,-6.24
20170808,505.00,505.00,505.00,505.00,0.16k,2.69
20170804,491.75,491.75,491.75,491.75,0.03k,5.00
20170801,468.35,468.35,468.35,468.35,0.07k,1.87
20170725,459.75,459.75,459.75,459.75,1.40k,3.14
20170724,445.75,445.75,445.75,445.75,1.20k,8.40
20170622,411.20,411.20,411.20,411.20,0.08k,-1.15
20170621,416.00,416.00,416.00,416.00,0.90k,-2.18
20170522,425.25,425.25,425.25,425.25,4.65k,10.17
20170425,386.00,386.00,386.00,386.00,0.01k,5.78
20170328,364.90,365.00,365.00,364.90,0.83k,0.68
20170327,362.45,362.45,362.45,362.45,0.05k,0.12
20170323,362.00,362.00,362.00,362.00,0.05k,-0.78
20170321,364.85,364.85,364.85,364.85,0.01k,-0.59
20170315,367.00,367.00,367.00,367.00,0.05k,-0.15
20170314,367.55,367.55,367.55,367.55,0.08k,0.95
20170313,364.10,364.10,364.10,364.10,1.50k,1.14
20170301,360.00,360.00,360.00,360.00,0.05k,2.86
20170221,350.00,350.00,350.00,350.00,0.03k,-0.43
20170217,351.50,351.70,352.00,351.50,1.06k,-0.14
20170216,352.00,352.00,352.00,352.00,0.09k,-0.14
20170215,352.50,352.50,352.50,352.50,0.10k,-0.04
20170213,352.65,352.65,352.65,352.65,0.00k,0.09
20170202,352.35,352.35,352.35,352.35,4.20k,-2.02
20170124,359.60,359.60,359.60,359.60,6.02k,-5.99
20161221,382.50,382.50,382.50,382.50,0.30k,0.82
20161214,379.40,379.40,379.40,379.40,3.00k,5.39
20161213,360.00,365.00,365.00,360.00,0.10k,0.00
20161212,360.00,360.00,360.00,360.00,0.10k,-2.70
20161130,370.00,370.00,370.00,370.00,0.10k,1.26
20161110,365.40,365.40,365.40,365.40,7.50k,4.40
20161107,350.00,345.00,350.00,345.00,0.22k,0.72
20161007,347.50,347.50,347.50,347.50,1.69k,-5.08
20161005,366.10,366.10,366.10,366.10,0.01k,0.00
20161004,366.10,366.10,366.10,366.10,1.50k,1.30
20160920,361.40,361.40,361.40,361.40,2.50k,-0.99
20160818,365.00,365.00,365.00,365.00,0.06k,1.25
20160817,360.50,360.50,360.50,360.50,1.37k,-2.75
20160804,370.70,370.70,370.70,370.70,0.01k,0.00
20160802,370.70,370.70,370.70,370.70,0.01k,0.00
20160726,370.70,370.70,370.70,370.70,2.85k,-2.58
20160719,380.50,380.50,380.50,380.50,9.66k,2.60
20160711,370.85,370.85,370.85,370.85,0.03k,0.00
20160706,370.85,370.85,370.85,370.85,4.50k,12.98
20160616,328.25,328.25,328.25,328.25,1.05k,-3.46
20160615,340.00,340.00,340.00,340.00,-,3.03
20160609,330.00,330.00,330.00,330.00,0.02k,3.55
20160512,318.70,318.70,318.70,318.70,4.47k,-4.29
20160426,332.97,332.97,332.97,332.97,3.24k,-0.31
20160330,334.00,334.00,334.00,334.00,0.03k,-2.59
20160303,342.87,342.87,342.87,342.87,1.58k,-2.07
20160302,350.12,350.12,350.12,350.12,4.92k,1.58
20160224,344.66,344.46,344.66,344.46,7.95k,0.20
20160223,343.96,343.96,343.96,343.96,4.80k,3.95
20160218,330.90,330.90,330.90,330.90,4.50k,-2.78
20160217,340.35,340.35,340.35,340.35,11.10k,2.07
20160216,333.45,333.45,333.45,333.45,6.00k,4.12
20160210,320.25,320.25,320.25,320.25,0.02k,0.00
20160204,320.25,320.25,320.25,320.25,9.00k,-0.23
20160203,321.00,321.00,321.00,321.00,12.00k,-0.42
20160202,322.35,320.00,322.35,320.00,13.50k,3.32
20160201,312.00,310.00,312.00,310.00,0.68k,6.79
20160114,292.15,292.15,292.15,292.15,1.20k,-2.94
20160112,301.00,301.00,301.00,301.00,14.40k,-0.99
20160111,304.00,304.00,304.00,304.00,0.30k,-0.46
20160108,305.40,305.40,305.40,305.40,0.85k,8.68
20160107,281.00,281.00,281.00,281.00,0.01k,0.07
20151230,280.80,280.80,280.80,280.80,0.04k,1.03
