fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,273.55,273.55,273.55,273.55,-,0.94
20180125,271.00,265.00,275.00,265.00,0.93k,1.90
20180123,265.95,265.95,265.95,265.95,0.12k,0.26
20180122,265.25,265.25,265.25,265.25,0.12k,-1.76
20180119,270.00,270.00,270.00,270.00,0.07k,1.12
20180118,267.00,267.00,267.00,267.00,0.04k,1.14
20180117,264.00,264.00,264.00,264.00,1.03k,-0.15
20180116,264.40,268.00,268.00,264.40,100.12k,-0.23
20180115,265.00,265.00,265.00,265.00,0.04k,3.11
20180110,257.00,257.00,257.00,257.00,50.00k,-2.00
20180109,262.25,262.25,262.25,262.25,50.00k,5.41
20171226,248.80,248.80,248.80,248.80,2.74k,6.78
20171220,233.00,235.00,235.00,233.00,0.10k,1.30
20171218,230.00,230.00,230.00,230.00,-,-0.86
20171214,232.00,232.00,232.00,232.00,0.13k,-0.15
20171213,232.35,232.35,232.35,232.35,0.14k,1.91
20171211,228.00,228.00,228.00,228.00,1.40k,0.00
20171206,228.00,228.00,228.00,228.00,11.03k,-1.58
20171205,231.65,231.65,231.65,231.65,0.40k,2.50
20171201,226.00,226.00,226.00,226.00,0.40k,-1.53
20171129,229.50,229.50,229.50,229.50,0.14k,2.91
20171124,223.00,227.00,227.00,223.00,0.29k,-1.68
20171117,226.80,226.80,226.80,226.80,0.40k,0.22
20171114,226.30,226.30,226.30,226.30,0.04k,-1.86
20171110,230.60,230.60,230.60,230.60,0.20k,2.33
20171109,225.35,225.75,225.75,225.35,0.48k,-0.18
20171107,225.75,225.75,225.75,225.75,0.14k,3.41
20171101,218.30,218.30,218.30,218.30,0.37k,1.06
20171031,216.00,216.50,216.50,216.00,0.38k,0.47
20171027,215.00,215.00,215.00,215.00,0.07k,-2.25
20171026,219.95,215.00,219.95,215.00,0.39k,2.30
20171023,215.00,216.00,216.00,215.00,0.19k,-1.33
20171020,217.90,217.90,217.90,217.90,9.20k,3.27
20171013,211.00,211.00,211.00,211.00,0.18k,0.72
20171012,209.50,210.00,210.00,209.50,0.23k,-1.64
20171011,213.00,215.00,215.30,213.00,7.45k,-1.39
20171010,216.00,216.00,216.00,216.00,0.38k,0.00
20171009,216.00,219.00,219.00,216.00,0.10k,-0.92
20171006,218.00,218.00,218.00,218.00,0.14k,0.46
20171005,217.00,217.00,217.00,217.00,0.14k,-0.46
20171004,218.00,218.00,218.00,218.00,0.14k,-0.46
20171003,219.00,219.00,219.00,219.00,0.14k,1.15
20170928,216.50,216.50,216.50,216.50,0.11k,-1.59
20170927,220.00,220.00,220.00,220.00,0.06k,4.27
20170925,211.00,211.00,211.00,211.00,0.41k,-0.47
20170921,212.00,212.00,212.00,212.00,0.32k,0.71
20170919,210.50,210.50,210.50,210.50,0.14k,-0.71
20170913,212.00,214.00,214.00,212.00,0.10k,0.47
20170912,211.00,214.00,214.00,211.00,0.38k,-1.40
20170911,214.00,214.00,214.00,214.00,0.15k,2.39
20170907,209.00,217.00,217.00,209.00,0.27k,-5.00
20170905,220.00,220.00,220.00,220.00,0.24k,-0.90
20170831,222.00,222.00,222.00,221.00,0.84k,0.00
20170829,222.00,220.00,222.00,220.00,0.30k,0.25
20170828,221.45,221.45,221.45,221.45,0.14k,0.52
20170825,220.30,220.30,220.30,220.30,0.14k,-2.95
20170811,227.00,227.35,227.35,227.00,0.31k,0.44
20170809,226.00,234.00,234.00,226.00,0.48k,-4.64
20170808,237.00,240.00,242.00,237.00,0.13k,0.11
20170807,236.75,245.00,245.00,236.75,0.17k,-1.35
20170804,240.00,242.00,242.00,240.00,0.52k,-0.68
20170803,241.65,241.65,241.65,241.65,0.13k,-3.34
20170802,250.00,250.00,250.00,250.00,0.06k,3.50
20170801,241.55,241.55,241.55,241.55,0.13k,3.40
20170725,233.60,233.60,233.60,233.60,0.82k,4.29
20170720,224.00,230.00,230.00,224.00,0.04k,0.00
20170717,224.00,224.00,224.00,224.00,0.04k,0.00
20170714,224.00,224.00,224.00,224.00,0.03k,-1.28
20170703,226.90,226.90,226.90,226.90,0.79k,8.05
20170627,210.00,221.55,221.55,210.00,0.12k,-0.47
20170626,211.00,211.00,211.00,211.00,0.02k,-0.85
20170622,212.80,222.00,222.00,212.80,0.18k,0.38
20170621,212.00,212.00,212.00,212.00,2.22k,0.95
20170613,210.00,210.00,210.00,210.00,0.02k,-1.96
20170612,214.20,214.20,214.20,214.20,0.52k,-1.65
20170607,217.80,217.80,217.80,217.80,0.10k,-4.97
20170526,229.20,229.00,229.20,229.00,0.17k,5.09
20170522,218.10,218.10,218.10,218.10,14.00k,-1.31
20170428,221.00,221.00,221.00,221.00,0.09k,5.24
20170425,210.00,210.00,210.00,210.00,0.04k,0.00
20170418,210.00,210.00,210.00,210.00,0.02k,-1.41
20170412,213.00,213.00,213.00,213.00,0.26k,-3.18
20170328,220.00,220.30,220.30,220.00,1.14k,-3.80
20170323,228.70,228.70,228.70,228.70,0.06k,3.02
20170321,222.00,222.00,222.00,222.00,0.26k,3.02
20170313,215.50,215.50,217.05,215.50,4.09k,-0.67
20170309,216.95,216.95,216.95,216.95,0.04k,0.44
20170308,216.00,216.00,216.00,216.00,0.12k,1.41
20170307,213.00,213.00,213.00,213.00,0.02k,-0.12
20170306,213.25,213.25,213.25,213.25,0.14k,0.12
20170302,213.00,213.00,213.00,213.00,0.06k,-1.64
20170301,216.55,216.55,216.55,216.55,0.02k,2.15
20170221,212.00,212.00,212.00,212.00,0.06k,0.33
20170220,211.30,211.30,211.30,211.30,0.04k,0.07
20170214,211.15,211.15,211.15,211.15,0.15k,0.55
20170213,210.00,213.80,213.80,210.00,2.60k,-4.39
20170202,219.65,219.65,219.65,219.65,11.00k,-0.02
20170201,219.70,219.70,219.70,219.70,11.82k,0.55
20170131,218.50,218.50,218.50,218.50,6.84k,0.64
20170130,217.10,216.25,217.10,216.25,16.01k,0.39
20170124,216.25,216.25,216.25,216.25,12.60k,-2.15
20170120,221.00,221.00,221.00,221.00,0.10k,0.45
20170117,220.00,225.50,226.00,220.00,0.26k,-2.22
20170113,225.00,225.00,225.00,225.00,0.04k,0.00
20170112,225.00,225.50,225.50,225.00,0.30k,0.22
20170111,224.50,224.50,224.50,224.50,0.04k,4.42
20170110,215.00,208.00,215.00,208.00,0.60k,4.37
20170104,206.00,203.90,206.00,203.90,0.06k,1.03
20170102,203.90,203.90,203.90,203.90,0.33k,-0.05
20161223,204.00,204.00,204.00,204.00,0.62k,-3.32
20161221,211.00,211.00,211.00,211.00,1.60k,-0.52
20161219,212.10,212.00,212.10,212.00,0.34k,1.00
20161216,210.00,210.00,210.00,210.00,0.04k,1.94
20161215,206.00,206.00,206.00,206.00,0.02k,0.10
20161214,205.80,220.00,220.00,205.80,6.03k,1.88
20161213,202.00,200.00,202.00,200.00,0.08k,3.06
20161212,196.00,196.00,196.00,196.00,-,0.00
20161205,196.00,194.00,196.00,194.00,0.53k,0.51
20161201,195.00,193.00,195.00,193.00,0.10k,1.04
20161129,193.00,193.00,193.00,193.00,1.00k,2.12
20161122,189.00,189.00,189.00,189.00,0.62k,-0.53
20161117,190.00,190.00,190.00,190.00,0.06k,4.11
20161116,182.50,181.50,182.50,181.50,1.10k,0.55
20161110,181.50,181.00,181.50,181.00,16.00k,3.13
20161109,176.00,176.00,176.00,176.00,0.50k,-1.12
20161107,178.00,178.00,178.00,178.00,0.86k,1.71
20161031,175.00,175.00,175.00,175.00,0.04k,2.28
20161014,171.10,171.10,171.10,171.10,0.05k,0.06
20161012,171.00,171.00,171.00,171.00,0.01k,-5.00
20161006,180.00,180.00,180.00,180.00,0.08k,0.00
20161005,180.00,190.00,190.00,180.00,0.16k,1.98
20161004,176.50,176.50,176.50,176.50,1.60k,0.23
20160928,176.10,176.10,176.10,176.10,0.02k,0.06
20160927,176.00,176.00,176.00,176.00,0.01k,0.00
20160926,176.00,176.00,176.00,176.00,4.00k,0.57
20160923,175.00,175.00,175.00,175.00,0.03k,0.06
20160920,174.90,175.00,175.00,174.90,1.50k,0.23
20160915,174.50,174.50,174.50,174.50,0.06k,0.00
20160913,174.50,174.50,174.50,174.50,0.06k,-1.97
20160912,178.00,173.00,178.00,173.00,2.17k,-1.66
20160902,181.00,181.00,181.00,181.00,2.00k,0.56
20160831,180.00,180.00,180.00,180.00,0.06k,0.00
20160830,180.00,180.00,180.00,180.00,0.02k,0.00
20160829,180.00,180.00,180.00,180.00,0.06k,-0.33
20160817,180.60,178.00,180.60,178.00,4.69k,-0.22
20160811,181.00,181.00,181.00,181.00,0.05k,0.56
20160809,180.00,180.00,180.00,180.00,0.20k,-7.69
20160728,195.00,195.00,195.00,195.00,0.06k,6.62
20160726,182.90,182.90,182.90,182.90,7.60k,-1.51
20160721,185.70,185.70,185.70,185.70,2.10k,-3.31
20160719,192.05,192.05,192.05,192.05,25.60k,1.61
20160718,189.00,190.00,190.00,189.00,2.00k,3.28
20160712,183.00,183.00,183.00,183.00,0.65k,0.00
20160711,183.00,184.00,184.00,183.00,1.04k,-1.08
20160707,185.00,186.00,186.00,185.00,0.05k,-0.11
20160706,185.20,185.20,185.20,185.20,12.00k,1.70
20160629,182.10,182.10,182.10,182.10,4.11k,7.43
20160616,169.50,169.50,169.50,169.50,2.86k,-4.78
20160601,178.00,178.00,178.00,178.00,2.00k,0.56
20160531,177.00,177.00,177.00,177.00,0.20k,0.37
20160524,176.35,176.35,176.35,176.35,0.05k,-2.89
20160512,181.60,181.60,181.60,181.60,11.92k,-4.57
20160429,190.30,190.30,190.30,190.30,0.05k,0.05
20160426,190.20,190.20,190.20,190.20,9.04k,3.37
20160408,184.00,185.00,185.00,184.00,0.12k,0.00
20160404,184.00,183.00,184.00,183.00,3.81k,-0.08
20160331,184.15,180.00,184.20,180.00,4.07k,1.01
20160330,182.30,182.30,182.30,182.30,3.02k,-0.92
20160329,184.00,184.00,184.00,184.00,0.12k,1.10
20160317,182.00,182.00,182.00,182.00,0.06k,-0.76
20160311,183.40,183.40,183.40,183.40,0.12k,-4.97
20160309,193.00,193.00,193.00,193.00,0.12k,-0.05
20160303,193.10,193.10,193.10,193.10,4.17k,-0.23
20160302,193.55,193.55,193.55,193.55,9.28k,3.92
20160224,186.25,186.25,186.25,186.25,21.20k,-1.19
20160223,188.50,188.50,188.50,188.50,9.60k,3.57
20160219,182.00,182.00,182.00,182.00,16.00k,-1.62
20160217,185.00,185.00,185.00,185.00,45.60k,9.47
20160212,169.00,169.00,169.00,169.00,0.06k,0.48
20160211,168.20,168.20,168.20,168.20,11.20k,2.78
20160210,163.65,163.65,163.65,163.65,0.10k,-5.76
20160204,173.65,170.50,175.00,170.50,25.78k,1.85
20160203,170.50,169.65,170.50,169.40,20.13k,0.50
20160202,169.65,169.65,169.65,169.65,36.00k,-1.94
20160201,173.00,173.00,173.00,173.00,24.00k,0.85
20160126,171.55,170.00,171.55,170.00,39.50k,3.97
20160122,165.00,165.00,165.00,165.00,0.05k,0.00
20160121,165.00,161.50,165.00,161.50,0.19k,-17.50
20151229,200.00,200.00,200.00,200.00,0.07k,3.63
20151222,193.00,193.20,193.20,193.00,0.13k,0.00
20151218,193.00,189.15,193.00,189.15,5.37k,-15.35
20151217,228.00,228.00,228.00,227.00,0.14k,0.00
20151216,228.00,230.00,230.00,228.00,0.03k,-0.87
20151211,230.00,232.00,232.00,230.00,0.18k,0.88
20151210,228.00,228.00,228.00,228.00,0.04k,0.14
20151209,227.68,227.68,227.68,227.68,0.39k,0.22
20151203,227.18,227.18,227.18,227.18,0.04k,0.52
20151126,226.00,226.00,226.00,226.00,0.06k,0.92
20151120,223.95,240.00,240.00,223.95,0.23k,-2.63
20151119,230.00,230.00,230.00,230.00,0.13k,6.48
20151118,216.00,216.00,216.00,216.00,0.07k,0.00
20151117,216.00,216.00,216.00,216.00,0.05k,2.03
20151116,211.70,211.70,211.70,211.70,0.04k,8.01
20151113,196.00,196.00,196.00,196.00,0.20k,-0.51
20151109,197.00,197.00,197.00,197.00,0.20k,-0.51
20151103,198.00,198.00,198.00,198.00,0.02k,4.76
20151026,189.00,189.00,189.00,189.00,0.02k,5.00
20151014,180.00,180.00,180.00,180.00,0.25k,-0.72
20151013,181.30,181.30,181.30,181.30,16.18k,0.19
20151007,180.95,180.95,180.95,180.95,4.80k,3.40
20151006,175.00,175.00,175.00,175.00,0.60k,-0.57
20151002,176.00,176.00,176.00,176.00,0.40k,0.00
20151001,176.00,176.00,176.00,176.00,1.12k,3.53
20150928,170.00,165.00,170.00,165.00,0.09k,6.25
20150922,160.00,164.00,164.00,160.00,3.55k,-13.00
20150918,183.90,183.90,183.90,183.90,0.05k,3.69
20150904,177.35,177.35,177.35,177.35,17.44k,1.17
20150827,175.30,172.00,180.00,172.00,17.10k,0.17
20150826,175.00,172.00,175.00,170.00,0.35k,0.00
20150821,175.00,175.00,175.00,175.00,0.06k,0.00
20150820,175.00,175.00,175.00,175.00,0.13k,-5.41
20150819,185.00,185.00,185.00,185.00,0.32k,-7.50
20150730,200.00,200.00,200.00,198.75,7.56k,0.00
20150727,200.00,200.00,200.00,200.00,0.46k,0.00
20150723,200.00,200.00,200.00,200.00,0.27k,2.56
