fecha,ultima,apertura,maximo,minimo,vol,varianza
20171204,43.800,43.800,43.800,43.800,0.46k,-12.40
20171114,50.000,50.000,50.000,50.000,0.20k,0.00
20171110,50.000,50.000,50.000,50.000,0.40k,2.67
20171023,48.700,48.700,48.700,48.700,0.20k,4.96
20171003,46.400,46.400,46.400,46.400,0.71k,19.21
20170503,38.924,38.924,38.924,38.924,2.21k,-13.33
20170424,44.912,44.912,44.912,44.912,0.95k,-15.13
20170206,52.921,52.921,52.921,52.921,4.67k,2.32
20170201,51.723,51.723,51.723,51.723,0.10k,-0.39
20170131,51.923,51.923,51.923,51.923,0.75k,0.82
20170112,51.500,51.500,51.500,51.500,2.72k,3.00
20170111,50.000,48.250,50.000,48.250,3.80k,-2.91
20170106,51.500,51.500,51.500,51.500,12.90k,-21.80
20160502,65.858,65.858,65.858,65.858,1.00k,136.86
20151210,27.805,27.805,27.805,27.805,0.50k,-6.98
20151201,29.891,29.891,29.891,29.891,16.89k,-6.59
20151102,32.000,32.000,32.000,32.000,0.50k,14.85
20150729,27.862,27.862,27.862,27.862,1.00k,-26.68
20150701,38.000,38.000,38.000,38.000,1.20k,-23.80
20150417,49.867,49.867,49.867,49.867,0.55k,10.38
20150317,45.179,45.179,45.179,45.179,0.44k,-36.88
20141027,71.582,71.582,71.582,71.582,5.00k,-32.79
20140828,106.511,106.511,106.511,106.511,1.60k,2.78
20140822,103.632,103.632,103.632,103.632,0.75k,4.14
20140813,99.513,99.513,99.513,99.513,1.10k,9.80
20140808,90.629,90.629,90.629,90.629,0.10k,-0.05
20140807,90.678,90.678,90.678,90.678,5.00k,0.55
20140806,90.182,90.182,90.182,90.182,3.88k,10.79
20140708,81.397,81.397,81.397,81.397,1.00k,-23.11
20140129,105.866,105.520,105.866,105.520,5.25k,26.68
20131111,83.570,83.570,83.570,83.570,4.00k,-31.72
20130315,122.400,122.400,122.400,122.400,4.00k,6.51
20130219,114.916,114.916,114.916,114.916,0.50k,0.62
20120928,114.208,114.208,114.208,114.208,1.00k,20.27
20120813,94.956,94.956,94.956,94.956,16.89k,-5.37
20120807,100.340,100.340,100.340,100.340,19.00k,3.48
20120803,96.963,96.963,96.963,96.963,0.80k,-1.93
20120727,98.871,98.871,98.871,98.871,1.50k,-0.49
20120726,99.361,99.361,99.361,99.361,3.00k,0.00
20120716,99.361,99.361,99.361,99.361,1.60k,0.05
20120710,99.312,99.312,99.312,99.312,1.50k,-4.61
20120706,104.109,104.109,104.109,104.109,0.28k,6.67
20120625,97.601,97.601,97.601,97.601,17.60k,9.00
20120531,89.545,89.545,89.545,89.545,2.00k,3.15
20120524,86.811,86.811,86.811,86.811,0.80k,6.92
20120521,81.196,81.147,81.196,81.147,5.00k,2.65
20120517,79.097,79.048,79.097,79.048,5.00k,1.63
20120427,77.827,77.827,77.827,77.827,3.00k,-4.55
20120412,81.538,81.538,81.538,81.538,11.97k,-2.05
20120410,83.247,83.247,83.247,83.247,17.60k,10.56
20120319,75.297,75.297,75.297,75.297,0.50k,-1.53
20120315,76.465,76.465,76.465,76.465,1.60k,-9.80
20120228,84.770,84.770,84.770,84.770,0.30k,3.64
20120223,81.790,85.020,85.020,81.790,1.30k,2.75
20120201,79.600,79.600,79.600,79.600,6.00k,21.68
20111216,65.420,65.420,65.420,65.420,0.10k,-8.72
20110922,71.670,71.670,71.670,71.670,58.30k,1.04
20110915,70.930,70.290,70.930,70.290,6.20k,-4.65
20110902,74.390,74.390,74.390,74.390,2.92k,15.67
20110810,64.310,64.310,64.310,64.310,1.00k,17.63
20110805,54.670,54.670,54.670,54.670,2.00k,-6.74
20110804,58.620,58.570,58.620,58.570,15.00k,3.04
20110726,56.890,56.940,56.940,56.890,2.50k,16.43
20110616,48.860,48.910,48.910,48.860,0.80k,-5.09
20110506,51.480,51.480,51.480,51.480,1.20k,4.38
20101206,49.320,49.320,49.320,49.320,7.40k,10.43
20101124,44.660,44.660,44.660,44.660,7.40k,6.01
20100922,42.130,42.130,42.130,42.130,3.50k,3.21
20100915,40.820,40.820,40.820,40.820,3.50k,14.44
20100730,35.670,35.670,35.670,35.670,2.50k,-19.06
20100108,44.070,43.178,44.070,43.178,7.00k,-0.77
20091207,44.410,44.410,44.410,44.410,2.00k,20.82
20090924,36.757,36.757,36.757,36.757,2.00k,9.19
20090814,33.662,33.662,33.662,33.662,0.20k,4.21
20090812,32.303,32.303,32.303,32.303,0.40k,-0.29
20090811,32.397,32.397,32.397,32.397,2.00k,-0.29
20090810,32.490,33.381,33.381,32.443,20.00k,-3.88
20090807,33.803,33.803,33.803,33.803,2.40k,-2.57
20090806,34.694,34.881,34.881,34.694,8.50k,6.94
20090728,32.443,32.303,32.443,32.303,4.50k,-5.47
20090722,34.319,34.319,34.319,34.319,3.00k,8.73
20090623,31.564,31.564,31.564,31.564,1.00k,-10.01
20090612,35.076,35.123,35.123,35.076,1.00k,-5.19
20090611,36.996,37.699,37.699,36.996,6.00k,17.04
