fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,485,509.95,509.95,483,221.61k,-4.9
20180126,510,518.4,518.4,507.1,90.06k,-1.64
20180125,518.5,520,520,515,149.59k,0.29
20180124,517,501,520,500,166.93k,3.19
20180123,501,485,501.75,485,168.92k,3.62
20180122,483.5,472.5,484.5,472.5,80.96k,2.22
20180119,473,483,483,472.5,127.15k,-2.17
20180118,483.5,481,483.95,470,108.01k,0.52
20180117,481,482,485,476.7,101.07k,-0.17
20180116,481.8,489.95,489.95,476,172.73k,-2.12
20180115,492.25,472,492.8,471,80.97k,4.73
20180112,470,464,472,460.05,136.60k,1.56
20180111,462.8,442.55,463.95,442.55,152.52k,3.65
20180110,446.5,455,455,444.5,88.78k,-2.3
20180109,457,450.05,460,445,244.86k,1.56
20180108,450,432.25,450,432,137.27k,4.09
20180105,432.3,439.7,442,430,104.65k,-1.75
20180104,440,436.1,440,427,109.16k,-0.09
20180103,440.4,436,441.1,431.15,126.38k,1.24
20180102,435,423.05,435,423.05,120.50k,2.35
20171229,425,425,428,416.1,86.24k,0.71
20171228,422,407,427,406,132.35k,3.94
20171227,406,402.5,410.6,400.7,67.18k,1.88
20171226,398.5,401.5,404,396.5,176.72k,-0.75
20171222,401.5,394,402.45,394,71.88k,1.65
20171221,395,392,395.9,387.8,70.26k,1.94
20171220,387.5,372.05,391.1,372,133.19k,4.7
20171219,370.1,368.5,376,368.5,120.07k,0.03
20171218,370,369,375.5,369,61.36k,0.28
20171215,368.95,380,384,368,163.68k,-2.9
20171214,379.95,375,384,375,71.70k,1.32
20171213,375,378.5,384,373,114.58k,-0.92
20171212,378.5,382,386.95,377,92.83k,-1.17
20171211,383,384,391.95,380.25,58.41k,-0.52
20171207,385,387,392,383,31.72k,-0.52
20171206,387,384.5,391.5,380.05,67.18k,0.6
20171205,384.7,397,397.6,383,108.92k,-3.04
20171204,396.75,392.05,399.5,392.05,58.17k,0.19
20171201,396,390.05,399.45,390.05,32.26k,1.15
20171130,391.5,390,392.95,386.55,29.97k,0.62
20171129,389.1,390.05,394,389,48.54k,-0.74
20171128,392,393.9,394.5,389,68.23k,-0.82
20171127,395.25,403,403,392.05,80.44k,-1.8
20171124,402.5,409,410,401,73.85k,-1.11
