fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,4626.42,4628.58,4628.58,4611.36,59.58,-0.12
20180128,4631.86,4644.01,4645.30,4627.71,23.13,-0.25
20180125,4643.54,4627.55,4651.11,4612.10,73.95,0.35
20180124,4627.47,4643.69,4648.50,4613.07,67.10,-0.35
20180123,4643.69,4628.09,4650.95,4612.88,44.71,0.31
20180122,4629.24,4635.51,4638.00,4604.94,47.03,-0.15
20180121,4636.22,4624.63,4640.77,4624.63,52.99,0.23
20180118,4625.39,4633.25,4634.03,4605.27,77.15,-0.21
20180117,4634.91,4614.27,4634.91,4595.15,47.02,0.42
20180116,4615.41,4600.81,4619.95,4567.98,51.63,0.29
20180115,4601.95,4585.10,4603.44,4573.51,74.30,0.37
20180114,4585.10,4592.25,4595.60,4573.49,34.83,-0.13
20180111,4591.11,4578.54,4591.97,4561.63,58.67,0.25
20180110,4579.74,4593.11,4593.11,4554.55,76.82,-0.29
20180109,4593.11,4585.54,4593.11,4564.02,54.63,0.17
20180108,4585.54,4556.41,4586.67,4538.48,90.08,0.64
20180107,4556.41,4549.57,4556.41,4530.34,76.61,0.18
20180104,4548.43,4483.55,4548.81,4483.55,91.58,1.50
20180103,4481.30,4441.99,4481.30,4432.98,40.45,0.88
20180102,4441.99,4396.03,4441.99,4378.32,27.76,0.99
20171228,4398.44,4367.66,4398.44,4348.52,239.80,0.66
20171227,4369.40,4319.03,4370.44,4319.03,91.58,1.15
20171226,4319.81,4337.22,4343.94,4304.98,58.02,-0.43
20171225,4338.42,4325.52,4355.16,4324.49,172.00,0.30
20171224,4325.52,4349.53,4350.95,4316.83,12.98,-0.54
20171221,4349.15,4358.98,4368.21,4344.82,48.71,-0.23
20171220,4358.98,4367.11,4377.70,4349.92,51.84,-0.19
20171219,4367.11,4397.38,4397.38,4355.18,43.08,-0.69
20171218,4397.38,4348.74,4397.38,4343.29,45.83,1.12
20171217,4348.74,4335.74,4361.06,4335.74,24.69,0.22
20171214,4339.22,4384.36,4386.90,4338.88,53.09,-1.03
20171213,4384.36,4380.64,4384.36,4351.96,44.83,0.06
20171212,4381.80,4356.30,4384.19,4335.78,42.88,0.59
20171211,4356.30,4294.87,4358.30,4291.77,18.53,1.43
20171210,4294.87,4275.71,4305.81,4268.09,108.66,0.42
20171207,4276.93,4288.08,4315.66,4276.93,47.65,-0.79
20171206,4310.94,4265.94,4310.94,4244.50,51.98,1.11
20171205,4263.62,4325.59,4327.58,4263.62,35.07,-1.46
20171204,4326.81,4283.46,4338.11,4283.46,32.67,1.02
20171129,4283.07,4295.12,4318.20,4279.26,38.97,-0.28
20171128,4295.12,4274.73,4295.12,4271.74,16.14,0.48
20171127,4274.73,4282.27,4295.46,4265.69,53.20,-0.18
20171126,4282.27,4287.07,4298.21,4279.25,27.11,-0.11
20171123,4287.07,4273.53,4299.18,4273.53,51.27,0.31
20171122,4273.71,4305.08,4307.82,4273.36,67.35,-0.85
20171121,4310.19,4288.86,4310.19,4271.29,24.35,0.50
20171120,4288.86,4279.31,4296.37,4270.47,28.27,0.22
20171119,4279.31,4327.58,4332.91,4267.64,53.98,-1.12
20171116,4327.58,4337.09,4352.47,4318.37,30.45,-0.22
20171115,4337.09,4365.25,4380.01,4337.09,34.23,-0.67
20171114,4366.41,4367.63,4378.03,4354.99,53.36,-0.07
20171113,4369.59,4374.89,4389.58,4368.33,60.80,-0.09
20171112,4373.73,4375.77,4394.23,4371.05,38.07,-0.06
20171109,4376.22,4370.22,4400.04,4358.44,69.88,0.16
20171108,4369.06,4419.54,4425.33,4359.32,100.90,-1.14
20171107,4419.62,4435.04,4446.31,4405.14,63.07,-0.35
20171106,4435.21,4450.66,4452.83,4422.63,63.72,-0.35
20171105,4450.66,4463.93,4471.30,4439.83,49.36,-0.32
20171102,4465.15,4485.24,4486.51,4463.70,26.35,-0.45
