fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2190.69,2199.00,2199.60,2186.40,3.30,-0.28
20180128,2196.93,2189.51,2197.19,2184.68,2.99,0.31
20180125,2190.23,2168.00,2191.30,2164.87,2.20,1.16
20180124,2165.17,2158.73,2165.17,2158.73,1.64,0.40
20180123,2156.53,2153.69,2156.92,2152.59,1.41,0.12
20180122,2153.86,2148.62,2153.86,2143.01,7.01,0.25
20180121,2148.57,2147.33,2150.17,2142.96,1.62,0.01
20180118,2148.28,2144.27,2148.56,2142.40,2.37,0.16
20180117,2144.79,2144.72,2149.08,2141.47,2.82,0.10
20180116,2142.60,2132.25,2142.76,2131.95,2.53,0.48
20180115,2132.27,2124.81,2132.64,2123.01,1.52,0.35
20180114,2124.81,2121.45,2131.80,2121.45,1.70,0.16
20180111,2121.35,2120.57,2122.00,2117.86,1.45,0.02
20180110,2121.02,2120.40,2122.11,2118.36,1.31,0.01
20180109,2120.80,2120.29,2123.90,2117.59,1.64,0.00
20180108,2120.70,2121.06,2122.47,2115.46,1.67,-0.00
20180107,2120.74,2117.07,2121.11,2116.29,1.23,-0.21
20180104,2125.11,2124.12,2127.18,2121.48,2.31,-0.01
20180103,2125.41,2128.15,2129.04,2120.26,2.73,-0.17
20180102,2129.01,2123.20,2133.04,2123.20,1.62,0.10
20171231,2126.78,2132.27,2132.29,2122.47,2.10,-0.25
20171228,2132.17,2117.20,2132.17,2116.85,4.15,0.62
20171227,2119.04,2125.52,2126.47,2114.78,2.70,-0.32
20171226,2125.80,2129.30,2134.56,2123.65,7.62,-0.17
20171224,2129.33,2128.97,2129.33,2116.29,2.35,0.02
20171221,2128.97,2134.36,2134.36,2124.36,2.55,-0.23
20171220,2133.80,2138.41,2140.30,2131.51,2.88,-0.22
20171219,2138.52,2128.96,2140.18,2123.70,3.53,0.45
20171218,2129.00,2138.75,2140.77,2124.74,2.42,-0.51
20171217,2139.89,2140.79,2148.31,2136.61,3.99,-0.34
20171214,2147.16,2131.12,2147.16,2130.73,2.28,0.73
20171213,2131.52,2129.56,2134.32,2124.12,1.77,0.10
20171212,2129.35,2108.56,2129.35,2105.14,2.11,0.94
20171211,2109.48,2112.35,2112.90,2108.04,2.69,-0.12
20171210,2112.08,2112.08,2112.08,2112.08,1.20,0.16
20171207,2108.73,2117.55,2118.64,2108.48,2.22,-0.43
20171206,2117.76,2117.96,2117.96,2112.41,1.17,-0.03
20171205,2118.34,2119.56,2126.07,2115.80,2.02,-0.06
20171204,2119.56,2124.14,2125.75,2116.46,2.01,-0.22
20171203,2124.31,2123.62,2130.32,2122.38,1.71,0.09
20171129,2122.47,2111.80,2124.95,2111.63,4.78,0.45
20171128,2112.99,2100.70,2115.62,2099.01,3.04,0.53
20171127,2101.76,2099.80,2102.43,2097.76,2.53,0.09
20171126,2099.78,2100.96,2102.87,2095.41,2.50,-0.16
20171123,2103.04,2105.47,2105.47,2100.35,5.36,-0.12
20171122,2105.51,2104.63,2105.51,2100.24,3.87,0.08
20171121,2103.79,2102.81,2105.24,2100.28,1.29,0.03
20171120,2103.25,2100.48,2105.28,2099.72,1.53,0.15
20171119,2100.05,2093.98,2100.06,2091.57,1.89,0.30
20171116,2093.76,2091.05,2094.55,2088.44,1.58,0.14
20171115,2090.90,2088.87,2092.86,2088.20,2.06,0.10
20171114,2088.84,2090.49,2092.14,2085.20,2.14,-0.18
20171113,2092.61,2088.26,2094.00,2087.40,1.18,0.15
20171112,2089.51,2082.58,2089.51,2080.17,1.93,0.32
20171109,2082.81,2080.53,2085.30,2078.78,1.76,0.14
20171108,2079.80,2090.42,2090.42,2076.88,2.94,-0.53
20171107,2090.91,2089.55,2091.63,2087.81,2.68,-0.06
20171106,2092.25,2104.76,2104.84,2088.59,2.35,-0.60
20171105,2104.79,2110.96,2121.25,2104.72,3.06,-0.34
20171102,2112.05,2101.96,2114.47,2101.96,1.97,0.48
20171101,2102.03,2091.83,2102.03,2091.83,2.93,0.42
20171031,2093.19,2093.19,2093.19,2093.19,3.07,0.49
20171030,2083.00,2092.77,2094.28,2080.20,3.46,-0.53
20171029,2094.00,2101.58,2103.18,2092.86,1.86,-0.39
20171026,2102.25,2096.27,2102.25,2094.79,2.94,0.28
20171025,2096.46,2093.95,2097.76,2093.33,2.76,0.12
20171024,2093.95,2097.74,2098.54,2093.46,3.15,-0.19
20171023,2098.02,2099.73,2100.76,2096.16,2.92,-0.09
20171022,2099.83,2102.69,2102.69,2096.09,1.85,-0.15
20171019,2102.88,2095.75,2102.88,2093.83,2.72,0.33
20171018,2095.97,2098.67,2099.18,2091.17,2.87,-0.15
20171017,2099.21,2102.26,2102.29,2095.88,1.94,-0.19
20171016,2103.29,2107.64,2109.52,2100.47,1.77,-0.19
20171015,2107.32,2109.23,2116.56,2107.32,1.74,-0.12
20171012,2109.78,2105.37,2110.40,2104.93,3.13,0.29
20171011,2103.63,2099.16,2105.66,2097.87,1.93,0.21
20171010,2099.16,2098.59,2101.09,2096.08,1.79,0.05
20171009,2098.18,2102.91,2103.38,2097.42,1.74,-0.23
20171008,2103.03,2109.35,2109.35,2100.68,1.88,-0.29
20171005,2109.24,2107.81,2112.88,2107.61,1.63,0.00
20171004,2109.24,2115.12,2115.56,2107.84,1.82,-0.28
20171003,2115.24,2120.32,2120.41,2114.29,2.26,-0.25
20171002,2120.63,2120.31,2121.96,2114.49,2.03,0.03
20171001,2120.07,2121.94,2123.79,2117.91,2.27,-0.07
20170928,2121.52,2122.33,2124.49,2119.26,3.28,0.01
20170927,2121.33,2123.51,2124.02,2120.45,2.44,-0.10
20170926,2123.47,2122.01,2123.47,2118.96,2.30,0.05
20170925,2122.44,2127.38,2128.04,2119.79,2.99,-0.31
20170924,2128.97,2131.85,2133.41,2126.08,2.40,-0.12
20170920,2131.49,2138.73,2138.75,2130.39,5.05,-0.36
20170919,2139.19,2138.76,2139.79,2135.67,2.44,-0.02
20170918,2139.59,2135.33,2139.59,2131.45,1.52,0.19
20170917,2135.58,2136.26,2139.35,2134.15,2.02,-0.04
20170914,2136.37,2143.12,2144.59,2131.86,3.21,-0.54
20170913,2147.98,2146.48,2150.00,2144.89,4.19,-0.01
20170912,2148.09,2156.68,2156.94,2147.79,2.85,-0.38
20170911,2156.37,2145.29,2156.37,2144.80,2.88,0.52
20170910,2145.18,2147.97,2149.12,2144.10,2.97,-0.14
20170907,2148.08,2147.64,2149.62,2144.05,1.74,-0.07
20170906,2149.55,2149.58,2152.19,2144.56,2.90,-0.04
20170905,2150.36,2157.20,2159.06,2149.49,2.88,-0.32
20170830,2157.26,2121.52,2157.75,2121.52,4.48,1.88
20170829,2117.51,2104.79,2119.32,2104.79,4.23,0.61
20170828,2104.64,2106.57,2106.74,2101.15,3.37,-0.13
20170827,2107.35,2105.58,2108.24,2103.35,4.55,0.08
20170824,2105.71,2107.84,2113.74,2104.82,3.94,-0.21
20170823,2110.20,2106.82,2110.20,2103.90,3.26,0.17
20170822,2106.64,2115.53,2115.81,2105.64,3.71,-0.39
20170821,2114.99,2114.20,2116.47,2110.48,3.74,-0.03
20170820,2115.62,2116.74,2116.85,2111.66,2.46,-0.05
20170817,2116.78,2120.99,2123.54,2116.04,2.51,-0.25
20170816,2121.99,2121.09,2121.99,2116.28,1.87,0.04
20170814,2121.18,2129.33,2132.25,2119.15,2.42,-0.41
20170813,2129.99,2140.67,2140.79,2129.99,2.55,-0.49
20170810,2140.54,2144.11,2145.21,2139.88,2.70,-0.16
20170809,2144.04,2145.85,2149.91,2142.46,2.58,-0.07
20170808,2145.47,2143.15,2145.55,2140.68,2.39,0.09
20170807,2143.60,2142.86,2144.77,2141.08,2.58,-0.04
20170806,2144.39,2155.46,2155.46,2143.02,2.52,-0.54
20170803,2156.12,2151.80,2156.12,2150.42,2.42,0.20
20170802,2151.74,2145.23,2152.59,2143.37,3.21,0.31
20170801,2145.19,2139.97,2150.03,2139.95,5.05,0.25
20170731,2139.82,2149.89,2149.89,2136.31,4.31,-0.49
20170730,2150.33,2165.10,2166.24,2147.67,3.13,-0.65
20170727,2164.34,2162.31,2167.78,2158.83,3.74,-0.01
20170726,2164.46,2160.18,2164.46,2158.11,4.95,0.21
20170725,2160.01,2157.42,2160.01,2156.19,3.46,-0.02
20170724,2160.39,2163.48,2164.70,2157.60,4.26,-0.26
20170723,2166.12,2163.96,2166.25,2160.58,3.18,-0.00
20170720,2166.19,2167.82,2173.29,2164.01,2.67,-0.07
20170719,2167.80,2163.34,2167.80,2157.50,2.49,0.29
20170718,2161.46,2166.27,2166.88,2158.00,2.78,-0.22
20170717,2166.29,2174.95,2175.01,2162.60,3.18,-0.37
20170716,2174.38,2169.52,2178.72,2169.52,3.18,0.24
20170713,2169.11,2175.74,2176.67,2164.92,4.01,-0.38
20170712,2177.45,2180.05,2180.49,2170.26,4.65,-0.26
20170711,2183.08,2173.77,2183.56,2172.48,6.05,0.41
20170710,2174.16,2183.03,2183.06,2169.51,4.89,-0.43
20170709,2183.49,2175.39,2183.97,2172.72,3.70,0.34
20170706,2176.10,2172.86,2176.10,2168.72,4.36,0.15
20170705,2172.79,2174.27,2176.25,2171.93,4.76,-0.05
20170704,2173.79,2171.46,2173.79,2164.37,3.16,0.12
20170703,2171.11,2165.28,2175.22,2162.73,2.90,0.25
20170702,2165.68,2164.82,2170.72,2163.94,3.27,-0.08
20170629,2167.40,2161.01,2167.40,2159.69,3.18,0.34
20170622,2160.00,2148.91,2162.63,2148.91,3.66,0.50
20170621,2149.22,2151.12,2152.64,2146.84,2.68,-0.09
20170620,2151.10,2148.76,2151.57,2146.38,4.16,0.05
20170619,2149.98,2154.00,2154.05,2146.52,2.23,-0.20
20170618,2154.21,2156.68,2159.15,2153.78,2.58,-0.12
20170615,2156.81,2160.37,2161.24,2154.18,2.45,-0.16
20170614,2160.19,2156.17,2161.69,2156.17,2.11,0.12
20170613,2157.54,2160.20,2160.36,2155.55,5.21,-0.13
20170612,2160.35,2162.97,2164.19,2158.26,3.35,-0.15
20170611,2163.59,2163.53,2164.81,2161.06,2.07,-0.03
20170608,2164.24,2170.28,2170.53,2159.05,2.18,-0.30
20170607,2170.67,2165.15,2170.67,2165.02,2.66,0.24
20170606,2165.55,2170.31,2170.31,2162.39,4.23,-0.20
