fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,886.54,878.95,889.10,875.10,56.70,0.97
20180126,878.06,877.36,882.88,874.89,41.22,0.07
20180125,877.47,883.77,886.18,875.67,53.65,-0.74
20180124,883.98,873.12,883.99,865.45,64.33,1.37
20180123,872.00,861.77,872.03,861.57,58.57,1.62
20180122,858.12,848.68,859.34,844.64,47.56,1.25
20180119,847.56,838.56,850.44,838.31,66.93,1.19
20180118,837.56,841.52,843.56,831.80,38.50,-0.47
20180117,841.51,850.74,851.23,833.26,60.14,-1.33
20180116,852.81,848.64,852.85,846.39,37.28,0.60
20180115,847.73,851.53,852.99,843.96,25.03,-0.40
20180112,851.12,848.29,854.27,841.93,57.54,0.49
20180111,846.98,835.05,846.98,833.35,89.26,1.28
20180110,836.28,840.28,845.23,830.34,63.32,-0.59
20180109,841.28,836.48,841.36,833.58,33.50,0.50
20180108,837.13,830.27,838.11,823.21,49.11,0.89
20180105,829.72,827.87,833.06,825.83,56.98,0.48
20180104,825.78,820.02,826.32,814.86,68.59,1.03
20180103,817.34,819.33,823.35,811.87,39.02,-0.14
20180102,818.51,803.38,819.73,802.37,62.70,2.01
20171229,802.37,797.83,805.22,792.79,69.18,0.42
20171228,799.05,809.45,809.64,796.97,58.41,-1.26
20171227,809.23,805.25,811.55,803.72,126.86,0.64
20171222,804.05,794.13,804.05,792.43,155.16,1.38
20171221,793.12,788.99,794.47,787.78,58.47,0.43
20171220,789.74,783.32,794.12,783.32,61.30,0.73
20171219,783.99,783.06,786.35,776.03,52.80,0.03
20171218,783.76,767.50,785.06,767.43,60.47,2.08
20171215,767.76,766.91,771.31,763.30,100.48,0.02
20171214,767.57,749.80,769.36,749.64,92.92,2.38
20171213,749.76,736.48,750.23,736.48,55.62,1.53
20171212,738.44,739.97,742.05,736.42,24.88,-0.00
20171211,738.47,739.86,742.46,735.88,29.64,-0.30
20171208,740.72,730.13,740.89,729.64,54.92,1.64
20171207,728.76,728.37,731.34,723.60,26.77,0.17
20171206,727.53,729.11,736.69,724.71,40.44,-0.40
20171205,730.43,740.61,742.14,728.79,41.32,-1.54
20171204,741.84,749.69,758.80,741.55,76.52,-0.91
20171201,748.66,741.12,750.51,736.90,92.64,1.14
20171130,740.20,738.47,741.64,728.85,61.14,0.26
20171129,738.31,730.17,742.64,730.17,83.64,1.67
20171128,726.17,722.96,730.53,722.96,32.71,0.25
20171127,724.39,724.63,725.72,718.57,22.98,0.17
20171124,723.18,720.94,729.25,720.94,35.47,0.36
20171123,720.56,719.64,726.18,715.28,20.42,0.06
20171122,720.13,722.23,726.02,718.98,49.12,-0.21
20171121,721.67,709.90,722.71,707.14,48.31,1.61
20171120,710.27,712.83,713.64,704.99,32.79,-0.31
20171117,712.46,703.19,714.23,700.11,89.43,1.58
20171116,701.36,721.72,724.67,701.36,69.06,-2.43
20171115,718.80,719.23,727.08,711.88,57.66,-0.19
20171114,720.18,718.69,726.35,717.43,32.22,0.38
20171113,717.47,731.38,731.38,714.14,50.45,-2.27
20171110,734.12,743.50,744.94,731.30,35.43,-0.95
20171109,741.13,741.12,745.60,738.42,46.41,-0.11
20171108,741.98,750.21,752.47,741.69,53.87,-0.86
20171107,748.44,764.86,766.45,748.44,50.25,-1.77
20171106,761.91,763.31,765.13,755.23,22.54,-0.22
20171103,763.56,762.24,770.37,761.21,35.83,0.14
20171102,762.49,767.39,770.19,761.15,42.33,-0.60
20171101,767.07,761.46,771.92,759.01,66.94,1.02
20171031,759.30,746.42,759.71,745.76,44.31,2.12
20171030,743.57,740.34,746.09,738.45,29.86,0.59
20171027,739.22,741.83,747.45,739.22,32.12,-0.08
