fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3636.62,3657.40,3669.56,3631.83,4.32,-0.54
20180126,3656.26,3653.64,3657.06,3635.88,4.04,0.10
20180125,3652.52,3673.23,3674.15,3639.68,5.70,-0.56
20180124,3673.12,3688.91,3700.37,3667.78,3.97,-0.42
20180123,3688.78,3683.63,3692.42,3671.36,4.10,0.20
20180122,3681.57,3643.38,3686.57,3641.96,5.35,1.06
20180119,3643.00,3627.79,3658.50,3622.17,5.79,0.40
20180118,3628.34,3627.73,3638.78,3610.29,4.28,0.01
20180117,3628.08,3611.23,3631.27,3600.57,4.32,0.47
20180116,3611.23,3603.39,3618.49,3590.55,4.96,0.19
20180115,3604.39,3599.45,3612.87,3589.18,5.19,0.14
20180112,3599.28,3601.29,3608.37,3593.82,4.88,-0.05
20180111,3600.94,3596.23,3600.94,3569.55,5.68,0.13
20180110,3596.14,3558.98,3596.54,3558.19,6.35,1.05
20180109,3558.86,3550.10,3569.28,3546.38,5.34,0.25
20180108,3550.10,3550.62,3568.17,3541.08,4.72,-0.02
20180105,3550.88,3552.78,3561.35,3537.49,4.78,-0.12
20180104,3555.04,3488.05,3567.80,3488.05,7.25,1.94
20180103,3487.39,3444.82,3491.68,3444.65,5.13,1.25
20180102,3444.30,3420.31,3444.30,3415.99,4.37,0.71
20171229,3420.14,3434.92,3441.59,3416.04,3.45,-0.43
20171228,3434.88,3428.98,3436.52,3423.16,4.25,0.18
20171227,3428.69,3438.72,3439.79,3412.02,4.31,-0.33
20171222,3440.06,3439.88,3441.81,3412.27,4.20,0.00
20171221,3440.02,3408.89,3441.01,3407.18,4.79,0.92
20171220,3408.81,3420.94,3444.71,3408.81,5.13,-0.35
20171219,3420.63,3406.49,3424.32,3403.22,7.93,0.40
20171218,3406.89,3279.52,3410.62,3279.16,8.63,3.89
20171215,3279.24,3311.00,3311.00,3273.95,16.89,-0.97
20171214,3311.35,3304.83,3322.34,3303.85,5.12,0.19
20171213,3304.94,3338.27,3340.52,3303.03,4.84,-0.99
20171212,3337.97,3351.12,3359.69,3324.88,4.77,-0.38
20171211,3350.56,3327.66,3355.33,3324.28,5.24,0.70
20171207,3327.38,3315.12,3329.02,3309.87,5.70,0.39
20171206,3314.61,3336.99,3336.99,3305.96,4.76,-0.67
20171205,3336.82,3361.66,3370.23,3336.64,4.21,-0.74
20171204,3361.61,3328.77,3375.47,3328.77,4.06,1.01
20171201,3328.10,3344.69,3356.08,3325.85,5.31,-0.50
20171130,3344.94,3330.74,3352.29,3328.43,8.70,0.42
20171129,3330.86,3321.56,3342.51,3317.20,10.78,0.29
20171128,3321.14,3299.31,3326.72,3287.90,3.75,0.66
20171127,3299.40,3328.47,3334.31,3297.31,4.00,-0.87
20171124,3328.48,3305.87,3341.30,3302.20,3.74,0.67
20171123,3306.19,3316.31,3316.31,3293.10,3.01,-0.30
20171122,3316.12,3327.06,3349.74,3313.87,4.35,-0.34
20171121,3327.42,3313.64,3344.40,3309.55,4.40,0.42
20171120,3313.61,3314.79,3318.72,3297.61,3.51,-0.03
20171117,3314.70,3330.75,3332.31,3312.71,4.62,-0.52
20171116,3331.99,3339.21,3345.72,3321.88,6.15,-0.22
20171115,3339.48,3360.46,3360.72,3293.23,7.13,-0.63
20171114,3360.82,3382.90,3399.04,3356.90,7.01,-0.65
20171113,3382.85,3393.36,3404.15,3363.56,8.78,-0.31
20171110,3393.23,3378.58,3393.75,3369.11,4.19,0.47
20171109,3377.25,3412.53,3418.72,3353.87,4.54,-1.03
20171108,3412.30,3408.74,3416.74,3387.52,5.90,0.03
20171107,3411.22,3389.49,3431.43,3389.34,4.56,0.62
20171106,3390.30,3410.49,3418.03,3384.55,4.17,-0.58
20171103,3410.25,3445.19,3446.33,3391.44,7.63,-1.02
20171102,3445.23,3406.13,3447.93,3406.13,6.06,1.15
20171031,3406.09,3421.01,3432.60,3399.83,4.05,-0.40
20171030,3419.76,3415.60,3431.87,3405.53,5.05,0.13
20171027,3415.38,3364.26,3415.38,3364.26,7.50,1.55
20171025,3363.38,3388.46,3414.29,3363.38,6.65,-0.67
20171024,3386.02,3390.07,3396.61,3371.58,4.48,-0.11
20171023,3389.62,3383.25,3395.15,3376.25,3.71,0.19
20171020,3383.15,3369.05,3391.09,3368.18,4.00,0.42
20171019,3369.00,3402.70,3404.85,3354.00,3.89,-1.00
20171018,3403.13,3372.62,3407.53,3363.50,3.71,0.89
20171017,3373.14,3375.94,3388.81,3370.45,4.41,-0.09
20171016,3376.02,3375.56,3384.71,3358.35,4.45,0.01
20171013,3375.80,3324.74,3378.16,3321.79,4.02,1.54
20171012,3324.75,3335.49,3345.01,3322.85,4.41,-0.32
20171011,3335.31,3322.24,3337.28,3314.62,5.40,0.41
20171010,3321.72,3336.83,3339.44,3309.15,3.45,-0.46
20171009,3337.04,3324.46,3339.67,3310.49,3.86,0.38
20171006,3324.41,3345.63,3361.48,3324.33,4.68,-0.63
20171005,3345.50,3307.95,3345.50,3302.65,5.00,1.09
20171004,3309.58,3345.97,3352.07,3309.58,5.72,-1.07
20171003,3345.50,3343.65,3351.93,3334.91,4.26,0.01
20171002,3345.07,3315.97,3345.07,3311.57,5.89,0.88
20170929,3315.97,3306.72,3319.49,3286.33,5.51,0.26
