fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6075.40,6050.00,6090.20,6050.00,487.77,0.42
20180125,6050.00,6054.70,6056.00,6029.10,499.66,-0.08
20180124,6054.70,6037.00,6066.30,6036.20,512.57,0.29
20180123,6037.00,5991.90,6041.00,5991.90,486.24,0.75
20180122,5991.90,6005.80,6017.80,5991.90,445.98,-0.23
20180119,6005.80,6014.60,6028.70,6002.20,527.24,-0.15
20180118,6014.60,6015.80,6035.60,6014.60,518.80,-0.02
20180117,6015.80,6048.60,6048.60,6012.90,513.86,-0.54
20180116,6048.60,6077.10,6077.80,6042.00,458.05,-0.47
20180115,6077.10,6070.10,6103.60,6070.10,433.66,0.12
20180112,6070.10,6067.60,6086.00,6067.60,465.47,0.04
20180111,6067.60,6096.70,6097.10,6053.90,475.22,-0.48
20180110,6096.70,6135.80,6150.00,6096.50,517.47,-0.64
20180109,6135.80,6130.40,6149.60,6130.40,510.21,0.09
20180108,6130.40,6122.30,6143.00,6122.30,346.27,0.13
20180105,6122.30,6077.10,6124.80,6077.10,388.94,0.74
20180104,6077.10,6070.40,6102.20,6068.80,412.19,0.11
20180103,6070.40,6061.30,6082.30,6060.80,335.32,0.15
20180102,6061.30,6065.10,6074.10,6035.80,245.84,-0.06
20171229,6065.10,6088.10,6091.60,6051.60,322.43,-0.38
20171228,6088.10,6069.90,6088.10,6063.20,269.77,0.30
20171227,6069.90,6069.70,6092.80,6069.00,256.84,0.00
20171222,6069.70,6060.40,6087.20,6060.40,506.89,0.15
20171221,6060.40,6075.60,6082.00,6054.80,830.40,-0.25
20171220,6075.60,6071.80,6083.30,6057.00,558.06,0.06
20171219,6071.80,6038.90,6080.60,6038.90,601.37,0.54
20171218,6038.90,5997.00,6040.90,5997.00,576.95,0.70
20171215,5997.00,6011.30,6011.30,5989.80,956.31,-0.24
20171214,6011.30,6021.80,6043.40,6011.30,666.54,-0.17
20171213,6021.80,6013.20,6027.20,6003.10,696.80,0.14
20171212,6013.20,5998.30,6015.80,5998.30,559.58,0.25
20171211,5998.30,5994.40,6015.00,5990.00,466.34,0.07
20171208,5994.40,5977.70,6012.00,5977.70,473.60,0.28
20171207,5977.70,5945.70,5987.20,5944.30,539.56,0.54
20171206,5945.70,5971.80,5971.80,5938.70,619.18,-0.44
20171205,5971.80,5985.60,5985.60,5948.70,599.26,-0.23
20171204,5985.60,5989.80,6000.50,5979.00,515.62,-0.07
20171201,5989.80,5969.90,6011.40,5969.90,410.74,0.33
20171130,5969.90,6011.10,6011.10,5949.20,868.51,-0.69
20171129,6011.10,5984.30,6031.40,5984.30,547.18,0.45
20171128,5984.30,5988.80,6004.30,5976.30,766.01,-0.07
20171127,5988.77,5982.60,6009.00,5978.10,435.68,0.10
20171124,5982.55,5986.30,5986.30,5951.40,435.93,-0.06
20171123,5986.19,5986.40,5991.10,5971.00,476.16,-0.00
20171122,5986.41,5963.50,5998.10,5963.50,581.63,0.38
