fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1344.54,1342.32,1346.64,1342.32,9.06,0.17
20180128,1342.32,1341.77,1344.32,1338.86,29.15,0.04
20180125,1341.77,1337.45,1341.77,1336.12,6.39,0.35
20180124,1337.11,1333.92,1337.28,1333.62,3.13,0.25
20180123,1333.79,1334.89,1336.36,1331.96,5.08,-0.08
20180122,1334.89,1335.92,1336.67,1333.59,9.83,-0.08
20180121,1335.92,1334.10,1337.71,1334.10,5.82,0.21
20180118,1333.17,1331.73,1333.43,1328.31,2.89,0.11
20180117,1331.73,1321.40,1332.27,1321.40,3.31,0.78
20180116,1321.40,1324.80,1325.45,1321.40,3.22,-0.20
20180115,1324.10,1321.27,1324.97,1320.34,7.33,0.36
20180114,1319.41,1316.88,1320.00,1316.88,3.87,0.19
20180111,1316.88,1318.51,1319.40,1316.88,2.70,-0.07
20180110,1317.81,1317.03,1317.81,1313.94,5.83,0.20
20180109,1315.17,1320.40,1320.40,1312.31,5.99,-0.40
20180108,1320.40,1318.76,1322.97,1313.95,12.39,0.12
20180107,1318.76,1312.33,1320.46,1312.33,8.79,0.49
20180104,1312.33,1326.36,1326.36,1312.33,7.16,-0.99
20180103,1325.43,1323.90,1326.59,1316.07,8.68,0.26
20180102,1322.04,1327.06,1331.80,1320.15,5.22,-0.73
20171231,1331.71,1307.95,1331.71,1307.95,6.21,1.97
20171228,1306.03,1295.01,1306.39,1294.05,7.08,0.85
20171227,1295.01,1287.21,1295.01,1285.86,4.97,0.75
20171226,1285.34,1295.10,1298.65,1285.34,9.77,-0.61
20171225,1293.23,1287.28,1293.23,1284.18,10.27,0.57
20171224,1285.88,1281.10,1287.08,1280.14,7.66,0.37
20171221,1281.10,1265.41,1281.10,1265.41,5.29,1.24
20171220,1265.41,1269.58,1272.76,1265.41,13.00,-0.27
20171219,1268.89,1267.92,1272.15,1267.92,6.60,0.26
20171214,1265.59,1264.67,1268.86,1264.09,3.64,0.12
20171213,1264.12,1264.13,1264.45,1261.75,3.21,-0.00
20171212,1264.13,1265.09,1265.23,1262.64,1.66,-0.08
20171211,1265.09,1265.44,1267.06,1263.95,3.53,-0.03
20171210,1265.44,1268.53,1270.01,1264.28,1.92,-0.15
20171207,1267.39,1264.95,1270.43,1264.60,3.05,0.19
20171206,1264.95,1272.27,1272.27,1262.62,3.48,-0.58
20171205,1272.27,1274.13,1274.13,1271.69,2.45,-0.15
20171204,1274.13,1281.17,1283.53,1274.13,4.84,-0.47
20171203,1280.21,1286.04,1286.42,1278.57,1.29,-0.27
20171129,1283.71,1276.73,1284.81,1275.48,6.23,0.59
20171128,1276.18,1269.92,1276.18,1269.24,2.33,0.49
20171127,1269.92,1277.73,1278.85,1269.92,2.62,-0.56
20171126,1277.02,1276.58,1277.16,1276.06,3.00,0.03
20171123,1276.58,1269.41,1276.95,1269.41,6.96,0.59
20171122,1269.06,1262.71,1269.06,1262.71,5.66,0.43
20171121,1263.64,1267.15,1268.43,1259.35,1.60,-0.19
20171120,1266.02,1272.09,1273.05,1264.52,2.66,-0.48
20171119,1272.09,1269.90,1272.09,1269.31,8.74,0.17
20171116,1269.90,1265.09,1269.90,1261.13,10.25,0.38
20171115,1265.09,1259.57,1266.67,1259.32,3.54,0.41
20171114,1259.87,1263.23,1268.00,1259.87,4.59,-0.24
20171113,1262.86,1264.24,1265.33,1236.37,2.80,-0.11
20171112,1264.24,1268.71,1271.14,1252.58,3.90,-0.26
20171109,1267.58,1266.81,1269.93,1243.82,1.48,0.06
20171108,1266.81,1253.07,1276.86,1251.84,2.50,1.10
20171107,1253.07,1265.64,1266.88,1247.09,1.97,-0.99
20171106,1265.64,1277.54,1278.51,1265.13,2.73,-0.93
20171105,1277.54,1282.85,1283.56,1277.54,2.29,-0.41
20171102,1282.85,1279.09,1283.64,1279.09,3.02,0.29
20171101,1279.09,1277.85,1283.54,1277.85,2.60,0.19
20171031,1276.69,1276.48,1278.25,1274.15,3.54,0.02
20171030,1276.48,1277.93,1278.36,1276.48,815.08k,-0.02
20171029,1276.77,1277.83,1278.38,1276.77,1.34,-0.05
20171026,1277.38,1279.62,1280.20,1277.04,1.64,-0.08
20171025,1278.46,1276.50,1278.46,1275.19,1.64,0.15
20171024,1276.50,1287.68,1288.04,1276.50,2.17,-0.87
20171023,1287.68,1288.58,1288.58,1283.97,2.21,0.29
20171022,1283.91,1278.94,1286.59,1278.94,2.01,0.39
20171019,1278.94,1278.46,1283.06,1277.77,6.24,0.04
20171018,1278.46,1282.73,1283.09,1277.22,5.85,-0.33
20171017,1282.73,1278.26,1284.27,1278.26,4.56,0.35
20171016,1278.26,1274.36,1279.32,1274.36,5.50,0.31
20171015,1274.36,1274.75,1276.36,1273.23,1.43,-0.03
20171012,1274.75,1274.90,1276.88,1274.55,3.10,-0.01
20171011,1274.90,1271.66,1276.38,1271.66,2.75,0.25
20171010,1271.66,1273.18,1273.20,1269.54,6.02,-0.12
20171009,1273.18,1279.21,1280.78,1273.18,6.83,-0.47
20171008,1279.21,1274.45,1279.93,1274.45,6.32,0.40
