fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,4151.84,4163.67,4169.70,4150.25,-,-0.24
20180126,4162.01,4146.08,4167.85,4140.24,22.69,0.43
20180125,4144.23,4140.93,4155.98,4128.05,28.05,-0.06
20180124,4146.75,4148.51,4160.12,4139.45,28.63,-0.37
20180123,4161.99,4185.96,4188.95,4149.27,33.91,-0.36
20180122,4176.88,4155.86,4183.63,4151.88,24.77,0.43
20180119,4159.09,4137.31,4164.23,4122.68,27.50,0.41
20180118,4142.06,4157.71,4161.44,4126.92,26.89,-0.16
20180117,4148.60,4149.18,4159.93,4141.36,25.37,-0.37
20180116,4163.96,4156.53,4179.08,4152.88,25.76,-0.01
20180115,4164.45,4164.24,4172.88,4151.09,18.91,0.01
20180112,4164.12,4165.08,4166.00,4150.30,25.83,0.21
20180111,4155.31,4163.05,4164.58,4142.46,35.14,-0.05
20180110,4157.55,4143.84,4164.70,4136.49,42.73,0.38
20180109,4141.64,4120.05,4142.98,4118.56,25.32,0.66
20180108,4114.53,4114.40,4124.46,4110.50,21.85,0.43
20180105,4097.04,4067.74,4097.94,4067.70,26.26,0.96
20180104,4057.92,4025.78,4065.60,4023.33,33.93,1.31
20180103,4005.61,3988.10,4012.33,3974.21,26.67,0.66
20180102,3979.53,3990.37,3991.90,3957.76,21.81,0.04
20171229,3977.88,3990.22,4000.00,3975.22,17.17,-0.34
20171228,3991.36,4003.47,4004.44,3985.53,12.85,-0.29
20171227,4003.07,3993.98,4009.60,3989.90,12.89,0.20
20171222,3995.05,3987.31,4002.78,3981.86,15.55,-0.02
20171221,3996.00,3988.55,4003.12,3979.17,21.49,0.03
20171220,3994.68,4021.03,4021.03,3987.60,23.32,-0.65
20171219,4020.87,4023.01,4039.75,4019.44,22.34,-0.09
20171218,4024.65,4004.20,4034.14,4004.20,30.61,0.81
20171215,3992.27,3988.65,3996.12,3971.91,55.07,0.18
20171214,3985.22,3996.61,4009.47,3985.22,29.58,-0.42
20171213,4002.21,4020.68,4031.11,4002.21,27.21,-0.78
20171212,4033.58,4018.66,4035.77,4007.89,29.18,0.36
20171211,4019.19,4035.36,4037.56,4018.74,21.25,-0.16
20171208,4025.75,4013.88,4038.28,4012.12,43.29,0.78
20171207,3994.73,3979.74,4004.94,3978.15,29.44,0.38
20171206,3979.75,3968.83,3985.04,3952.35,27.53,-0.50
20171205,3999.67,4004.13,4014.12,3988.96,24.24,-0.04
20171204,4001.11,3990.87,4008.63,3979.30,26.76,0.93
20171201,3964.28,3987.35,3994.95,3955.66,31.01,-0.50
20171130,3984.10,4000.34,4008.98,3982.58,41.54,-0.38
20171129,3999.41,4003.83,4019.28,3994.89,29.34,0.34
20171128,3985.66,3973.31,3988.27,3967.63,19.75,0.36
20171127,3971.24,3981.30,4005.21,3970.51,19.52,-0.36
20171124,3985.46,3975.98,4004.21,3975.50,19.17,0.18
20171123,3978.19,3953.84,3984.13,3948.91,16.82,0.23
20171122,3969.19,3976.67,4002.09,3969.19,24.62,-0.04
20171121,3970.62,3961.56,3983.73,3953.62,28.21,0.21
20171120,3962.24,3944.27,3967.75,3940.82,24.08,0.21
20171117,3954.04,3987.47,3987.81,3939.23,29.02,-0.95
20171116,3991.86,3981.31,3997.07,3965.23,25.53,0.71
20171115,3963.83,3958.42,3971.17,3937.48,34.18,-0.52
20171114,3984.63,4007.39,4025.06,3978.18,27.43,-0.57
20171113,4007.57,4034.33,4035.97,3987.43,24.51,-0.46
20171110,4026.26,4037.39,4051.34,4022.51,26.56,-0.43
20171109,4043.49,4084.53,4096.77,4036.31,32.39,-1.03
20171108,4085.49,4084.78,4087.79,4063.37,28.70,-0.30
20171107,4097.64,4115.02,4121.08,4094.73,24.60,-0.51
20171106,4118.51,4107.34,4124.20,4101.52,20.97,0.14
20171103,4112.55,4109.62,4112.55,4091.89,25.23,0.25
20171102,4102.26,4115.98,4127.17,4088.43,31.55,-0.35
20171101,4116.50,4109.73,4129.81,4106.71,27.27,0.49
20171031,4096.38,4085.89,4102.47,4077.71,21.34,0.43
20171030,4078.68,4092.56,4093.98,4071.22,20.17,-0.33
20171027,4092.16,4104.33,4123.66,4083.84,30.17,0.06
20171026,4089.70,4039.73,4095.03,4034.56,31.87,1.02
