fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,770.04,782.90,784.67,768.99,-,-1.07
20180126,778.36,774.40,783.10,772.96,-,0.46
20180125,774.81,775.16,779.47,774.63,-,-0.21
20180124,776.42,773.33,776.42,771.42,-,0.16
20180123,775.16,774.12,776.66,772.75,-,-0.15
20180122,776.31,775.29,782.12,773.66,-,0.13
20180119,775.29,770.25,784.36,770.25,-,0.25
20180118,773.33,765.44,774.57,765.17,-,0.32
20180117,770.84,771.27,775.43,770.25,-,-0.49
20180116,774.65,770.08,774.72,768.89,-,0.86
20180115,768.01,783.14,783.14,764.23,-,-0.69
20180112,773.34,768.54,775.48,768.09,-,0.72
20180111,767.80,766.27,769.82,765.25,-,0.04
20180110,767.53,768.12,773.81,763.36,-,-0.40
20180109,770.64,767.21,771.31,764.84,-,0.38
20180108,767.70,753.19,778.19,753.19,-,1.95
20180105,753.03,754.55,756.54,743.36,-,-0.37
20180104,755.81,745.24,757.61,745.24,-,0.16
20180103,754.59,750.55,758.04,743.52,-,-0.69
20171229,759.80,755.26,763.39,753.30,-,1.36
20171228,749.62,736.33,751.43,736.33,-,-0.24
20171227,751.46,742.62,751.77,742.62,-,1.45
20171226,740.70,743.84,744.37,736.89,-,-0.22
20171225,742.34,738.31,745.25,734.18,-,-0.01
20171222,742.45,738.79,748.35,738.79,-,-0.80
20171221,748.40,748.69,751.48,746.86,-,-0.49
20171220,752.10,750.27,752.10,745.57,-,0.24
20171219,750.27,733.29,750.27,733.29,-,0.51
20171218,746.43,739.57,747.60,738.20,-,0.39
20171215,743.52,746.38,748.41,743.52,-,-0.50
20171214,747.24,740.60,747.40,740.60,-,0.43
20171213,744.07,741.96,744.19,741.96,-,0.04
20171212,743.78,743.93,748.80,743.66,-,-0.09
20171211,744.46,739.76,746.80,739.76,-,0.36
20171208,741.79,741.47,743.66,740.35,-,-0.12
20171207,742.65,743.97,744.27,742.18,-,-0.18
20171206,743.97,742.14,747.65,742.14,-,0.22
20171205,742.36,744.22,745.08,742.36,-,-0.28
20171204,744.43,744.16,744.56,744.16,-,-0.02
20171201,744.59,744.89,746.65,744.16,-,0.09
20171130,743.93,729.46,745.55,729.46,-,1.04
20171129,736.30,733.27,740.28,733.27,-,-0.42
20171128,739.42,736.81,740.75,735.34,-,0.11
20171127,738.63,735.67,739.63,735.67,-,-0.11
20171124,739.41,734.27,739.41,734.27,-,0.44
20171123,736.19,731.79,736.62,727.89,-,0.60
20171122,731.78,728.57,732.80,728.50,-,0.44
20171121,728.57,732.22,733.29,728.35,-,-0.73
20171120,733.93,732.74,735.14,732.65,-,-0.24
20171117,735.73,732.51,735.93,730.24,-,0.34
20171116,733.26,733.48,733.61,732.62,-,-0.03
20171115,733.48,737.01,738.83,732.67,-,-0.75
20171114,739.05,736.12,740.25,735.57,-,0.40
20171113,736.12,734.78,737.54,734.78,-,-0.34
20171110,738.64,737.83,739.86,736.08,-,0.50
20171109,734.99,729.93,735.94,729.14,-,0.61
20171108,730.57,728.51,732.93,728.51,-,0.12
20171107,729.68,730.72,732.38,729.68,-,0.00
20171106,729.65,721.64,730.21,721.64,-,0.10
20171103,728.92,728.41,729.91,727.34,-,0.17
20171102,727.66,728.23,730.86,723.52,-,-0.61
20171101,732.12,729.86,736.25,729.86,-,0.19
20171031,730.72,727.23,736.02,725.07,-,0.63
20171030,726.16,724.37,726.80,724.37,-,0.01
20171027,726.08,727.75,730.34,725.22,-,-0.33
20171026,728.50,728.19,729.23,727.22,-,0.13
20171025,727.55,727.39,728.57,726.11,-,0.05
20171024,727.18,728.46,728.68,726.18,-,-0.15
20171023,728.25,725.80,728.25,725.47,-,0.09
20171020,727.62,727.28,728.72,726.36,-,-0.35
20171019,730.17,726.84,731.05,726.84,-,0.50
20171018,726.52,729.32,729.93,725.80,-,-0.53
20171017,730.39,729.41,732.65,728.41,-,-0.07
20171016,730.90,727.90,732.21,727.90,-,0.50
20171013,727.24,723.08,727.61,722.86,-,-0.08
20171012,727.79,726.74,727.91,724.66,-,0.11
20171011,726.96,725.30,727.93,724.55,-,-0.04
20171010,727.23,726.90,729.35,726.90,-,0.02
20171009,727.11,725.22,727.97,723.28,-,0.14
20171006,726.08,721.06,727.29,721.06,-,0.55
20171005,722.11,720.44,723.45,719.72,-,0.20
20171004,720.66,721.53,722.25,720.65,-,-0.06
20171003,721.10,722.49,723.57,721.02,-,0.22
20171002,719.50,715.42,720.54,714.67,-,-0.17
20170929,720.76,722.08,723.14,719.37,-,-0.33
20170928,723.17,721.32,723.41,721.32,-,0.28
20170927,721.17,723.43,724.18,718.04,-,-0.34
20170926,723.64,723.48,726.65,721.23,-,-0.05
20170925,724.02,724.96,725.66,723.78,-,-0.16
20170922,725.19,730.96,731.84,725.19,-,-1.00
20170921,732.52,729.23,732.80,728.58,-,0.51
20170920,728.77,728.86,729.79,722.22,-,-0.01
20170919,728.86,730.61,731.51,728.64,-,-0.41
20170918,731.83,728.65,732.84,728.65,-,0.24
20170915,730.05,725.13,731.85,724.86,-,0.46
20170914,726.70,727.04,731.42,726.70,-,-0.31
20170913,728.96,728.66,730.20,728.41,-,0.06
20170912,728.53,728.06,729.37,726.43,-,-0.03
20170911,728.73,727.94,728.79,727.11,-,0.20
20170908,727.27,728.37,728.37,725.18,-,-0.28
20170907,729.28,726.14,730.19,726.14,-,0.22
20170906,727.70,725.20,727.88,725.11,-,0.41
20170905,724.74,724.62,726.66,724.09,-,-0.35
20170904,727.30,724.60,728.40,724.60,-,0.36
