fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,8426.58,8454.41,8460.92,8425.50,4.04,-0.09
20180126,8434.44,8413.46,8450.45,8406.60,9.47,0.25
20180125,8413.46,8436.41,8465.91,8384.70,89.35,-0.27
20180123,8436.41,8490.52,8507.11,8420.94,28.79,-0.64
20180122,8490.52,8361.95,8490.52,8330.35,16.70,1.54
20180119,8361.95,8374.67,8380.97,8347.28,8.66,-0.15
20180118,8374.67,8316.59,8374.92,8313.93,10.00,0.70
20180117,8316.59,8233.13,8316.59,8231.33,10.26,1.01
20180116,8233.13,8254.85,8256.48,8173.01,10.85,-0.26
20180115,8254.85,8269.05,8269.05,8209.96,10.04,-0.17
20180112,8269.05,8167.91,8269.05,8167.19,27.88,1.24
20180111,8167.91,8034.85,8171.65,8034.67,17.00,1.66
20180110,8034.85,8034.76,8041.70,8017.26,29.09,0.00
20180109,8034.76,7982.75,8034.76,7980.11,13.55,0.65
20180108,7982.75,7985.82,8010.41,7938.95,6.59,-0.04
20180105,7985.82,7965.70,8008.74,7964.90,19.59,0.25
20180104,7965.70,7910.81,7965.70,7901.59,15.55,0.69
20180103,7910.81,7753.74,7910.81,7753.74,26.14,2.03
20171229,7753.74,7722.36,7768.85,7706.52,4.79,0.41
20171228,7722.36,7722.38,7746.18,7709.35,6.59,-0.00
20171227,7722.38,7796.52,7805.45,7721.81,5.46,-0.95
20171222,7796.52,7794.33,7823.37,7783.32,9.95,0.03
20171221,7794.33,7800.40,7818.08,7766.16,14.57,-0.08
20171220,7800.40,7769.44,7813.71,7769.44,57.92,0.40
20171219,7769.44,7665.49,7781.00,7665.49,17.73,1.36
20171218,7665.49,7603.31,7677.84,7603.31,106.27,0.82
20171215,7603.31,7587.26,7648.19,7570.95,23.01,0.21
20171214,7587.26,7546.07,7589.12,7510.75,10.29,0.55
20171213,7546.07,7591.68,7596.81,7413.95,29.79,-0.60
20171212,7591.68,7614.51,7647.71,7564.63,24.00,-0.30
20171211,7614.51,7693.55,7708.46,7614.51,8.31,-1.03
20171208,7693.55,7671.61,7693.55,7663.48,9.26,0.29
20171207,7671.61,7670.16,7709.36,7636.47,19.40,0.02
20171206,7670.16,7720.17,7765.11,7670.16,18.46,-0.65
20171205,7720.17,7782.46,7807.95,7720.17,9.29,-0.80
20171204,7782.46,7796.21,7818.64,7776.04,30.74,-0.18
20171129,7796.21,7802.62,7826.15,7791.90,38.00,-0.08
20171128,7802.62,7737.64,7808.35,7737.64,18.86,0.84
20171127,7737.64,7782.80,7798.82,7722.07,5.13,-0.58
20171124,7782.80,7778.69,7832.43,7777.67,37.03,0.05
20171123,7778.69,7772.96,7804.31,7770.43,7.23,0.07
20171122,7772.96,7818.89,7834.18,7751.80,11.31,-0.59
20171121,7818.89,7813.85,7835.50,7803.26,7.40,0.06
20171120,7813.85,7772.14,7836.85,7766.79,9.72,0.54
20171117,7772.14,7716.26,7774.77,7716.26,4.22,0.72
20171116,7716.26,7731.54,7742.00,7688.69,13.51,-0.20
20171115,7731.54,7804.73,7839.83,7720.28,12.01,-0.94
20171114,7804.73,7738.66,7832.05,7738.66,19.47,0.85
20171113,7738.66,7771.63,7804.62,7738.48,9.48,-0.42
20171110,7771.63,7746.99,7796.10,7746.99,19.35,0.32
20171109,7746.99,7777.27,7794.82,7735.91,13.48,-0.39
20171108,7777.27,7747.69,7788.91,7747.41,14.74,0.38
20171107,7747.69,7784.05,7787.96,7723.77,34.11,-0.47
20171106,7784.05,7748.23,7786.48,7712.78,13.12,0.46
20171103,7748.23,7776.39,7825.30,7740.40,15.29,-0.36
20171102,7776.39,7790.33,7849.20,7776.39,5.88,-0.18
20171101,7790.33,7842.76,7860.21,7790.33,21.03,-0.67
20171031,7842.76,7845.51,7854.70,7804.23,17.12,-0.04
20171030,7845.51,7857.79,7872.08,7806.97,13.12,-0.16
20171027,7857.79,7879.53,7889.99,7837.68,7.31,-0.28
20171026,7879.53,7880.70,7893.79,7864.47,17.85,-0.01
20171025,7880.70,7890.90,7897.56,7839.54,11.80,-0.13
20171024,7890.90,7900.58,7919.19,7871.28,12.19,-0.12
20171023,7900.58,7933.48,7952.73,7900.58,15.57,-0.41
20171020,7933.48,8005.77,8035.27,7933.48,5.46,-0.90
20171019,8005.77,8053.35,8067.94,8002.34,15.54,-0.59
20171018,8053.35,8063.80,8072.75,8039.86,16.81,-0.13
20171017,8063.80,8032.38,8073.15,8030.52,18.04,0.39
20171016,8032.38,8034.96,8048.46,8025.56,18.90,-0.03
20171013,8034.96,7997.22,8044.08,7997.22,16.87,0.47
20171012,7997.22,8004.84,8014.18,7991.20,6.12,-0.10
20171011,8004.84,8022.51,8022.65,7984.95,11.00,-0.22
20171010,8022.51,8006.37,8032.57,7996.71,20.48,0.20
