fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,571.14,569.87,571.14,569.87,-,0.22
20180126,569.87,569.72,571.14,569.72,-,0.03
20180125,569.72,570.52,570.52,569.72,-,-0.14
20180124,570.52,556.93,570.52,556.93,-,2.44
20180123,556.93,542.94,556.93,541.67,-,2.58
20180122,542.94,542.94,542.94,542.94,-,0.00
20180119,542.94,540.63,542.94,540.63,-,0.43
20180118,540.63,541.90,541.90,540.63,-,-0.23
20180117,541.90,539.36,541.90,539.36,-,0.47
20180116,539.36,539.36,539.36,539.36,-,0.00
20180115,539.36,542.14,542.14,539.36,-,-0.51
20180112,542.14,539.76,542.14,539.76,-,0.44
20180111,539.76,537.22,539.76,537.22,-,0.47
20180110,537.22,538.97,538.97,537.07,-,-0.32
20180108,538.97,541.23,541.31,538.77,-,-0.42
20180105,541.23,541.63,541.63,541.23,-,-0.07
20180104,541.63,542.90,542.90,540.36,-,-0.23
20180103,542.90,543.38,543.38,542.90,-,-0.09
20171229,543.38,559.89,559.89,543.38,-,-2.95
20171228,559.89,564.86,564.97,559.89,-,-0.88
20171227,564.86,564.86,564.86,564.86,-,0.00
20171226,564.86,564.97,564.97,564.86,-,-0.02
20171225,564.97,564.97,564.97,564.97,-,0.00
20171222,564.97,564.56,565.83,564.56,-,0.07
20171221,564.56,565.10,565.46,564.56,-,-0.10
20171220,565.10,570.73,570.73,561.98,-,-0.99
20171219,570.73,573.99,573.99,570.73,-,-0.57
20171218,573.99,575.25,575.25,573.99,-,-0.22
20171215,575.25,575.23,575.25,573.99,-,0.00
20171214,575.23,573.44,575.23,573.44,-,0.31
20171213,573.44,574.12,575.01,573.44,-,-0.12
20171212,574.12,574.12,574.12,574.12,-,0.00
20171211,574.12,572.85,574.12,572.85,-,0.22
20171208,572.85,574.12,574.12,572.85,-,-0.22
20171207,574.12,574.12,574.12,574.12,-,0.00
20171206,574.12,580.09,580.16,574.12,-,-1.03
20171205,580.09,582.17,582.17,580.09,-,-0.36
20171204,582.17,582.17,582.17,582.17,-,0.00
20171201,582.17,582.17,582.17,582.17,-,0.00
20171130,582.17,577.52,582.17,577.43,-,0.81
20171129,577.52,570.73,577.52,570.73,-,1.19
20171128,570.73,566.57,572.00,566.57,-,0.73
20171127,566.57,566.57,566.57,566.57,-,0.00
20171124,566.57,565.30,566.57,565.30,-,0.22
20171123,565.30,565.30,565.30,565.30,-,0.00
20171122,565.30,564.28,566.70,563.38,-,0.18
20171121,564.28,563.01,564.28,563.01,-,0.00
20171120,564.28,563.01,564.28,563.01,-,0.16
