fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1176.24,1176.24,1176.24,1176.24,-,1.12
20180126,1163.25,1161.16,1164.53,1160.06,-,0.24
20180125,1160.41,1179.50,1182.37,1159.58,78.96k,-1.86
20180124,1182.37,1180.46,1182.97,1179.65,344.45k,0.13
20180123,1180.83,1180.83,1180.83,1180.83,-,-0.07
20180122,1181.71,0.00,1183.54,1176.53,-,1.07
20180119,1169.16,1167.56,1169.50,1166.99,-,0.13
20180118,1167.66,1170.79,1175.20,1167.49,63.41k,-0.46
20180117,1173.07,1170.16,1175.17,1168.54,81.35k,0.25
20180116,1170.16,1169.73,1171.09,1168.21,193.44k,-0.08
20180115,1171.09,1160.61,1171.75,1160.61,45.25k,0.73
20180112,1162.66,1148.32,1162.66,1147.83,-,0.80
20180111,1153.42,1154.32,1154.32,1152.08,44.44k,-0.06
20180110,1154.16,1160.40,1164.71,1149.45,538.09k,-0.52
20180109,1160.16,1156.10,1160.43,1156.10,92.32k,0.21
20180108,1157.74,1157.74,1157.74,1157.74,-,-0.32
20180105,1161.43,1162.37,1164.14,1158.48,-,-0.04
20180104,1161.91,1144.19,1165.75,1144.19,106.30k,1.39
20180103,1146.00,1146.40,1148.92,1145.61,64.91k,0.03
20180102,1145.61,1145.61,1145.61,1145.61,-,-0.26
20171229,1148.57,1142.58,1149.32,1140.31,-,0.52
20171228,1142.60,1140.92,1142.60,1140.84,8.66k,0.15
20171227,1140.84,1139.66,1143.51,1139.66,311.93k,0.07
20171226,1139.99,1139.99,1139.99,1139.99,-,-0.40
20171222,1144.62,1146.07,1146.07,1142.99,-,-0.12
20171221,1146.05,1140.45,1146.68,1138.76,222.49k,0.49
20171220,1140.44,1139.18,1141.16,1136.82,76.42k,0.42
20171218,1135.70,1135.70,1135.70,1135.70,-,0.21
20171217,1133.29,1133.29,1133.29,1133.29,-,0.00
20171215,1133.29,1132.94,1135.37,1132.63,-,0.00
20171214,1133.29,1123.57,1133.29,1121.12,626.06k,0.86
20171213,1123.58,1124.19,1125.41,1123.20,377.47k,-0.07
