fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,837.20,834.67,840.10,832.78,-,0.28
20180125,834.84,830.76,838.12,829.38,-,0.52
20180124,830.50,834.76,838.67,829.95,-,-0.65
20180123,835.90,836.83,841.93,829.96,-,-0.03
20180122,836.11,832.40,836.11,830.61,-,0.41
20180119,832.69,831.33,833.87,827.86,-,0.16
20180118,831.33,827.77,831.51,822.87,-,0.22
20180117,829.48,822.05,831.48,822.05,-,0.90
20180116,822.05,827.67,832.12,821.86,-,-0.77
20180115,828.40,823.65,829.88,823.34,-,0.51
20180112,824.22,820.63,826.40,820.58,-,0.55
20180111,819.74,818.42,821.09,816.36,-,0.16
20180110,818.42,813.03,819.90,811.70,-,0.56
20180109,813.90,806.17,818.26,805.37,-,0.74
20180108,807.89,800.53,809.11,799.57,-,0.70
20180105,802.25,799.29,802.94,797.69,35.75k,0.47
20180104,798.46,795.19,803.40,795.07,48.30k,0.44
20180103,794.96,800.05,803.91,791.94,19.79k,-1.42
20171229,806.38,796.37,806.38,792.04,62.98k,1.26
20171228,796.37,793.57,798.90,789.90,48.60k,0.41
20171227,793.15,795.56,795.56,788.03,46.03k,-0.30
20171222,795.56,790.29,796.39,783.59,94.79k,0.78
20171221,789.44,790.87,790.87,786.13,20.57k,-0.15
20171220,790.64,786.71,792.89,786.18,32.80k,0.46
20171219,787.04,789.84,794.38,780.49,42.17k,-0.59
20171218,791.71,790.43,793.77,783.50,15.60k,-0.16
20171215,793.01,794.28,794.68,786.53,28.51k,-0.16
20171214,794.28,784.92,794.28,783.64,24.04k,1.30
20171213,784.08,783.68,785.83,780.41,32.96k,0.05
20171212,783.68,775.79,783.68,775.79,22.12k,1.02
20171211,775.77,779.96,782.34,772.63,26.40k,-0.56
20171208,780.14,779.11,782.34,776.51,23.70k,0.20
20171207,778.61,775.81,784.85,775.81,9.81k,0.70
20171206,773.18,784.89,786.09,771.92,52.13k,-1.49
20171205,784.89,786.58,790.38,783.83,19.28k,-0.65
20171204,790.02,784.90,791.06,784.09,38.25k,0.65
20171201,784.90,781.72,785.84,777.30,25.37k,0.40
20171130,781.74,779.16,782.91,778.11,20.64k,0.29
20171129,779.46,780.56,781.98,778.24,26.32k,-0.14
20171128,780.54,781.79,782.95,780.15,13.80k,-0.22
20171127,782.27,782.95,782.95,779.61,18.26k,-0.09
20171124,782.95,781.76,784.37,779.86,18.60k,0.16
20171123,781.69,787.06,787.28,780.22,18.26k,-0.56
20171122,786.11,790.81,792.53,784.25,34.15k,-0.64
20171121,791.16,786.73,791.16,785.90,9.80k,0.44
20171120,787.69,792.93,792.93,786.67,27.32k,-0.55
20171117,792.06,790.88,793.36,786.00,13.33k,0.14
20171116,790.95,784.98,790.95,784.50,26.74k,0.74
20171115,785.12,789.09,789.55,783.38,13.94k,-0.49
20171114,789.00,786.14,790.24,786.14,15.01k,0.05
20171113,788.57,792.01,792.01,786.94,22.42k,-0.43
20171110,792.00,788.89,794.35,788.89,17.74k,0.47
20171109,788.29,792.07,793.40,788.12,13.04k,-0.42
