fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,84698.02,85530.84,85530.84,84344.20,4.01,-0.97
20180126,85530.84,83680.24,85530.84,83680.24,5.58,2.21
20180124,83680.00,80678.81,83680.00,80678.81,5.67,3.72
20180123,80678.35,81676.09,81676.09,80523.84,3.83,-1.22
20180122,81675.42,81219.50,81675.42,80922.85,2.78,0.56
20180119,81219.50,80964.73,81429.06,80853.76,3.22,0.32
20180118,80962.65,81185.02,81367.38,80498.49,3.54,-0.28
20180117,81189.16,79831.63,81189.47,79827.85,3.44,1.70
20180116,79831.76,79750.74,80246.33,79667.72,3.07,0.10
20180115,79752.37,79349.12,79846.66,79349.12,2.00,0.51
20180112,79349.12,79365.44,79440.47,78861.38,3.69,-0.02
20180111,79365.44,78200.75,79365.44,78200.75,3.51,1.49
20180110,78200.57,78863.57,78863.57,78163.85,2.85,-0.84
20180109,78863.54,79379.21,79414.91,78699.25,3.57,-0.65
20180108,79378.54,79070.27,79395.45,78631.25,2.63,0.39
20180105,79071.47,78644.27,79071.47,78218.11,2.83,0.54
20180104,78647.42,77997.69,79134.83,77997.69,3.59,0.84
20180103,77995.16,77889.41,78413.89,77601.52,3.24,0.13
20180102,77891.04,76402.60,77909.01,76402.60,2.97,1.95
20171228,76402.08,76077.06,76436.88,76077.06,2.15,0.43
20171227,76072.54,75707.73,76292.70,75707.73,1.85,0.48
20171226,75707.73,75186.53,75837.23,74923.89,1.63,0.69
20171222,75186.53,75128.09,75227.01,74622.58,1.97,0.07
20171221,75133.43,73367.03,75133.43,73265.40,3.15,2.41
20171220,73367.03,72679.76,73491.53,72679.76,2.29,0.94
20171219,72680.37,73121.62,73139.27,72346.58,2.42,-0.60
20171218,73115.45,72621.39,73518.58,72621.39,3.30,0.70
20171215,72607.70,72428.32,73068.80,72277.15,4.80,0.25
20171214,72428.93,72912.72,72912.72,71968.97,3.60,-0.67
20171213,72914.33,73827.21,74621.78,72568.73,4.63,-1.22
20171212,73813.53,72799.71,73813.53,71798.49,3.05,1.39
20171211,72800.04,72774.97,73360.94,72497.52,2.53,0.09
