fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,210.03,210.03,210.03,210.03,-,-0.00
20180125,210.04,210.04,210.04,210.04,-,0.10
20180124,209.84,209.84,209.84,209.84,-,-0.08
20180123,210.01,210.01,210.01,210.01,-,0.22
20180122,209.54,209.54,209.54,209.54,-,-0.32
20180119,210.21,210.21,210.21,210.21,-,0.41
20180118,209.35,209.35,209.35,209.35,-,-0.68
20180117,210.79,210.79,210.79,210.79,-,0.61
20180116,209.51,209.51,209.51,209.51,-,-0.34
20180115,210.22,210.22,210.22,210.22,-,-0.20
20180112,210.65,210.65,210.65,210.65,-,-0.12
20180111,210.90,210.90,210.90,210.90,-,-0.45
20180110,211.85,211.85,211.85,211.85,-,1.04
20180109,209.66,209.66,209.66,209.66,-,-0.14
20180108,209.96,209.96,209.96,209.96,-,-0.88
20180105,211.82,211.82,211.82,211.82,-,-0.55
20180104,212.99,212.99,212.99,212.99,-,-0.38
20180103,213.80,213.80,213.80,213.80,-,-0.61
20180102,215.12,215.12,215.12,215.12,-,-2.06
20171229,219.65,219.65,219.65,219.65,-,2.74
20171228,213.79,213.79,213.79,213.79,-,2.26
20171227,209.07,209.07,209.07,209.07,-,0.61
20171226,207.80,207.80,207.80,207.80,-,-1.00
20171222,209.90,209.90,209.90,209.90,-,1.87
20171221,206.05,206.05,206.05,206.05,-,0.64
20171220,204.73,204.73,204.73,204.73,-,-0.18
20171219,205.10,205.10,205.10,205.10,-,0.81
20171218,203.45,203.45,203.45,203.45,-,0.04
20171215,203.37,203.37,203.37,203.37,-,2.15
20171214,199.09,199.09,199.09,199.09,-,-2.95
20171213,205.14,205.14,205.14,205.14,-,-0.35
20171212,205.86,205.86,205.86,205.86,-,0.28
20171211,205.29,205.29,205.29,205.29,-,-0.61
20171208,206.55,206.55,206.55,206.55,-,-0.51
20171207,207.60,207.60,207.60,207.60,-,0.14
20171206,207.32,207.32,207.32,207.32,-,0.93
20171205,205.40,205.40,205.40,205.40,-,0.33
20171204,204.73,204.73,204.73,204.73,-,-0.91
20171130,206.61,206.61,206.61,206.61,-,0.93
20171129,204.71,204.71,204.71,204.71,-,0.31
20171128,204.07,204.07,204.07,204.07,-,0.98
20171127,202.09,202.09,202.09,202.09,-,-0.58
20171124,203.27,203.27,203.27,203.27,-,-0.64
20171123,204.58,204.58,204.58,204.58,-,-1.83
20171122,208.39,208.39,208.39,208.39,-,2.97
20171121,202.38,202.38,202.38,202.38,-,-0.46
20171120,203.31,203.31,203.31,203.31,-,-1.94
20171117,207.33,207.33,207.33,207.33,-,-0.75
20171116,208.90,208.90,208.90,208.90,-,0.05
20171114,208.79,208.79,208.79,208.79,-,-0.80
20171113,210.47,210.47,210.47,210.47,-,0.93
20171110,208.53,208.53,208.53,208.53,-,-0.16
20171109,208.87,208.87,208.87,208.87,-,-0.67
20171108,210.28,210.28,210.28,210.28,-,0.96
20171107,208.29,208.29,208.29,208.29,-,-0.14
20171106,208.59,208.59,208.59,208.59,-,0.29
20171103,207.98,207.98,207.98,207.98,-,-0.67
20171102,209.38,209.38,209.38,209.38,-,0.26
20171031,208.84,208.84,208.84,208.84,-,-0.52
20171030,209.94,209.94,209.94,209.94,-,0.84
20171027,208.19,208.19,208.19,208.19,-,-0.79
20171026,209.84,209.84,209.84,209.84,-,0.03
20171025,209.78,209.78,209.78,209.78,-,0.55
20171024,208.63,208.63,208.63,208.63,-,-0.18
20171023,209.00,209.00,209.00,209.00,-,-0.26
20171020,209.54,209.54,209.54,209.54,-,-0.88
20171019,211.41,211.41,211.41,211.41,-,0.12
20171018,211.15,211.15,211.15,211.15,-,-0.46
20171017,212.12,212.12,212.12,212.12,-,1.47
20171016,209.05,209.05,209.05,209.05,-,-1.33
20171013,211.87,211.87,211.87,211.87,-,-1.02
20171012,214.05,214.05,214.05,214.05,-,-1.33
20171011,216.93,216.93,216.93,216.93,-,1.29
20171010,214.16,214.16,214.16,214.16,-,0.84
20171009,212.37,212.37,212.37,212.37,-,-0.77
20171006,214.02,214.02,214.02,214.02,-,1.01
20171005,211.87,211.87,211.87,211.87,-,-0.51
20171004,212.95,212.95,212.95,212.95,-,0.71
20171003,211.45,211.45,211.45,211.45,-,-0.54
20171002,212.60,212.60,212.60,212.60,-,-0.78
20170929,214.28,214.28,214.28,214.28,-,0.46
20170928,213.29,213.29,213.29,213.29,-,0.45
20170927,212.33,212.33,212.33,212.33,-,1.05
20170926,210.13,210.13,210.13,210.13,-,-0.11
20170925,210.36,210.36,210.36,210.36,-,-0.27
20170922,210.93,210.93,210.93,210.93,-,-0.49
20170921,211.96,211.96,211.96,211.96,-,0.51
20170920,210.89,210.89,210.89,210.89,-,-0.39
20170919,211.71,211.71,211.71,211.71,-,-0.48
20170918,212.74,212.74,212.74,212.74,-,-0.59
20170915,214.01,214.01,214.01,214.01,-,-0.83
20170914,215.81,215.81,215.81,215.81,-,-0.54
20170913,216.99,216.99,216.99,216.99,-,0.47
20170912,215.98,215.98,215.98,215.98,-,-0.59
20170911,217.26,217.26,217.26,217.26,-,0.65
