fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,8751.50,8751.50,8751.50,8751.50,-,0.01
20180126,8750.25,8750.25,8750.25,8750.25,-,-0.02
20180125,8752.17,8752.17,8752.17,8752.17,-,-0.03
20180124,8754.75,8754.75,8754.75,8754.75,-,-0.01
20180123,8755.45,8755.45,8755.45,8755.45,-,-0.02
20180122,8757.54,8757.54,8757.54,8757.54,-,-0.02
20180119,8759.24,8759.24,8759.24,8759.24,-,-0.05
20180118,8763.25,8763.25,8763.25,8763.25,-,-0.55
20180117,8811.98,8811.98,8811.98,8811.98,-,0.00
20180116,8811.98,8811.98,8811.98,8811.98,-,-0.03
20180115,8815.05,8815.05,8815.05,8815.05,-,-0.04
20180112,8818.91,8818.91,8818.91,8818.91,-,-0.09
20180111,8827.25,8827.25,8827.25,8827.25,-,0.00
20180110,8827.25,8827.25,8827.25,8827.25,-,0.06
20180109,8821.93,8821.93,8821.93,8821.93,-,-0.02
20180108,8824.03,8824.03,8824.03,8824.03,-,-0.43
20180105,8861.89,8861.89,8861.89,8861.89,-,0.00
20180104,8861.72,8861.72,8861.72,8861.72,-,0.02
20180103,8860.13,8860.13,8860.13,8860.13,-,0.00
20171229,8860.13,8860.13,8860.13,8860.13,-,0.00
20171228,8860.13,8860.13,8860.13,8860.13,-,-0.02
20171227,8862.22,8862.22,8862.22,8862.22,-,-0.06
20171222,8867.92,8867.92,8867.92,8867.92,-,-0.03
20171221,8870.30,8870.30,8870.30,8870.30,-,-0.14
20171220,8882.81,8882.81,8882.81,8882.81,-,0.01
20171219,8882.30,8882.30,8882.30,8882.30,-,-0.10
20171218,8890.86,8890.86,8890.86,8890.86,-,0.46
20171215,8850.43,8850.43,8850.43,8850.43,-,-0.03
20171214,8853.16,8853.16,8853.16,8853.16,-,-0.19
20171213,8869.93,8869.93,8869.93,8869.93,-,-0.10
20171212,8878.47,8878.47,8878.47,8878.47,-,-0.11
20171211,8888.31,8888.31,8888.31,8888.31,-,-0.01
20171208,8888.81,8888.81,8888.81,8888.81,-,0.00
20171207,8888.81,8888.81,8888.81,8888.81,-,0.02
20171206,8886.71,8886.71,8886.71,8886.71,-,0.05
20171205,8882.52,8882.52,8882.52,8882.52,-,-0.05
20171204,8886.80,8886.80,8886.80,8886.80,-,0.08
20171201,8879.43,8879.43,8879.43,8879.43,-,-0.01
20171130,8880.38,8880.38,8880.38,8880.38,-,-0.18
20171129,8896.65,8896.65,8896.65,8896.65,-,-0.03
20171128,8899.14,8899.14,8899.14,8899.14,-,0.02
20171127,8897.04,8897.04,8897.04,8897.04,-,-0.01
20171124,8897.86,8897.86,8897.86,8897.86,-,-0.02
20171123,8900.04,8900.04,8900.04,8900.04,-,0.00
20171122,8899.83,8899.83,8899.83,8899.83,-,-0.14
20171121,8912.66,8912.66,8912.66,8912.66,-,0.05
20171120,8908.47,8908.47,8908.47,8908.47,-,-0.08
20171117,8915.17,8915.17,8915.17,8915.17,-,0.00
20171116,8915.14,8915.14,8915.14,8915.14,-,0.12
20171115,8904.05,8904.05,8904.05,8904.05,-,0.00
20171114,8904.05,8904.05,8904.05,8904.05,-,0.02
20171113,8902.33,8902.33,8902.33,8902.33,-,-0.08
20171110,8909.09,8909.09,8909.09,8909.09,-,0.03
20171109,8906.85,8906.85,8906.85,8906.85,-,0.14
20171108,8894.02,8894.02,8894.02,8894.02,-,0.03
20171107,8891.75,8891.75,8891.75,8891.75,-,-0.06
20171106,8896.75,8896.75,8896.75,8896.75,-,-0.13
20171103,8907.92,8907.92,8907.92,8907.92,-,0.02
20171102,8905.83,8905.83,8905.83,8905.83,-,-0.13
20171101,8917.34,8917.34,8917.34,8917.34,-,0.00
20171031,8917.34,8917.34,8917.34,8917.34,-,0.02
20171030,8915.24,8915.24,8915.24,8915.24,-,-0.06
20171027,8920.36,8920.36,8920.36,8920.36,-,0.00
20171026,8920.36,8920.36,8920.36,8920.36,-,0.00
20171025,8920.36,8920.36,8920.36,8920.36,-,0.00
20171024,8920.36,8920.36,8920.36,8920.36,-,0.00
20171023,8920.36,8920.36,8920.36,8920.36,-,0.00
20171020,8920.36,8920.36,8920.36,8920.36,-,0.00
20171019,8920.36,8920.36,8920.36,8920.36,-,0.00
20171018,8920.36,8920.36,8920.36,8920.36,-,0.01
20171017,8919.80,8919.80,8919.80,8919.80,-,0.03
20171016,8917.51,8917.51,8917.51,8917.51,-,-0.06
20171013,8922.52,8922.52,8922.52,8922.52,-,0.11
20171012,8912.53,8912.53,8912.53,8912.53,-,0.17
20171011,8897.18,8897.18,8897.18,8897.18,-,-0.04
20171010,8900.71,8900.71,8900.71,8900.71,-,-0.19
20171009,8917.91,8917.91,8917.91,8917.91,-,-0.07
20171006,8923.72,8923.72,8923.72,8923.72,-,-0.03
20171005,8926.50,8926.50,8926.50,8926.50,-,-0.04
20171004,8930.36,8930.36,8930.36,8930.36,-,0.00
20171003,8930.36,8930.36,8930.36,8930.36,-,0.00
20170929,8930.36,8930.36,8930.36,8930.36,-,0.06
20170928,8924.89,8924.89,8924.89,8924.89,-,0.13
20170927,8912.98,8912.98,8912.98,8912.98,-,-0.07
20170926,8919.04,8919.04,8919.04,8919.04,-,-0.46
20170925,8959.96,8959.96,8959.96,8959.96,-,0.00
20170922,8959.96,8959.96,8959.96,8959.96,-,0.00
20170921,8959.96,8959.96,8959.96,8959.96,-,-0.10
20170920,8969.09,8969.09,8969.09,8969.09,-,0.01
20170919,8967.97,8967.97,8967.97,8967.97,-,0.00
20170918,8967.97,8967.97,8967.97,8967.97,-,-0.14
20170915,8980.82,8980.82,8980.82,8980.82,-,0.00
20170914,8980.82,8980.82,8980.82,8980.82,-,-0.00
20170913,8981.19,8981.19,8981.19,8981.19,-,0.00
20170912,8981.19,8981.19,8981.19,8981.19,-,0.00
20170911,8981.19,8981.19,8981.19,8981.19,-,-0.05
20170908,8985.48,8985.48,8985.48,8985.48,-,0.10
20170907,8976.91,8976.91,8976.91,8976.91,-,0.54
20170906,8929.09,8929.09,8929.09,8929.09,-,0.00
20170905,8928.72,8928.72,8928.72,8928.72,-,0.00
20170904,8928.72,8928.72,8928.72,8928.72,-,-0.20
20170901,8946.71,8946.71,8946.71,8946.71,-,0.01
20170831,8945.57,8945.57,8945.57,8945.57,-,-0.01
20170830,8946.13,8946.13,8946.13,8946.13,-,-0.03
20170829,8949.15,8949.15,8949.15,8949.15,-,-0.03
20170828,8951.75,8951.75,8951.75,8951.75,-,0.00
20170825,8951.75,8951.75,8951.75,8951.75,-,-0.05
20170824,8956.60,8956.60,8956.60,8956.60,-,0.00
20170823,8956.28,8956.28,8956.28,8956.28,-,0.08
20170822,8949.56,8949.56,8949.56,8949.56,-,-0.28
20170821,8974.34,8974.34,8974.34,8974.34,-,0.04
20170818,8970.33,8970.33,8970.33,8970.33,-,-0.09
20170817,8978.10,8978.10,8978.10,8978.10,-,0.00
20170816,8978.10,8978.10,8978.10,8978.10,-,0.00
20170815,8978.10,8978.10,8978.10,8978.10,-,0.03
20170814,8975.78,8975.78,8975.78,8975.78,-,-0.10
20170811,8984.87,8984.87,8984.87,8984.87,-,0.00
20170810,8984.87,8984.87,8984.87,8984.87,-,-0.05
20170809,8989.06,8989.06,8989.06,8989.06,-,-0.03
20170808,8991.94,8991.94,8991.94,8991.94,-,-0.23
20170807,9012.88,9012.88,9012.88,9012.88,-,-0.06
20170804,9018.00,9018.00,9018.00,9018.00,-,-0.06
20170803,9023.12,9023.12,9023.12,9023.12,-,0.01
20170802,9021.80,9021.80,9021.80,9021.80,-,-0.06
20170801,9026.78,9026.78,9026.78,9026.78,-,0.00
20170731,9026.60,9026.60,9026.60,9026.60,-,-0.56
