fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,709.45,709.62,711.51,708.72,-,-0.02
20180126,709.62,709.62,710.83,706.10,-,0.20
20180125,708.17,708.17,708.66,706.56,-,0.18
20180124,706.89,706.89,711.87,706.89,-,-0.34
20180123,709.28,709.28,711.53,707.94,-,0.18
20180122,708.02,708.02,712.09,706.97,-,-0.52
20180119,711.69,711.69,712.06,708.29,-,0.07
20180118,711.20,711.20,711.26,708.76,-,0.19
20180117,709.86,709.86,716.76,706.95,-,-0.77
20180116,715.40,715.40,718.16,713.91,-,0.15
20180115,714.31,714.31,714.54,709.45,-,0.60
20180112,710.02,710.02,711.46,702.78,-,1.03
20180111,702.78,702.78,710.14,697.93,-,0.69
20180110,697.93,697.93,700.14,687.68,-,1.43
20180109,688.11,688.11,691.29,686.33,-,-0.11
20180108,688.88,688.88,692.24,685.85,-,-0.49
20180105,692.24,692.24,695.49,689.46,-,0.18
20180104,691.01,691.01,692.61,685.09,-,0.86
20180103,685.09,685.09,687.64,677.19,-,0.06
20180102,684.71,684.71,685.89,677.45,-,1.07
20171229,677.45,677.45,678.53,671.83,-,0.28
20171228,675.57,675.57,676.96,669.34,-,0.56
20171222,671.84,671.84,671.84,664.18,-,0.91
20171221,665.76,665.76,665.76,662.00,-,0.30
20171220,663.79,663.79,663.79,660.15,-,0.15
20171219,662.80,662.80,662.81,659.45,-,0.09
20171218,662.19,662.19,664.79,662.19,-,-0.37
20171215,664.67,664.67,664.93,658.46,-,0.17
20171214,663.57,663.57,666.74,663.16,-,-0.48
20171213,666.74,666.74,667.97,664.57,-,-0.04
20171212,666.99,666.99,668.99,665.08,-,0.23
20171211,665.47,665.47,667.32,663.80,-,0.03
20171208,665.29,665.29,667.46,663.13,-,-0.01
20171207,665.37,665.37,667.70,664.39,-,-0.14
20171206,666.31,666.31,670.08,663.66,-,-0.28
20171205,668.19,668.19,669.68,666.49,-,-0.20
20171204,669.53,669.53,670.42,667.02,-,0.38
20171201,667.02,667.02,667.02,662.32,-,0.30
20171130,665.03,665.03,668.53,664.03,-,-0.34
20171129,667.27,667.27,669.17,665.26,-,-0.02
20171128,667.39,667.39,667.86,665.36,-,0.21
20171127,666.01,666.01,669.40,664.94,-,-0.20
20171124,667.37,667.37,667.91,665.49,-,-0.08
20171123,667.91,667.91,670.02,666.76,-,-0.22
20171122,669.38,669.38,669.97,668.76,-,-0.09
20171121,669.97,669.97,671.40,668.18,-,0.12
20171120,669.14,669.14,670.26,667.97,-,0.04
20171117,668.87,668.87,671.27,667.52,-,-0.01
20171116,668.91,668.91,669.89,666.62,-,-0.02
20171115,669.04,669.04,671.81,668.26,-,-0.24
20171114,670.66,670.66,671.06,668.71,-,0.22
20171113,669.22,669.22,673.92,669.13,-,-0.38
20171110,671.78,671.78,671.78,667.71,-,0.01
20171109,671.73,671.73,674.58,669.38,-,-0.11
20171108,672.49,672.49,675.79,669.90,-,-0.27
20171107,674.34,674.34,674.89,669.06,-,0.23
20171106,672.79,672.79,676.02,672.59,-,-0.37
20171103,675.28,675.28,675.28,669.86,-,0.77
20171102,670.13,670.13,672.68,666.25,-,-0.11
20171101,670.90,670.90,675.28,670.90,-,-0.08
20171031,671.41,671.41,673.59,669.99,-,0.21
20171030,669.99,669.99,670.36,665.73,-,0.64
20171027,665.73,665.73,665.73,652.11,-,1.50
20171026,655.90,655.90,657.63,651.69,-,0.23
20171025,654.37,654.37,654.59,649.72,-,0.28
20171024,652.55,652.55,667.48,651.49,-,-2.24
20171023,667.48,667.48,670.60,666.95,-,-0.05
20171020,667.82,667.82,671.00,666.81,-,-0.05
20171019,668.18,668.18,670.92,667.01,-,-0.35
20171018,670.55,670.55,671.11,668.12,-,-0.08
20171017,671.11,671.11,671.11,668.45,-,0.12
20171016,670.28,670.28,671.07,669.17,-,0.17
20171013,669.17,669.17,671.69,668.31,-,0.13
20171012,668.31,668.31,673.03,668.08,-,-0.67
20171011,672.80,672.80,676.26,672.03,-,-0.51
20171010,676.26,676.26,679.90,672.71,-,-0.46
20171009,679.41,679.41,680.96,677.73,-,-0.01
20171006,679.50,679.50,679.69,672.62,-,0.98
20171005,672.93,672.93,678.07,671.43,-,-0.65
20171004,677.35,677.35,681.73,676.36,-,-0.49
20171003,680.67,680.67,688.30,679.71,-,-1.03
20171002,687.75,687.75,693.47,686.71,-,-0.05
20170929,688.11,688.11,691.21,687.06,-,-0.18
20170928,689.37,689.37,690.55,684.12,-,0.77
20170927,684.12,684.12,684.68,678.96,-,0.11
20170926,683.35,683.35,687.05,680.87,-,0.36
20170925,680.87,680.87,681.32,675.31,-,0.33
20170921,678.65,678.65,684.84,677.65,-,0.15
