fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3760.58,3662.12,3926.53,3662.12,-,2.69
20180126,3662.12,2883.43,3662.51,2883.43,-,27.01
20180125,2883.43,2489.75,2883.43,2489.75,-,15.81
20180124,2489.75,2520.32,2535.23,2462.37,-,-1.21
20180123,2520.32,2415.82,2521.00,2414.47,-,4.33
20180122,2415.82,2338.65,2415.82,2338.65,-,3.30
20180119,2338.65,2305.57,2338.65,2305.57,-,1.43
20180118,2305.57,2326.95,2357.30,2300.50,-,-0.92
20180117,2326.95,2324.29,2351.55,2281.53,-,0.11
20180116,2324.29,1986.42,2326.99,1986.42,-,17.01
20180115,1986.42,1649.36,1987.21,1649.36,-,20.44
20180112,1649.36,1391.08,1649.36,1388.08,-,18.57
20180111,1391.08,1327.47,1435.10,1327.47,-,4.79
20180110,1327.47,1301.67,1327.47,1290.06,-,1.98
20180109,1301.67,1270.56,1301.67,1268.71,-,2.45
20180108,1270.56,1263.67,1270.56,1261.12,-,0.55
20180105,1263.67,1263.67,1263.67,1263.67,-,0.00
20180104,1263.67,1261.93,1264.78,1261.93,-,0.14
20180103,1261.93,1265.26,1265.26,1254.91,-,-0.26
20180102,1265.26,1263.14,1265.26,1263.14,-,0.17
20171229,1263.14,1262.80,1285.93,1262.13,-,0.03
20171228,1262.80,1262.80,1262.80,1262.80,-,0.00
20171227,1262.80,1266.26,1266.26,1252.09,-,-0.27
20171226,1266.26,1258.20,1271.27,1253.44,-,0.64
20171222,1258.20,1280.33,1282.76,1256.94,-,-1.73
20171221,1280.33,1286.54,1288.85,1257.00,-,-0.48
20171220,1286.54,1290.63,1291.12,1281.07,-,-0.32
20171219,1290.63,1291.05,1291.86,1284.96,-,-0.03
20171218,1291.05,1310.30,1310.30,1291.05,-,-1.47
20171215,1310.30,1265.50,1361.01,1265.50,-,3.54
20171214,1265.50,1257.62,1298.20,1257.62,-,0.63
20171213,1257.62,1262.79,1275.36,1241.91,-,-0.41
20171212,1262.79,1292.52,1292.52,1215.95,-,-2.30
20171208,1292.52,1335.06,1335.06,1292.52,-,-3.19
20171207,1335.06,1354.40,1363.66,1333.71,-,-1.43
20171206,1354.40,1345.89,1354.40,1319.80,-,0.63
20171205,1345.89,1409.65,1415.66,1325.35,-,-4.52
20171204,1409.65,1357.95,1421.97,1357.95,-,3.81
20171201,1357.95,1319.87,1357.95,1309.90,-,2.89
20171130,1319.87,1167.21,1319.87,1167.21,-,13.08
20171129,1167.21,851.54,1168.53,851.54,-,37.07
20171128,851.54,798.87,897.03,798.87,-,6.59
20171127,798.87,712.07,799.08,712.07,-,12.19
20171124,712.07,704.63,712.07,703.70,-,1.06
20171123,704.63,696.56,711.56,696.56,-,1.16
20171122,696.56,699.28,700.17,696.56,-,-0.39
20171121,699.28,699.68,701.46,697.54,-,-0.06
20171120,699.68,685.45,699.68,683.45,-,2.08
20171117,685.45,673.73,701.19,673.73,-,1.74
20171116,673.73,660.68,673.73,660.53,-,1.98
20171115,660.68,661.80,668.65,660.68,-,-0.17
20171114,661.80,654.54,667.24,654.54,-,1.11
20171113,654.54,655.78,659.68,650.13,-,-0.19
20171110,655.78,685.51,689.51,655.66,-,-4.34
20171109,685.51,703.49,703.49,679.90,-,-2.56
20171108,703.49,711.93,712.18,703.48,-,-1.19
20171107,711.93,709.37,717.78,706.30,-,0.36
20171103,709.37,713.29,713.29,701.32,-,-0.55
20171102,713.29,695.52,713.29,690.67,-,2.55
20171101,695.52,681.34,695.52,678.37,-,2.08
20171031,681.34,682.72,693.77,680.82,-,-0.20
20171030,682.72,708.93,712.35,681.09,-,-3.70
20171027,708.93,716.89,716.89,707.58,-,-1.11
20171026,716.89,710.85,728.71,698.67,-,0.85
20171025,710.85,663.97,717.86,663.97,-,7.06
20171024,663.97,612.76,663.97,612.68,-,8.36
20171023,612.76,588.61,625.73,588.61,-,4.10
20171020,588.61,571.39,605.96,571.39,-,3.01
20171019,571.39,559.96,574.55,559.02,-,2.04
20171018,559.96,561.75,563.23,559.96,-,-0.32
20171017,561.75,550.38,562.56,550.38,-,2.07
20171016,550.38,534.01,550.38,532.98,-,3.07
20171013,534.01,532.07,542.40,532.07,-,0.36
20171011,532.07,531.11,539.87,528.27,-,0.18
20171010,531.11,527.67,538.23,526.66,-,0.65
20171009,527.67,551.88,551.88,518.06,-,-99.90
20171006,551875.50,539424.00,558102.63,500232.06,-,2.31
20171005,539424.00,539055.06,548195.13,538817.25,-,0.07
20171004,539055.06,514559.38,546445.00,512940.09,-,4.76
20171003,514559.50,510668.63,530096.63,510668.63,-,0.76
20171002,510668.63,489499.34,510668.63,489499.34,-,4.32
20170929,489499.34,474126.25,490024.03,474126.25,-,3.24
20170928,474126.25,463847.09,474126.25,463847.09,-,2.22
20170927,463847.09,431838.53,473007.50,431798.50,-,7.41
20170926,431838.53,422074.09,434689.72,422074.09,-,2.31
20170925,422074.09,422906.19,423356.13,415514.91,-,-0.20
20170922,422906.19,425854.72,427940.78,412980.53,-,-0.69
20170921,425854.72,425758.25,428662.78,424198.72,-,0.02
20170920,425758.25,436716.72,464168.09,424734.28,-,-2.51
20170919,436716.72,423393.47,456256.84,423393.47,-,3.15
20170918,423393.47,397471.31,425085.69,397471.28,-,6.52
20170915,397471.31,386035.38,416307.13,384866.56,-,2.96
20170914,386035.38,351810.03,386035.38,351810.03,-,9.73
20170913,351810.03,303209.69,351810.03,303209.69,-,16.03
20170912,303209.69,279357.84,303209.69,279357.84,-,8.54
20170908,279357.84,273334.25,279518.03,273334.25,-,2.20
20170907,273334.25,266926.16,273334.25,266368.16,-,2.40
20170906,266926.16,269781.34,270111.13,264990.16,-,-1.06
20170905,269781.34,264614.31,274103.09,264614.31,-,1.95
20170904,264614.31,234286.09,264614.31,234286.09,-,12.94
20170901,234286.09,235413.91,235614.14,233906.84,-,-0.48
20170831,235413.91,225468.08,235413.91,225468.08,-,4.41
20170830,225468.08,211166.19,225468.08,211165.80,-,6.77
20170829,211166.19,206677.84,211166.19,206677.84,-,2.17
20170828,206677.84,203085.94,206677.84,203085.94,-,1.77
20170825,203085.94,199748.94,203085.94,199748.94,-,1.67
20170824,199748.94,198170.53,201614.97,198170.53,-,0.80
20170823,198170.53,198024.39,200081.53,198024.39,-,0.07
20170822,198024.39,195925.86,198580.06,195925.86,-,1.07
20170821,195925.86,194840.23,204088.84,194840.23,-,0.56
20170818,194840.23,188546.33,194840.23,188546.33,-,3.34
20170817,188546.33,185945.98,188546.33,185945.98,-,1.40
20170816,185945.98,186966.13,186966.13,185411.92,-,0.29
20170815,185411.92,186966.14,187235.98,185411.92,-,-0.83
20170811,186966.14,183275.56,186966.14,181833.91,-,2.01
20170810,183275.56,184187.97,185272.97,183175.81,-,-0.50
20170809,184187.97,196759.16,196759.16,184175.14,-,-6.39
20170808,196759.16,195413.23,199854.03,191392.38,-,0.69
20170807,195413.23,176451.95,197010.27,176451.95,-,10.75
20170804,176451.95,157390.94,192061.31,157390.94,-,12.11
20170803,157390.94,146877.84,157390.94,146877.84,-,7.16
20170802,146877.84,141535.20,146877.84,138610.88,-,3.77
20170801,141535.20,139399.38,141535.20,139399.38,-,1.53
20170731,139399.38,135796.31,139402.27,134554.91,-,2.65
20170728,135796.31,134583.50,135796.31,134201.27,-,0.90
20170727,134583.50,134583.50,134583.50,134583.50,-,0.00
20170726,134583.50,134583.50,134583.50,134583.50,-,0.00
20170725,134583.50,132529.27,134583.50,132529.27,-,1.55
20170721,132529.27,131324.09,132529.27,131244.00,-,0.92
20170720,131324.09,131324.09,131324.09,131324.09,-,0.00
20170719,131324.09,130240.12,131395.31,128536.84,-,0.83
20170718,130240.12,130390.47,132384.95,130197.00,-,-0.12
20170717,130390.47,129132.27,130390.47,129132.27,-,0.97
20170714,129132.27,128100.21,130179.41,128100.21,-,0.81
20170713,128100.21,124511.78,128100.21,124511.78,-,2.88
20170712,124511.78,125901.22,125931.97,124253.01,-,-1.10
20170711,125901.22,124333.03,126162.59,124333.03,-,1.26
20170710,124333.03,123451.19,124976.81,123451.19,-,0.71
20170707,123451.19,123749.70,124266.79,123324.95,-,-0.24
20170706,123749.70,123644.98,123779.91,122895.12,-,0.08
20170704,123644.98,123355.27,124598.41,122947.17,-,0.23
20170630,123355.27,123235.34,123661.79,122615.83,-,0.10
20170629,123235.34,122199.95,123235.34,121487.51,-,0.85
20170628,122199.95,122423.64,122563.81,121949.09,-,-0.18
20170627,122423.64,122200.52,123015.21,122138.65,-,0.18
20170626,122200.52,120565.95,123197.62,120565.95,-,1.36
