fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,1592.82,1588.97,1593.90,1584.98,-,0.24
20180125,1588.97,1589.60,1595.31,1581.45,-,-0.04
20180124,1589.60,1570.34,1589.92,1567.09,-,1.23
20180123,1570.34,1557.86,1570.34,1555.53,-,0.80
20180122,1557.86,1551.04,1561.99,1543.29,-,0.44
20180119,1551.04,1548.07,1551.04,1542.54,-,0.19
20180118,1548.07,1543.54,1548.10,1540.49,-,0.29
20180117,1543.54,1539.10,1543.84,1533.17,-,0.29
20180116,1539.10,1513.76,1539.10,1512.10,-,1.67
20180115,1513.76,1521.41,1521.61,1511.04,-,-0.50
20180112,1521.41,1523.33,1523.33,1513.10,-,-0.13
20180111,1523.33,1537.70,1539.22,1514.89,-,-0.93
20180110,1537.70,1547.31,1553.11,1535.97,-,-0.62
20180109,1547.31,1545.57,1548.18,1535.21,-,0.11
20180105,1545.57,1531.68,1545.57,1525.50,-,0.91
20180104,1531.68,1515.84,1531.68,1507.65,-,1.04
20180103,1515.84,1516.68,1518.30,1510.78,-,-0.06
20180102,1516.68,1513.65,1517.20,1504.62,-,0.20
20171228,1513.65,1505.00,1514.70,1501.43,-,0.57
20171227,1505.00,1493.50,1505.90,1492.37,-,0.77
20171226,1493.50,1493.93,1495.89,1487.46,-,-0.03
20171222,1493.93,1488.32,1494.01,1486.15,-,0.38
20171221,1488.32,1481.49,1488.33,1478.87,-,0.46
20171220,1481.49,1475.94,1481.49,1470.61,-,0.38
20171219,1475.94,1474.59,1481.32,1474.21,-,0.09
20171218,1474.59,1465.02,1474.59,1462.46,-,0.65
20171215,1465.02,1475.39,1475.39,1455.51,-,-0.70
20171214,1475.39,1472.75,1475.64,1465.67,-,0.18
20171213,1472.75,1470.10,1476.15,1468.17,-,0.18
20171212,1470.10,1470.12,1470.12,1458.00,-,-0.00
20171211,1470.12,1449.35,1470.12,1449.35,-,1.43
20171207,1449.35,1446.21,1453.73,1445.92,-,0.22
20171206,1446.21,1447.47,1450.03,1441.36,-,-0.09
20171205,1447.47,1446.11,1448.37,1439.89,-,0.09
20171204,1446.11,1449.85,1449.85,1441.73,-,-0.26
20171201,1449.85,1445.23,1450.78,1442.78,-,0.32
20171130,1445.23,1449.52,1450.68,1442.74,-,-0.30
20171129,1449.52,1446.91,1451.11,1445.25,-,0.18
20171128,1446.91,1446.35,1447.39,1439.09,-,0.04
20171127,1446.35,1449.66,1449.97,1441.96,-,-0.23
20171124,1449.66,1450.92,1453.03,1446.77,-,-0.09
20171123,1450.92,1451.49,1452.36,1446.58,-,-0.04
20171122,1451.49,1448.48,1452.85,1448.05,-,0.21
20171121,1448.48,1446.28,1454.04,1444.45,-,0.15
20171120,1446.28,1443.55,1446.34,1434.01,-,0.19
20171117,1443.55,1436.59,1444.08,1436.47,-,0.48
20171116,1436.59,1430.64,1439.33,1429.74,-,0.42
20171115,1430.64,1425.18,1436.41,1418.47,-,0.38
20171114,1425.18,1434.36,1434.36,1423.16,-,-0.64
