fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,13564.24,13564.24,13564.24,13564.24,13.56k,0.00
20180125,13564.24,13564.24,13564.24,13564.24,13.56k,0.00
20180124,13564.24,13564.24,13564.24,13564.24,13.56k,-0.00
20180123,13564.37,13564.37,13564.37,13564.37,13.56k,0.00
20180122,13564.37,13564.37,13564.37,13564.37,13.56k,0.00
20180119,13564.37,13564.37,13564.37,13564.37,13.56k,-0.00
20180118,13564.50,13564.50,13564.50,13564.50,13.56k,0.00
20180117,13564.50,13564.50,13564.50,13564.50,13.56k,0.00
20180116,13564.50,13564.50,13564.50,13564.50,13.56k,0.00
20180115,13564.50,13564.50,13564.50,13564.50,13.56k,0.00
20180112,13564.50,13564.50,13564.50,13564.50,13.56k,0.06
20180111,13556.13,13556.13,13556.13,13556.13,13.56k,0.03
20180110,13552.13,13552.13,13552.13,13552.13,13.55k,0.00
20180109,13552.01,13552.01,13552.01,13552.01,13.55k,-7.27
20180108,14613.76,14613.76,14613.76,14613.76,14.61k,0.00
20180105,14613.76,14613.76,14613.76,14613.76,14.61k,-0.00
20180104,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20180103,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20180102,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171227,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171226,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171222,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171221,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171220,14613.78,14613.78,14613.78,14613.78,14.61k,0.00
20171219,14613.64,14613.64,14613.64,14613.64,14.61k,0.00
20171218,14613.64,14613.64,14613.64,14613.64,14.61k,0.11
20171215,14597.26,14597.26,14597.26,14597.26,14.60k,-0.00
20171214,14597.29,14597.29,14597.29,14597.29,14.60k,0.00
20171213,14597.29,14597.29,14597.29,14597.29,14.60k,0.08
20171212,14585.60,14585.60,14585.60,14585.60,14.59k,0.00
20171211,14585.60,14585.60,14585.60,14585.60,14.59k,-0.08
20171208,14597.44,14597.44,14597.44,14597.44,14.60k,0.00
20171207,14596.87,14596.87,14596.87,14596.87,14.60k,0.00
20171206,14596.87,14596.87,14596.87,14596.87,14.60k,0.00
20171205,14596.87,14596.87,14596.87,14596.87,14.60k,0.00
20171204,14596.87,14596.87,14596.87,14596.87,14.60k,0.00
20171201,14596.69,14596.69,14596.69,14596.69,14.60k,-0.00
20171130,14596.78,14596.78,14596.78,14596.78,14.60k,0.18
20171129,14570.20,14570.20,14570.20,14570.20,14.57k,-0.00
20171128,14570.22,14570.22,14570.22,14570.22,14.57k,1.57
20171127,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171124,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171123,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171122,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171121,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171120,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171117,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171116,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171115,14344.32,14344.32,14344.32,14344.32,14.34k,0.00
20171114,14344.32,14344.32,14344.32,14344.32,14.34k,0.09
20171113,14332.00,14332.00,14332.00,14332.00,14.33k,-0.09
20171110,14344.33,14344.33,14344.33,14344.33,14.34k,0.94
20171109,14210.67,14210.67,14210.67,14210.67,14.21k,0.00
20171108,14210.67,14210.67,14210.67,14210.67,14.21k,0.00
20171107,14210.67,14210.67,14210.67,14210.67,14.21k,-0.78
20171106,14321.92,14321.92,14321.92,14321.92,14.32k,-1.18
20171103,14492.88,14492.88,14492.88,14492.88,14.49k,-0.44
20171102,14556.89,14556.89,14556.89,14556.89,14.56k,0.00
20171101,14556.89,14556.89,14556.89,14556.89,14.56k,0.00
