fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1870.45,1869.49,1885.26,1863.28,-,0.11
20180126,1868.39,1868.39,1868.39,1868.39,-,0.07
20180125,1867.09,1867.09,1867.09,1867.09,-,-0.26
20180124,1871.98,1871.98,1871.98,1871.98,-,0.26
20180123,1867.09,1867.09,1867.09,1867.09,-,-0.13
20180122,1869.57,1869.57,1869.57,1869.57,-,-0.22
20180119,1873.74,1873.74,1873.74,1873.74,-,-0.01
20180118,1873.87,1873.87,1873.87,1873.87,-,-0.13
20180117,1876.37,1876.37,1876.37,1876.37,-,-0.17
20180116,1879.60,1879.60,1879.60,1879.60,-,0.47
20180115,1870.76,1870.76,1870.76,1870.76,-,-0.04
20180112,1871.58,1871.58,1871.58,1871.58,-,0.73
20180111,1858.08,1858.08,1858.08,1858.08,-,0.02
20180110,1857.69,1857.69,1857.69,1857.69,-,-0.12
20180109,1859.99,1859.99,1859.99,1859.99,-,-0.08
20180108,1861.57,1861.57,1861.57,1861.57,-,0.64
20180105,1849.71,1849.71,1849.71,1849.71,-,0.30
20180104,1844.20,1844.20,1844.20,1844.20,-,0.18
20180103,1840.82,1840.82,1840.82,1840.82,-,0.09
20180102,1839.22,1839.22,1839.22,1839.22,-,-0.20
20171229,1842.87,1842.87,1842.87,1842.87,-,-0.32
20171228,1848.80,1848.80,1848.80,1848.80,-,0.62
20171227,1837.49,1837.49,1837.49,1837.49,-,0.17
20171222,1834.39,1834.39,1834.39,1834.39,-,-0.26
20171221,1839.23,1839.23,1839.23,1839.23,-,-0.34
20171220,1845.53,1845.53,1845.53,1845.53,-,0.02
20171219,1845.08,1845.08,1845.08,1845.08,-,0.02
20171218,1844.68,1844.68,1844.68,1844.68,-,-0.79
20171215,1859.34,1859.34,1859.34,1859.34,-,-0.02
20171214,1859.76,1859.76,1859.76,1859.76,-,0.12
20171213,1857.53,1857.53,1857.53,1857.53,-,-0.26
20171212,1862.44,1862.44,1862.44,1862.44,-,0.43
20171211,1854.45,1854.45,1854.45,1854.45,-,0.29
20171208,1849.14,1849.14,1849.14,1849.14,-,-0.05
20171207,1850.00,1850.00,1850.00,1850.00,-,-0.17
20171206,1853.23,1853.23,1853.23,1853.23,-,-0.16
20171205,1856.19,1856.19,1856.19,1856.19,-,-0.62
20171204,1867.72,1867.72,1867.72,1867.72,-,0.33
20171201,1861.57,1861.57,1861.57,1861.57,-,-0.72
20171130,1875.01,1875.01,1875.01,1875.01,-,0.78
20171129,1860.52,1860.52,1860.52,1860.52,-,-0.27
20171128,1865.47,1865.47,1865.47,1865.47,-,0.17
20171127,1862.36,1862.36,1862.36,1862.36,-,0.13
20171124,1859.92,1859.92,1859.92,1859.92,-,-0.30
20171123,1865.60,1865.60,1865.60,1865.60,-,0.43
20171122,1857.65,1857.65,1857.65,1857.65,-,0.10
20171121,1855.88,1855.88,1855.88,1855.88,-,0.57
20171120,1845.27,1845.27,1845.27,1845.27,-,-0.42
20171117,1853.08,1853.08,1853.08,1853.08,-,0.02
20171116,1852.74,1852.74,1852.74,1852.74,-,0.27
20171115,1847.71,1847.71,1847.71,1847.71,-,0.28
20171114,1842.63,1842.63,1842.63,1842.63,-,0.03
20171113,1842.04,1842.04,1842.04,1842.04,-,-0.81
20171110,1857.02,1857.02,1857.02,1857.02,-,0.46
20171109,1848.47,1848.47,1848.47,1848.47,-,0.49
20171108,1839.39,1839.39,1839.39,1839.39,-,1.26
20171107,1816.57,1816.57,1816.57,1816.57,-,0.05
20171106,1815.70,1815.70,1815.70,1815.70,-,-1.38
20171103,1841.12,1841.12,1841.12,1841.12,-,-1.29
20171102,1865.24,1865.24,1865.24,1865.24,-,-0.49
20171031,1874.49,1874.49,1874.49,1874.49,-,-0.35
20171030,1881.01,1881.01,1881.01,1881.01,-,-0.57
20171027,1891.87,1891.87,1891.87,1891.87,-,-0.38
20171026,1899.11,1899.11,1899.11,1899.11,-,0.83
