fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6453.95,6450.93,6464.07,6433.69,19.34,-0.03
20180126,6456.04,6446.79,6462.77,6438.39,14.54,0.12
20180125,6448.21,6441.38,6450.58,6419.71,16.08,0.12
20180124,6440.77,6414.78,6447.42,6414.58,12.10,0.35
20180123,6418.05,6418.52,6421.40,6407.06,17.04,-0.05
20180122,6421.40,6442.64,6445.98,6416.28,8.48,0.18
20180119,6410.11,6440.90,6441.14,6404.46,13.01,0.00
20180118,6410.11,6440.90,6441.14,6404.46,13.01,-0.45
20180117,6439.34,6448.00,6453.40,6434.18,8.30,-0.13
20180116,6447.61,6472.49,6477.31,6447.61,9.19,-0.40
20180112,6473.62,6496.10,6500.55,6461.14,13.32,-0.35
20180111,6496.23,6506.86,6508.49,6492.60,13.38,-0.10
20180110,6502.96,6527.59,6529.77,6502.96,16.24,-0.37
20180109,6527.14,6525.19,6541.40,6520.44,22.03,-0.20
20180108,6540.51,6513.55,6545.16,6513.55,112.09,0.40
20180105,6514.73,6462.85,6520.80,6459.66,20.24,0.85
20180104,6459.66,6465.37,6469.38,6430.63,14.31,-0.06
20180103,6463.50,6420.72,6465.62,6411.27,13.37,0.81
20180102,6411.27,6368.05,6431.16,6367.95,5.20,0.66
20171229,6369.26,6364.68,6371.97,6363.38,12.11,0.08
20171228,6364.34,6359.09,6368.91,6359.06,5.51,0.08
20171227,6359.06,6350.42,6363.27,6350.30,11.86,0.14
20171226,6350.30,6324.35,6358.60,6321.58,28.80,0.42
20171222,6323.74,6323.93,6334.52,6323.52,9.69,0.00
20171221,6323.52,6323.25,6336.29,6318.99,5.01,0.03
20171220,6321.36,6325.25,6335.08,6319.20,13.53,-0.06
20171219,6325.46,6347.85,6347.94,6316.19,10.87,-0.33
20171218,6346.70,6353.65,6353.65,6338.69,10.58,-0.09
20171215,6352.10,6357.47,6360.27,6347.27,16.67,-0.08
20171214,6357.04,6353.60,6362.05,6343.27,66.34,0.07
20171213,6352.77,6360.36,6364.05,6343.81,21.37,-0.12
20171212,6360.36,6357.74,6362.71,6348.76,21.04,0.05
20171211,6357.41,6375.65,6376.62,6352.61,10.11,-0.28
20171208,6375.21,6382.77,6385.81,6369.50,12.22,-0.12
20171207,6382.95,6380.91,6391.04,6378.66,24.30,0.03
20171206,6380.91,6390.58,6391.33,6378.06,28.45,-0.15
20171205,6390.55,6403.99,6405.91,6390.55,13.60,-0.24
20171204,6405.91,6412.67,6418.70,6401.88,11.85,-0.09
20171130,6411.84,6403.26,6416.93,6400.82,23.33,0.10
20171129,6405.53,6406.40,6417.67,6400.12,16.88,0.00
20171128,6405.22,6417.04,6424.54,6405.22,8.64,-0.19
20171127,6417.15,6421.13,6432.73,6413.06,16.60,0.05
20171124,6413.68,6456.23,6458.13,6413.68,14.14,-0.66
20171123,6456.11,6464.74,6470.09,6456.11,15.19,-0.13
20171122,6464.44,6458.75,6475.73,6454.96,12.06,-1.56
20171121,6567.07,6599.50,6601.22,6567.07,76.65,1.44
20171120,6473.87,6486.95,6487.34,6465.56,30.21,-0.15
20171117,6483.55,6450.05,6487.79,6448.98,30.71,0.54
20171116,6448.98,6428.30,6463.17,6426.83,16.64,0.31
20171115,6428.83,6448.17,6457.90,6421.31,15.28,-0.45
20171114,6457.90,6513.61,6514.66,6457.80,22.03,-0.82
20171113,6511.55,6548.03,6552.59,6511.55,38.63,-0.63
20171110,6552.59,6575.62,6581.03,6547.43,48.36,-0.22
20171109,6567.07,6599.50,6601.22,6567.07,88.21,-0.47
20171108,6598.26,6596.80,6602.31,6589.66,51.26,0.04
20171107,6595.89,6602.17,6603.90,6587.19,13.19,-0.10
20171106,6602.72,6620.80,6625.85,6602.72,11.33,-0.28
20171102,6621.47,6625.37,6627.49,6616.17,17.82,-0.04
20171101,6624.20,6619.32,6628.69,6608.33,17.15,0.10
20171031,6617.36,6605.63,6623.44,6601.19,24.71,0.15
20171030,6607.14,6612.03,6613.05,6601.19,35.16,-0.09
20171027,6612.91,6639.38,6639.99,6610.32,17.65,-0.31
20171026,6633.20,6615.11,6641.63,6614.55,21.10,0.28
20171025,6614.55,6590.18,6621.75,6583.93,20.48,0.36
20171024,6590.50,6571.36,6590.50,6569.97,34.84,0.30
20171023,6570.56,6575.23,6580.96,6565.23,27.84,-0.03
20171020,6572.70,6556.31,6577.40,6555.46,19.09,0.26
20171019,6555.46,6571.79,6572.57,6553.82,30.66,-0.25
20171017,6572.05,6596.09,6600.69,6572.05,99.71,-0.36
20171016,6595.94,6636.94,6641.45,6590.60,21.24,-0.55
20171013,6632.30,6625.59,6647.87,6621.56,30.54,0.16
20171012,6621.56,6559.65,6626.16,6559.60,37.31,0.94
20171011,6559.61,6524.37,6566.65,6518.99,54.85,0.55
