fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,44.58,43.34,44.58,43.11,-,2.55
20180126,43.47,43.49,43.62,43.29,-,0.07
20180125,43.44,43.91,43.91,43.12,-,-1.07
20180124,43.91,44.15,44.15,43.27,-,-0.32
20180123,44.05,43.84,44.37,43.69,-,0.48
20180122,43.84,43.89,44.15,43.38,-,-0.23
20180119,43.94,43.58,44.49,43.39,-,0.83
20180118,43.58,43.65,43.93,43.54,-,-0.32
20180117,43.72,43.94,43.95,43.67,-,-0.50
20180116,43.94,43.74,44.08,43.48,-,-0.81
20180115,44.30,43.93,44.64,43.58,-,0.84
20180112,43.93,44.11,44.34,43.82,-,-0.59
20180111,44.19,44.90,44.90,44.01,-,-1.63
20180110,44.92,44.75,44.95,43.88,-,0.54
20180109,44.68,43.40,44.68,43.38,-,2.95
20180108,43.40,44.26,44.26,42.94,-,-1.94
20180105,44.26,44.40,44.89,43.85,-,-0.14
20180104,44.32,43.93,44.43,43.93,-,0.93
20180103,43.91,43.54,44.10,43.51,-,0.85
20180102,43.54,44.29,44.29,43.24,-,-1.69
20171229,44.29,44.73,45.14,43.97,-,-0.74
20171228,44.62,44.18,44.71,42.55,-,0.20
20171227,44.53,43.89,44.55,42.70,-,1.92
20171222,43.69,43.01,43.69,42.71,-,1.58
20171221,43.01,42.79,43.01,42.19,-,0.51
20171220,42.79,43.37,43.37,42.52,-,0.09
20171219,42.75,44.10,44.20,42.65,-,-3.02
20171218,44.08,43.39,44.08,42.80,-,1.12
20171215,43.59,44.34,44.40,43.17,-,-1.69
20171214,44.34,43.15,44.46,43.07,-,2.73
20171213,43.16,43.96,43.96,43.04,-,-1.82
20171212,43.96,44.65,44.65,43.05,-,-1.43
20171211,44.60,46.12,46.12,44.52,-,-3.30
20171208,46.12,46.10,46.28,46.10,-,0.04
20171207,46.10,46.54,46.54,46.03,-,-0.22
20171206,46.20,45.54,46.90,44.05,-,2.39
20171205,45.12,44.35,45.22,44.00,-,1.97
20171204,44.25,44.65,44.65,44.08,-,-1.01
20171201,44.70,45.32,45.47,44.23,-,-1.37
20171130,45.32,45.05,45.42,44.76,-,0.60
20171129,45.05,44.68,45.42,44.19,-,0.83
20171128,44.68,44.60,44.94,43.89,-,0.18
20171127,44.60,44.85,44.85,44.39,-,-0.56
20171124,44.85,45.23,45.37,44.85,-,-0.84
20171123,45.23,45.00,45.36,45.00,-,0.51
20171122,45.00,45.13,45.36,44.97,-,-0.29
20171121,45.13,45.15,45.45,44.80,-,-0.04
20171120,45.15,44.86,45.49,44.73,-,0.65
20171117,44.86,45.69,45.69,44.86,-,-0.42
20171116,45.05,45.12,45.21,44.91,-,-0.16
20171115,45.12,45.38,45.43,45.07,-,-0.68
20171114,45.43,45.48,45.62,45.35,-,-0.11
20171113,45.48,45.62,45.85,45.38,-,-0.61
20171110,45.76,46.24,46.27,45.66,-,-1.04
20171109,46.24,45.76,46.34,45.66,-,1.03
20171108,45.77,46.80,46.80,45.62,-,-2.49
20171107,46.94,47.09,47.60,46.47,-,-0.32
20171106,47.09,47.44,47.59,47.05,-,-0.74
20171103,47.44,47.31,47.68,46.95,-,0.27
20171102,47.31,47.01,47.48,46.65,-,0.64
20171101,47.01,46.96,47.16,46.81,-,0.11
