fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,23941.23,23941.23,23941.23,23941.23,-,0.42
20180126,23840.59,23840.59,23840.59,23840.59,-,0.66
20180125,23683.61,23683.61,23683.61,23683.61,-,-1.52
20180124,24050.03,24050.03,24050.03,24050.03,-,-1.17
20180123,24334.01,24334.01,24334.01,24334.01,-,0.62
20180122,24182.90,24182.90,24182.90,24182.90,-,-0.57
20180119,24321.02,24321.02,24321.02,24321.02,-,1.10
20180118,24056.15,24056.15,24056.15,24056.15,-,1.11
20180117,23793.02,23793.02,23793.02,23793.02,-,-0.42
20180116,23894.31,23894.31,23894.31,23894.31,-,0.77
20180115,23712.90,23712.90,23712.90,23712.90,-,-0.66
20180112,23871.53,23871.53,23871.53,23871.53,-,-0.49
20180111,23990.21,23990.21,23990.21,23990.21,-,-2.44
20180110,24590.24,24590.24,24590.24,24590.24,-,-0.97
20180109,24830.10,24830.10,24830.10,24830.10,-,-0.68
20180108,24999.74,24999.74,24999.74,24999.74,-,0.50
20180105,24874.50,24874.50,24874.50,24874.50,-,1.40
20180104,24529.94,24529.94,24529.94,24529.94,-,0.99
20180103,24290.50,24290.50,24290.50,24290.50,-,1.52
20180102,23927.50,23927.50,23927.50,23927.50,-,-0.36
20171229,24013.77,24013.77,24013.77,24013.77,-,-0.29
20171228,24084.20,24084.20,24084.20,24084.20,-,-0.98
20171227,24323.48,24323.48,24323.48,24323.48,-,0.31
20171222,24247.24,24247.24,24247.24,24247.24,-,-0.56
20171221,24383.73,24383.73,24383.73,24383.73,-,0.23
20171220,24327.99,24327.99,24327.99,24327.99,-,-1.76
20171219,24764.53,24764.53,24764.53,24764.53,-,-1.12
20171218,25044.85,25044.85,25044.85,25044.85,-,1.17
20171215,24754.99,24754.99,24754.99,24754.99,-,0.50
20171214,24631.13,24631.13,24631.13,24631.13,-,0.71
20171213,24457.19,24457.19,24457.19,24457.19,-,0.17
20171212,24416.41,24416.41,24416.41,24416.41,-,1.28
20171211,24108.20,24108.20,24108.20,24108.20,-,-0.80
20171208,24303.32,24303.32,24303.32,24303.32,-,0.47
20171207,24189.19,24189.19,24189.19,24189.19,-,0.12
20171206,24159.90,24159.90,24159.90,24159.90,-,0.28
20171205,24091.81,24091.81,24091.81,24091.81,-,0.05
20171204,24079.41,24079.41,24079.41,24079.41,-,1.20
20171201,23793.69,23793.69,23793.69,23793.69,-,-1.30
20171130,24108.00,24108.00,24108.00,24108.00,-,-0.08
20171129,24128.36,24128.36,24128.36,24128.36,-,-1.88
20171128,24590.62,24590.62,24590.62,24590.62,-,0.30
20171127,24517.97,24517.97,24517.97,24517.97,-,-0.11
20171124,24545.10,24545.10,24545.10,24545.10,-,0.36
20171123,24456.66,24456.66,24456.66,24456.66,-,0.28
20171122,24388.72,24388.72,24388.72,24388.72,-,-1.50
20171121,24760.11,24760.11,24760.11,24760.11,-,1.20
20171120,24466.31,24466.31,24466.31,24466.31,-,0.61
20171117,24317.27,24317.27,24317.27,24317.27,-,0.35
20171116,24232.25,24232.25,24232.25,24232.25,-,0.90
20171115,24016.93,24016.93,24016.93,24016.93,-,-0.40
20171114,24114.07,24114.07,24114.07,24114.07,-,0.45
20171113,24006.86,24006.86,24006.86,24006.86,-,-0.18
20171110,24050.97,24050.97,24050.97,24050.97,-,-0.17
20171109,24092.52,24092.52,24092.52,24092.52,-,-1.85
20171108,24547.13,24547.13,24547.13,24547.13,-,-0.27
20171107,24614.07,24614.07,24614.07,24614.07,-,-0.97
20171106,24856.15,24856.15,24856.15,24856.15,-,0.69
20171103,24686.85,24686.85,24686.85,24686.85,-,0.23
20171102,24629.84,24629.84,24629.84,24629.84,-,-1.60
20171101,25031.29,25031.29,25031.29,25031.29,-,2.46
