fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2293.96,2293.96,2293.96,2293.96,-,0.56
20180128,2281.14,2304.69,2305.67,2273.21,-,-1.02
20180125,2304.69,2304.69,2304.69,2304.69,-,0.03
20180124,2303.95,2303.95,2303.95,2303.95,-,0.07
20180123,2302.44,2302.44,2302.44,2302.44,-,0.73
20180122,2285.72,2285.72,2285.72,2285.72,-,1.11
20180121,2260.58,2241.11,2263.04,2241.11,-,0.87
20180118,2241.11,2241.11,2241.11,2241.11,-,0.22
20180117,2236.14,2236.14,2236.14,2236.14,-,-0.49
20180116,2247.07,2247.07,2247.07,2247.07,-,1.00
20180115,2224.86,2224.86,2224.86,2224.86,-,-0.79
20180114,2242.50,2260.24,2261.24,2239.22,-,-0.78
20180111,2260.24,2260.24,2260.24,2260.24,-,0.30
20180110,2253.50,2253.50,2253.50,2253.50,-,-0.41
20180109,2262.78,2262.78,2262.78,2262.78,-,0.06
20180108,2261.45,2261.45,2261.45,2261.45,-,-0.95
20180107,2283.21,2295.21,2298.70,2281.71,-,-0.52
20180104,2295.21,2295.21,2295.21,2295.21,-,-0.29
20180103,2301.81,2301.81,2301.81,2301.81,-,0.46
20180102,2291.37,2291.37,2291.37,2291.37,-,0.43
20180101,2281.55,2281.55,2281.55,2281.55,-,-0.07
20171228,2283.22,2283.22,2283.22,2283.22,-,0.97
20171227,2261.38,2261.38,2261.38,2261.38,-,0.73
20171226,2244.92,2244.92,2244.92,2244.92,-,0.62
20171224,2231.05,2231.19,2241.11,2227.55,-,-0.01
20171221,2231.19,2231.19,2231.19,2231.19,-,0.00
20171220,2231.16,2231.16,2231.16,2231.16,-,-0.57
20171219,2243.87,2243.87,2243.87,2243.87,-,-0.03
20171218,2244.54,2244.54,2244.54,2244.54,-,0.23
20171217,2239.29,2247.18,2250.54,2239.29,-,-0.35
20171214,2247.18,2247.18,2247.18,2247.18,-,-0.20
20171213,2251.67,2251.67,2251.67,2251.67,-,-0.25
20171212,2257.41,2257.41,2257.41,2257.41,-,0.50
20171211,2246.27,2246.27,2246.27,2246.27,-,-0.18
20171210,2250.22,2264.07,2266.70,2246.78,-,-0.61
20171207,2264.07,2264.07,2264.07,2264.07,-,-0.33
20171206,2271.47,2271.47,2271.47,2271.47,-,-0.29
20171205,2278.06,2278.06,2278.06,2278.06,-,0.52
20171204,2266.30,2266.30,2266.30,2266.30,-,-0.34
20171203,2273.97,2270.13,2281.80,2270.10,-,0.17
20171130,2270.13,2270.13,2270.13,2270.13,-,0.40
20171129,2261.03,2261.03,2261.03,2261.03,-,0.26
20171128,2255.22,2255.22,2255.22,2255.22,-,-0.55
20171127,2267.64,2267.64,2267.64,2267.64,-,-0.54
20171126,2280.00,2277.35,2288.33,2275.53,-,0.12
20171123,2277.35,2277.35,2277.35,2277.35,-,0.29
20171122,2270.66,2270.66,2270.66,2270.66,-,0.09
20171121,2268.73,2268.73,2268.73,2268.73,-,-0.76
20171120,2286.11,2286.11,2286.11,2286.11,-,-0.18
20171119,2290.34,2279.64,2294.74,2279.64,-,0.47
20171116,2279.64,2279.64,2279.64,2279.64,-,0.41
20171115,2270.30,2270.30,2270.30,2270.30,-,-0.33
20171114,2277.91,2277.91,2277.91,2277.91,-,0.71
20171113,2261.87,2261.87,2261.87,2261.87,-,0.11
20171112,2259.34,2244.10,2261.15,1345.40,-,0.68
20171109,2244.10,2244.10,2244.10,2244.10,-,0.64
20171108,2229.88,2229.88,2229.88,2229.88,-,0.87
20171107,2210.72,2210.72,2210.72,2210.72,-,0.10
20171106,2208.48,2208.48,2208.48,2208.48,-,0.46
20171105,2198.36,2201.45,2205.92,2194.04,-,-0.14
20171102,2201.45,2201.45,2201.45,2201.45,-,0.57
20171101,2188.99,2188.99,2188.99,2188.99,-,0.97
20171031,2168.03,2168.03,2168.03,2168.03,-,0.24
20171030,2162.80,2162.80,2162.80,2162.80,-,0.29
20171029,2156.64,2173.88,2183.45,2152.44,-,-0.79
20171026,2173.88,2173.88,2173.88,2173.88,-,-0.37
20171025,2181.88,2181.88,2181.88,2181.88,-,0.40
20171024,2173.20,2173.20,2173.20,2173.20,-,-0.06
20171023,2174.51,2174.51,2174.51,2174.51,-,-0.67
20171022,2189.26,2188.29,2199.29,2186.44,-,0.04
20171019,2188.29,2188.29,2188.29,2188.29,-,0.46
20171018,2178.25,2178.25,2178.25,2178.25,-,-0.17
20171017,2181.87,2181.87,2181.87,2181.87,-,-0.33
20171016,2189.11,2189.11,2189.11,2189.11,-,-0.20
20171015,2193.50,2197.46,2207.62,2179.71,-,-0.18
20171012,2197.46,2197.46,2197.46,2197.46,-,-0.50
20171011,2208.44,2208.44,2208.44,2208.44,-,0.07
20171010,2207.00,2207.00,2207.00,2207.00,-,0.33
20171009,2199.66,2199.66,2199.66,2199.66,-,-0.70
20171008,2215.15,2201.43,2218.14,2201.43,-,0.62
20171005,2201.43,2201.43,2201.43,2201.43,-,0.50
20171004,2190.46,2190.46,2190.46,2190.46,-,0.40
20171003,2181.67,2181.67,2181.67,2181.67,-,0.22
20171002,2176.82,2176.82,2176.82,2176.82,-,-0.04
20170928,2177.61,2177.61,2177.61,2177.61,-,-0.02
20170927,2178.05,2178.05,2178.05,2178.05,-,-0.21
20170926,2182.73,2182.73,2182.73,2182.73,-,-0.15
20170925,2185.97,2185.97,2185.97,2185.97,-,-0.63
20170924,2199.81,2197.53,2208.00,2196.83,-,0.10
20170921,2197.53,2197.53,2197.53,2197.53,-,-0.05
20170920,2198.61,2198.61,2198.61,2198.61,-,-0.70
20170919,2214.09,2214.09,2214.09,2214.09,-,-0.15
20170918,2217.49,2217.49,2217.49,2217.49,-,-0.41
20170917,2226.62,2225.19,2229.42,2215.44,-,0.06
20170914,2225.19,2225.19,2225.19,2225.19,-,0.59
20170913,2212.14,2212.14,2212.14,2212.14,-,0.52
20170912,2200.72,2200.72,2200.72,2200.72,-,-0.36
20170911,2208.78,2208.78,2208.78,2208.78,-,0.33
20170910,2201.43,2178.50,2206.40,2178.50,-,1.05
20170907,2178.50,2178.50,2178.50,2178.50,-,0.83
20170906,2160.48,2160.48,2160.48,2160.48,-,0.16
20170905,2157.08,2157.08,2157.08,2157.08,-,0.56
20170904,2145.00,2145.00,2145.00,2145.00,-,0.29
20170831,2138.72,2138.72,2138.72,2138.72,-,0.57
