fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,256.49,255.15,257.06,255.15,-,0.20
20180126,255.99,260.02,260.02,255.78,-,-0.69
20180125,257.76,256.61,257.80,256.33,-,0.67
20180124,256.04,255.55,256.78,255.55,-,0.18
20180123,255.59,256.74,256.74,255.44,-,-0.37
20180122,256.55,256.88,256.95,256.10,-,0.57
20180119,255.10,255.10,255.37,254.45,-,0.18
20180118,254.65,255.57,255.91,254.51,-,-0.33
20180117,255.49,254.33,255.59,254.33,-,0.55
20180116,254.10,253.18,254.97,253.18,-,0.56
20180115,252.69,253.96,254.01,252.62,-,-0.30
20180112,253.44,254.22,254.22,253.27,-,-0.07
20180111,253.62,256.92,256.92,253.27,-,-1.34
20180110,257.06,258.22,258.36,256.18,-,-0.77
20180109,259.05,258.90,259.27,258.51,-,0.10
20180108,258.80,259.76,259.83,258.58,-,-0.29
20180105,259.56,258.93,259.67,258.45,-,0.17
20180104,259.13,259.23,259.38,258.79,-,0.27
20180103,258.42,258.27,258.88,258.24,-,0.21
20180102,257.88,258.72,258.72,257.74,-,0.01
20180101,257.85,257.85,257.85,257.85,-,0.02
20171229,257.81,257.81,257.96,257.74,-,-0.06
20171228,257.96,256.99,258.07,256.99,-,0.31
20171227,257.15,257.51,258.43,257.05,-,-0.27
20171226,257.84,257.84,257.95,257.73,-,0.00
20171225,257.84,257.84,257.99,257.62,-,0.00
20171222,257.84,257.04,257.95,257.04,-,0.35
20171221,256.94,255.59,257.61,255.59,-,-0.12
20171220,257.24,258.07,258.31,257.12,-,-0.11
20171219,257.52,256.18,257.59,256.18,-,0.74
20171218,255.63,256.19,256.32,255.29,-,-0.06
20171215,255.79,254.41,255.93,254.26,-,0.50
20171214,254.52,252.55,254.74,252.55,-,0.46
20171213,253.36,252.97,253.54,251.83,-,0.03
20171212,253.28,253.61,253.61,252.20,-,0.02
20171211,253.22,252.01,253.29,251.93,-,0.57
20171208,251.79,250.56,252.44,250.56,-,0.73
20171207,249.97,248.69,250.12,248.69,-,0.47
20171206,248.79,250.62,250.62,248.69,-,-0.64
20171205,250.40,250.15,250.79,249.91,-,-0.16
20171204,250.81,251.18,251.18,250.34,-,-0.04
20171201,250.90,252.10,252.10,250.79,-,-0.02
20171130,250.95,249.95,251.06,248.66,-,0.53
20171129,249.62,250.36,250.36,249.41,-,-0.02
20171128,249.67,250.73,250.73,249.54,-,-0.41
20171127,250.71,249.90,250.82,249.90,-,0.55
20171124,249.35,248.66,249.47,248.66,-,0.35
20171123,248.49,248.03,249.06,248.03,-,-0.08
20171122,248.68,247.61,249.17,247.61,-,0.19
20171121,248.20,248.50,248.50,246.94,-,-0.02
20171120,248.24,247.36,248.43,247.36,-,0.34
20171117,247.39,246.62,247.61,246.62,-,0.33
20171116,246.57,245.66,246.73,245.53,-,0.42
20171115,245.55,245.62,246.04,244.97,-,-0.06
20171114,245.69,244.97,245.80,244.58,-,0.42
20171113,244.67,245.32,245.32,244.16,-,0.04
20171110,244.58,245.48,245.61,244.51,-,-0.65
20171109,246.18,245.58,246.32,245.26,-,-0.25
20171108,246.80,246.61,246.91,245.09,-,-0.13
20171107,247.11,245.72,247.34,245.72,-,-0.07
20171106,247.29,247.51,247.51,246.57,-,-0.09
20171103,247.51,248.38,248.51,246.62,-,-0.22
20171102,248.06,247.29,248.40,246.73,-,0.41
20171101,247.04,248.19,248.55,246.23,-,-1.12
20171031,249.84,249.61,250.33,249.61,-,0.04
20171030,249.75,247.98,249.86,247.98,-,0.26
20171029,249.09,248.67,249.31,247.98,-,0.43
20171027,248.02,248.40,248.87,247.67,-,-0.03
20171026,248.09,248.64,248.94,247.80,-,-0.42
20171025,249.13,249.01,249.69,248.61,-,-0.07
20171024,249.30,249.00,249.97,248.95,-,-0.00
20171023,249.31,250.03,250.03,249.09,-,-0.02
20171022,249.35,249.35,250.03,249.28,-,0.00
20171020,249.35,249.23,249.74,247.28,-,0.02
20171019,249.30,248.94,249.96,248.84,-,0.10
20171018,249.06,248.53,249.62,248.53,-,0.03
20171017,248.98,248.15,249.09,247.73,-,0.24
20171016,248.39,249.12,249.12,247.40,-,0.15
20171015,248.03,247.44,249.12,247.40,-,-0.14
20171013,248.39,247.09,248.64,247.09,-,0.27
20171012,247.73,247.31,248.13,247.31,-,0.11
20171011,247.47,247.19,247.61,246.71,-,0.26
20171010,246.84,246.27,247.04,245.49,-,0.35
20171009,245.97,245.87,246.28,244.95,-,-0.01
20171008,246.00,245.10,246.04,245.10,-,0.40
20171006,245.03,245.21,245.62,244.72,-,0.04
20171005,244.94,244.58,245.43,244.54,-,0.20
20171004,244.44,243.97,244.58,243.73,-,0.21
20171003,243.92,244.13,244.13,243.29,-,0.07
20171002,243.76,243.35,244.17,243.04,-,0.09
20171001,243.53,243.34,243.65,243.05,-,-0.14
20170929,243.87,242.72,244.23,242.72,-,0.22
20170928,243.33,244.03,244.05,242.90,-,-0.21
20170927,243.85,241.99,243.95,241.99,-,0.37
20170926,242.95,242.68,243.08,241.51,-,0.23
20170925,242.40,241.82,242.57,240.77,-,0.61
20170924,240.94,241.82,241.82,240.86,-,0.01
20170922,240.92,240.68,241.02,239.66,-,0.23
20170921,240.37,243.14,243.14,239.55,-,-0.65
20170920,241.94,240.12,242.13,239.94,-,0.72
20170919,240.20,240.18,240.53,239.88,-,0.06
20170918,240.06,239.61,240.73,239.61,-,0.00
20170915,240.05,241.17,241.37,239.19,-,-0.73
20170914,241.82,242.72,242.72,241.56,-,-0.18
20170913,242.26,243.26,243.30,242.04,-,-0.28
20170912,242.94,242.91,243.74,242.51,-,-0.13
20170911,243.26,243.80,243.80,242.65,-,0.22
20170910,242.72,242.92,243.05,242.65,-,-0.26
20170908,243.35,241.76,243.51,241.76,-,0.63
20170907,241.83,242.33,242.33,240.93,-,0.05
20170906,241.72,241.68,241.86,239.46,-,0.10
20170905,241.48,242.76,242.76,241.25,-,-0.37
20170904,242.38,243.09,243.09,242.21,-,-0.16
20170903,242.78,242.67,242.89,242.57,-,-0.04
20170901,242.88,242.54,243.16,242.11,-,0.03
20170831,242.80,241.78,242.94,241.25,-,0.46
20170830,241.68,241.47,242.26,240.72,-,0.29
20170829,240.97,242.87,242.92,240.78,-,-1.10
20170828,243.66,244.33,245.06,243.46,-,-0.47
20170827,244.80,245.01,245.06,244.62,-,0.04
20170825,244.70,244.82,245.40,244.50,-,-0.11
20170824,244.97,244.75,245.51,244.75,-,-0.18
20170823,245.40,245.55,245.72,244.91,-,0.16
20170822,245.01,244.95,245.69,244.84,-,-0.00
20170821,245.02,245.70,245.70,244.50,-,0.15
20170820,244.65,244.69,244.75,244.50,-,-0.25
20170818,245.27,245.43,245.43,243.45,-,0.13
20170817,244.96,244.45,245.21,244.39,-,0.25
20170816,244.36,243.43,244.53,243.29,-,0.47
20170815,243.22,242.78,243.58,242.72,-,0.69
20170814,241.55,240.51,241.66,240.48,-,0.43
20170813,240.52,240.51,240.73,240.49,-,0.07
20170811,240.35,242.73,242.73,239.66,-,-0.88
20170810,242.48,241.40,243.02,241.40,-,-0.11
