fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,15369.13,15313.80,15401.53,15173.87,193.06,0.38
20180128,15311.15,15170.73,15339.24,15170.73,186.58,0.93
20180124,15170.73,15197.08,15197.08,15154.78,127.96,-0.17
20180123,15197.08,15242.57,15243.04,15167.45,125.31,-0.30
20180122,15243.23,15339.81,15349.76,15243.23,322.46,-0.63
20180121,15339.91,15418.32,15472.43,15339.91,252.24,-0.46
20180118,15411.00,15205.71,15419.44,15205.71,319.77,1.40
20180117,15198.54,15089.37,15202.51,15076.64,277.00,0.72
20180116,15089.37,15127.76,15152.97,15089.37,154.96,-0.25
20180115,15127.76,15261.76,15273.80,15127.76,199.24,-0.83
20180114,15254.85,15257.53,15313.74,15254.71,295.75,0.08
20180111,15242.48,15196.47,15259.83,15191.01,187.21,0.33
20180110,15192.55,15205.53,15215.54,15178.67,184.75,0.22
20180109,15159.37,14963.67,15179.18,14963.67,328.12,1.38
20180108,14953.17,14784.83,14953.17,14778.97,186.65,1.16
20180104,14782.38,14831.56,14893.08,14782.38,128.57,-0.35
20180103,14833.73,15025.88,15030.93,14833.73,150.09,-1.26
20180102,15023.76,15019.14,15055.06,15019.09,150.56,0.03
20171231,15019.14,15030.29,15060.10,14995.91,82.50,0.01
20171228,15016.97,14906.82,15035.30,14903.81,120.89,0.75
20171227,14904.82,14922.85,14929.49,14857.90,109.53,-0.12
20171226,14922.85,14851.31,14978.90,14850.23,92.43,0.54
20171225,14843.33,14790.78,14875.75,14778.65,103.52,0.36
20171224,14790.78,14670.32,14807.29,14667.39,91.44,0.83
20171221,14668.59,14683.87,14743.86,14666.99,101.97,-0.09
20171220,14682.14,14683.74,14702.52,14625.00,135.62,0.03
20171219,14678.41,14736.80,14785.25,14678.41,134.54,-0.29
20171218,14721.45,14718.70,14747.43,14701.44,122.18,0.03
20171217,14716.66,14685.75,14774.79,14685.75,195.77,0.25
20171214,14679.91,14648.58,14745.10,14623.75,197.94,0.19
20171213,14651.42,14589.03,14700.81,14589.03,113.44,0.42
20171212,14590.20,14436.42,14608.39,14436.42,167.31,1.13
20171211,14426.75,14425.19,14432.04,14388.00,109.93,0.09
20171210,14414.25,14298.22,14447.91,14296.54,135.00,0.84
20171207,14294.73,14345.58,14345.58,14277.47,126.81,-0.35
20171206,14345.58,14462.44,14468.12,14345.58,181.22,-0.80
20171205,14460.96,14572.30,14576.04,14460.96,170.28,-0.76
20171204,14572.17,14716.71,14726.86,14572.17,197.01,-0.96
20171203,14713.63,14600.79,14718.72,14600.79,249.37,0.90
20171129,14582.22,14535.91,14655.01,14533.27,250.39,0.31
20171128,14537.03,14232.26,14547.76,14232.26,303.04,2.23
20171127,14219.99,14226.81,14227.28,14142.81,228.41,-0.02
20171126,14222.70,14099.50,14232.74,14096.73,174.21,0.83
20171123,14106.17,13849.75,14106.17,13849.75,224.70,1.93
20171122,13839.37,13762.75,13840.21,13762.75,169.87,0.83
20171121,13725.45,13720.44,13815.74,13720.44,151.01,0.33
20171120,13680.50,13739.98,13758.35,13675.30,184.85,-0.45
20171119,13742.11,13847.36,13859.47,13742.11,172.39,-0.76
20171116,13847.36,14023.48,14023.48,13847.35,163.72,-1.27
20171115,14025.11,14138.15,14193.02,14025.11,223.56,-0.76
20171114,14132.96,14148.98,14164.87,14104.70,248.14,0.07
20171113,14123.31,14270.20,14270.20,14122.29,212.82,-1.03
20171112,14270.55,14354.89,14424.52,14270.55,180.64,-0.55
20171109,14350.14,14210.61,14362.68,14210.61,349.30,1.02
20171108,14204.95,14057.56,14204.95,14000.64,364.06,1.05
20171107,14057.56,14066.88,14066.88,13964.58,264.27,-0.11
20171106,14072.92,14182.55,14196.71,14072.92,354.78,-0.78
20171105,14183.77,14314.25,14314.25,14127.03,231.12,-0.95
20171102,14319.34,14281.18,14359.30,14276.55,373.50,0.29
20171101,14277.29,14337.81,14345.43,14277.29,380.73,-0.45
20171031,14342.38,14206.82,14386.22,14206.82,470.78,1.02
20171030,14197.21,14029.63,14197.21,14029.63,388.88,1.23
20171029,14024.41,13957.29,14033.75,13957.24,223.70,0.49
20171026,13955.47,13917.67,14012.86,13917.67,358.64,0.39
20171025,13901.38,13926.65,13926.72,13841.30,281.96,-0.19
20171024,13928.38,13902.70,14049.38,13902.29,370.06,0.42
20171023,13870.34,13703.83,13872.49,13694.26,348.68,1.20
20171022,13706.06,13703.48,13757.30,13689.52,171.11,-0.06
20171019,13713.62,13593.38,13754.26,13593.38,307.52,0.91
20171018,13590.15,13577.53,13696.83,13577.53,341.13,0.48
20171017,13525.48,13524.08,13536.25,13411.00,270.98,0.00
20171016,13525.25,13883.30,13900.15,13524.98,436.31,-2.74
20171015,13905.79,13893.66,13932.43,13893.66,230.11,0.10
20171012,13891.71,13827.52,13924.31,13825.73,263.05,0.55
20171011,13816.05,13822.98,13837.68,13780.37,536.64,-0.06
20171010,13824.08,13972.29,13986.49,13824.08,227.87,-1.03
20171009,13968.53,14030.01,14122.10,13968.53,339.73,-0.21
20171008,13997.69,13909.65,13998.27,13882.91,317.06,0.83
20171004,13881.97,13940.10,13982.93,13811.07,257.26,-0.35
20171003,13930.73,14000.43,14002.51,13871.45,274.94,-0.50
20171002,14000.43,13986.29,14102.00,13985.40,314.32,0.17
20171001,13976.78,13896.60,13991.17,13882.38,285.22,0.64
20170928,13888.51,13767.48,13894.84,13767.48,669.00,1.07
20170927,13740.82,13702.01,13741.01,13656.54,531.67,0.27
20170926,13704.13,13685.07,13792.63,13685.07,545.77,0.22
20170925,13674.42,13607.81,13690.35,13598.96,333.81,0.49
20170924,13607.19,13698.74,13706.41,13607.19,190.87,-0.64
20170920,13695.33,13727.95,13784.36,13695.33,287.06,-0.25
20170919,13730.00,13604.53,13736.87,13604.13,294.50,1.01
20170918,13592.71,13630.35,13656.14,13571.55,400.82,-0.15
20170917,13612.51,13635.23,13673.27,13612.16,445.34,0.01
20170914,13610.61,13453.22,13639.75,13453.22,359.91,1.25
20170913,13442.55,13478.82,13492.77,13411.15,279.92,-0.24
20170912,13474.88,13477.22,13491.75,13446.54,509.71,-0.43
20170911,13533.24,13475.70,13542.52,13475.70,405.27,0.57
20170910,13457.14,13432.69,13516.03,13432.69,470.02,0.18
20170907,13432.69,13318.73,13436.98,13318.73,430.80,0.86
20170906,13317.89,13420.21,13461.64,13317.26,317.90,-0.72
