fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5521.59,5534.14,5537.53,5517.67,-,-0.14
20180126,5529.15,5496.83,5539.77,5493.66,67.41,0.87
20180125,5481.21,5493.81,5525.76,5456.05,87.43,-0.25
20180124,5495.16,5532.85,5538.58,5495.16,87.86,-0.72
20180123,5535.26,5563.56,5567.03,5521.83,88.46,-0.12
20180122,5541.99,5520.21,5543.06,5512.27,79.82,0.28
20180119,5526.51,5493.99,5528.89,5490.32,80.89,0.58
20180118,5494.83,5511.30,5515.16,5474.11,84.62,0.02
20180117,5493.99,5496.26,5518.39,5485.02,74.99,-0.36
20180116,5513.82,5513.70,5535.95,5500.22,71.57,0.07
20180115,5509.69,5515.55,5525.01,5501.28,57.95,-0.13
20180112,5517.06,5502.63,5520.18,5486.09,83.15,0.52
20180111,5488.55,5514.09,5516.59,5478.97,86.13,-0.29
20180110,5504.68,5518.32,5529.30,5487.56,99.46,-0.35
20180109,5523.94,5491.91,5525.67,5491.91,81.28,0.67
20180108,5487.42,5483.47,5499.15,5478.92,74.56,0.30
20180105,5470.75,5424.16,5470.75,5422.78,78.64,1.05
20180104,5413.69,5360.01,5430.72,5360.01,95.45,1.55
20180103,5331.28,5295.31,5347.63,5291.89,77.70,0.81
20180102,5288.60,5318.74,5318.74,5258.66,68.87,-0.45
20171229,5312.56,5336.15,5344.05,5312.56,47.65,-0.50
20171228,5339.42,5367.70,5370.43,5331.16,43.73,-0.55
20171227,5368.84,5359.82,5388.14,5352.53,42.37,0.08
20171222,5364.72,5371.00,5385.96,5355.44,48.20,-0.39
20171221,5385.97,5332.39,5389.80,5323.54,72.56,0.62
20171220,5352.77,5377.92,5382.37,5338.03,70.81,-0.56
20171219,5382.91,5409.65,5420.64,5380.15,65.71,-0.69
20171218,5420.58,5386.40,5427.87,5386.40,84.42,1.33
20171215,5349.30,5340.34,5360.87,5330.10,162.31,-0.15
20171214,5357.14,5392.00,5400.28,5357.14,80.63,-0.78
20171213,5399.45,5415.32,5429.03,5393.98,90.32,-0.51
20171212,5427.19,5394.93,5427.19,5359.76,83.34,0.75
20171211,5386.83,5411.71,5411.71,5382.50,70.90,-0.23
20171208,5399.09,5411.91,5425.75,5393.56,93.43,0.28
20171207,5383.86,5374.57,5396.31,5365.75,83.68,0.18
20171206,5374.35,5333.32,5385.53,5316.55,80.43,-0.02
20171205,5375.53,5382.23,5392.48,5349.79,80.25,-0.26
20171204,5389.29,5363.29,5400.10,5350.59,84.44,1.36
20171201,5316.89,5374.13,5378.32,5299.06,103.00,-1.04
20171130,5372.79,5402.66,5429.65,5372.59,131.99,-0.47
20171129,5398.05,5416.49,5441.69,5394.89,95.49,0.14
20171128,5390.48,5366.38,5398.19,5357.28,68.00,0.57
20171127,5360.09,5378.96,5408.47,5359.39,64.04,-0.56
20171124,5390.46,5374.40,5419.88,5374.40,56.04,0.20
20171123,5379.54,5339.76,5391.89,5330.32,57.08,0.50
20171122,5352.76,5364.61,5391.01,5352.76,69.62,-0.25
20171121,5366.15,5335.84,5385.86,5326.86,77.09,0.48
20171120,5340.45,5311.28,5348.15,5302.85,68.82,0.40
20171117,5319.17,5335.85,5350.25,5304.35,91.39,-0.32
20171116,5336.39,5325.41,5345.23,5312.87,76.59,0.66
20171115,5301.25,5301.14,5312.39,5267.22,97.09,-0.27
20171114,5315.58,5345.30,5365.64,5301.57,93.06,-0.49
20171113,5341.63,5382.65,5384.76,5301.02,87.19,-0.73
20171110,5380.72,5405.55,5415.88,5375.12,87.53,-0.50
20171109,5407.75,5470.18,5479.70,5401.43,101.96,-1.16
20171108,5471.43,5487.53,5496.08,5452.20,95.46,-0.17
20171107,5480.64,5521.75,5525.55,5475.92,80.76,-0.48
20171106,5507.25,5507.07,5513.31,5492.90,72.39,-0.19
20171103,5517.97,5513.47,5521.92,5498.29,77.45,0.14
20171102,5510.50,5510.96,5520.81,5486.24,72.43,-0.07
20171101,5514.29,5524.38,5536.40,5514.29,77.63,0.20
20171031,5503.29,5492.63,5511.25,5489.41,77.49,0.18
20171030,5493.63,5488.33,5507.56,5487.29,69.51,-0.01
20171027,5494.13,5470.34,5513.53,5470.24,98.54,0.71
20171026,5455.40,5383.44,5459.61,5375.26,93.76,1.50
20171025,5374.89,5399.61,5416.54,5364.16,82.96,-0.37
20171024,5394.80,5377.86,5413.03,5377.86,76.87,0.15
20171023,5386.81,5377.45,5408.74,5367.65,65.67,0.27
20171020,5372.38,5389.48,5392.09,5368.21,95.16,0.08
20171019,5368.29,5371.00,5377.81,5343.00,89.37,-0.29
20171018,5383.81,5368.09,5394.23,5359.68,66.15,0.42
20171017,5361.37,5372.65,5376.69,5347.55,66.94,-0.03
20171016,5362.88,5362.53,5371.62,5347.61,65.03,0.21
20171013,5351.74,5362.73,5371.65,5344.96,76.23,-0.17
20171012,5360.81,5358.42,5361.92,5342.69,58.19,-0.03
20171011,5362.41,5367.38,5367.38,5338.14,73.65,-0.02
20171010,5363.65,5364.16,5372.27,5351.79,61.57,-0.04
20171009,5365.83,5364.81,5378.51,5351.68,57.01,0.11
20171006,5359.90,5378.07,5378.07,5350.26,68.17,-0.36
20171005,5379.21,5355.91,5381.74,5355.91,72.49,0.30
20171004,5363.23,5369.24,5369.45,5345.20,82.50,-0.08
20171003,5367.41,5362.75,5370.89,5355.30,60.57,0.32
20171002,5350.44,5332.92,5350.44,5326.66,70.70,0.39
