fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,53879.20,54451.95,54571.75,53748.70,-,-1.19
20180126,54530.63,54558.02,54726.37,54352.00,135.27,-0.05
20180125,54558.02,54575.94,54575.94,54075.41,148.13,-0.03
20180124,54575.94,54521.81,54777.00,54393.64,137.11,0.10
20180123,54521.81,54165.85,54662.93,54158.76,152.22,0.66
20180122,54165.85,54058.74,54306.94,53997.58,147.51,0.20
20180119,54058.74,54010.49,54178.39,53729.51,119.03,0.09
20180118,54010.49,54068.84,54485.63,53787.22,161.41,-0.11
20180117,54068.84,53777.68,54467.97,53599.96,149.01,0.54
20180116,53777.68,53431.53,53858.14,53425.29,137.89,0.65
20180115,53431.53,53296.10,53513.05,53208.45,90.10,0.25
20180112,53296.10,52824.80,53322.59,52810.65,86.79,0.89
20180111,52824.80,53167.96,53167.96,52580.95,161.36,-0.65
20180110,53167.96,53184.36,53271.52,52803.49,139.89,-0.03
20180109,53184.36,53131.70,53348.47,52980.89,122.03,0.10
20180108,53131.70,52842.68,53189.31,52763.67,101.23,0.55
20180105,52842.68,52662.63,52979.50,52403.16,105.47,0.34
20180104,52662.63,52832.07,53040.62,52190.86,148.88,-0.32
20180103,52832.07,52823.99,53305.18,52219.35,112.84,0.02
20180102,52823.99,52533.04,52891.20,52383.94,91.32,0.55
20171229,52533.04,52071.17,52548.71,51919.19,53.87,0.89
20171228,52071.17,51986.69,52187.50,51682.31,78.57,0.16
20171227,51986.69,52063.77,52076.73,51584.22,83.42,-0.15
20171222,52063.77,52082.44,52303.93,51741.41,69.95,-0.04
20171221,52082.44,51268.87,52342.76,51239.19,551.14,1.59
20171220,51268.87,51266.37,51619.85,51119.20,308.87,0.00
20171219,51266.37,51026.84,51787.92,50903.12,400.86,0.47
20171218,51026.84,50953.23,51308.67,50638.73,228.12,0.14
20171215,50953.23,51498.36,51507.44,50841.47,363.74,-1.06
20171214,51498.36,51151.27,51499.57,51009.55,219.62,0.68
20171213,51151.27,51312.31,51491.78,50947.06,243.35,-0.31
20171212,51312.31,51711.22,51711.22,51105.10,202.00,-0.77
20171211,51711.22,51671.17,51925.53,51511.19,201.22,0.08
20171208,51671.17,51656.57,52179.66,51469.72,344.45,0.03
20171207,51656.57,51572.45,51716.74,51388.32,368.58,0.16
20171206,51572.45,52412.51,52412.51,51409.60,454.64,-1.60
20171205,52412.51,53076.58,53079.69,52164.99,163.04,-1.25
20171204,53076.58,52888.36,53448.04,52867.79,134.28,0.36
20171201,52888.36,53269.83,53332.47,52806.82,141.21,-0.72
20171130,53269.83,53957.06,53957.14,53269.83,249.31,-1.27
20171129,53957.06,53645.44,54091.77,53502.85,114.17,0.58
20171128,53645.44,53810.97,53928.92,53541.35,158.06,-0.31
20171127,53810.97,53998.14,54200.84,53729.03,133.39,-0.35
20171124,53998.14,53995.77,54276.20,53948.11,92.49,0.00
20171123,53995.77,54494.44,54615.95,53953.95,110.96,-0.92
20171122,54494.44,55065.37,55076.66,54415.44,133.38,-1.04
20171121,55065.37,54327.42,55192.15,54322.56,147.65,1.36
20171120,54327.42,53909.14,54351.37,53800.26,146.90,0.78
20171117,53909.14,53378.66,53989.25,53378.66,152.04,0.99
20171116,53378.66,53004.17,53515.43,52984.41,158.31,0.71
20171115,53004.17,53273.74,53507.85,52952.01,166.24,-0.51
20171114,53273.74,53531.21,53712.83,53268.70,114.88,-0.48
20171113,53531.21,53424.93,53814.20,53403.04,101.55,0.20
20171110,53424.93,53513.82,53813.06,53424.93,113.88,-0.17
20171109,53513.82,53730.60,53941.83,53456.30,111.72,-0.40
20171108,53730.60,53832.95,53883.00,53601.12,156.27,-0.19
20171107,53832.95,53563.68,54212.97,53553.14,155.24,0.50
20171106,53563.68,53198.96,53740.77,53175.84,93.00,0.69
20171103,53198.96,52845.63,53297.80,52845.63,99.79,0.67
20171102,52845.63,53056.59,53061.98,52807.64,100.22,-0.40
20171101,53056.59,52570.20,53370.13,52570.20,152.07,0.93
20171031,52570.20,52479.18,52651.39,52376.99,113.86,0.17
20171030,52479.18,52403.45,52616.89,52293.96,139.50,0.14
20171027,52403.45,52273.52,52526.94,52150.67,140.93,0.25
20171026,52273.52,51857.61,52572.60,51849.38,213.70,0.80
20171025,51857.61,51597.49,52024.60,51557.07,135.26,0.50
20171024,51597.49,51669.89,51717.92,51442.22,112.53,-0.14
20171023,51669.89,51600.66,51857.27,51579.63,126.11,0.13
20171020,51600.66,51525.52,51906.63,51512.12,122.52,0.15
