fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1870.52,1855.09,1870.52,1855.09,144.43,0.90
20180126,1853.92,1843.95,1853.92,1842.56,123.88,0.44
20180125,1845.86,1836.55,1845.86,1836.44,166.67,0.48
20180124,1837.04,1838.12,1838.34,1834.49,119.19,-0.05
20180123,1838.04,1836.10,1838.04,1830.98,145.43,0.27
20180122,1833.15,1835.21,1835.21,1825.86,118.41,0.24
20180119,1828.83,1823.39,1828.83,1821.68,153.95,0.40
20180118,1821.60,1831.24,1831.32,1821.21,179.85,-0.38
20180117,1828.63,1824.55,1828.63,1821.54,135.11,0.14
20180116,1826.03,1827.68,1827.68,1818.64,151.67,0.01
20180115,1825.91,1825.24,1827.85,1824.56,130.91,0.18
20180112,1822.67,1825.01,1825.81,1818.78,159.97,0.32
20180111,1816.88,1822.02,1823.31,1812.78,146.66,-0.33
20180110,1822.92,1828.90,1830.63,1821.27,157.95,-0.22
20180109,1826.95,1837.26,1840.35,1823.52,185.43,-0.28
20180108,1832.15,1819.74,1832.15,1813.03,182.18,0.78
20180105,1817.97,1804.79,1817.97,1803.81,186.35,0.81
20180104,1803.45,1795.56,1803.45,1795.56,166.13,0.59
20180103,1792.79,1785.79,1795.87,1785.21,172.97,0.57
20180102,1782.70,1783.10,1783.48,1772.00,85.03,-0.79
20171229,1796.81,1780.65,1796.81,1776.94,145.43,1.00
20171228,1779.10,1771.95,1781.84,1769.60,102.17,0.41
20171227,1771.76,1760.71,1771.76,1760.69,103.73,0.67
20171226,1759.99,1758.51,1760.45,1753.25,100.97,-0.01
20171222,1760.24,1752.85,1760.24,1748.49,89.82,0.52
20171221,1751.21,1750.59,1752.25,1744.21,142.05,0.26
20171220,1746.63,1735.92,1751.95,1735.44,135.78,0.56
20171219,1736.95,1743.73,1744.39,1732.93,196.03,-0.84
20171218,1751.64,1754.05,1755.20,1747.62,123.16,-0.08
20171215,1753.07,1757.06,1760.02,1745.65,294.32,-0.34
20171214,1759.00,1738.08,1759.75,1736.07,223.85,1.23
20171213,1737.66,1728.84,1737.66,1725.95,175.20,0.47
20171212,1729.57,1718.76,1729.57,1717.32,153.87,0.59
20171211,1719.47,1720.93,1725.74,1718.30,131.93,-0.10
20171208,1721.25,1721.28,1724.59,1718.88,185.29,0.13
20171207,1719.05,1721.71,1723.40,1718.47,181.26,0.04
20171206,1718.33,1720.73,1722.95,1715.10,176.06,-0.38
20171205,1724.84,1708.48,1724.84,1708.48,133.14,0.68
20171204,1713.13,1717.98,1717.99,1709.17,184.36,-0.28
20171130,1717.86,1719.62,1727.62,1716.76,467.43,-0.15
20171129,1720.38,1716.28,1720.57,1714.47,136.50,0.35
20171128,1714.42,1716.12,1716.79,1709.94,113.57,-0.32
20171127,1719.86,1718.37,1719.86,1712.97,95.88,0.15
20171124,1717.23,1720.05,1720.38,1713.26,168.65,-0.23
20171123,1721.27,1723.42,1728.18,1720.59,77.57,-0.13
20171122,1723.54,1724.59,1727.77,1721.36,135.48,0.17
20171121,1720.68,1718.83,1722.73,1716.45,109.98,0.14
20171120,1718.36,1723.77,1725.35,1717.45,109.27,-0.19
20171117,1721.66,1720.81,1725.69,1719.87,111.01,0.21
20171116,1718.11,1723.04,1725.72,1716.97,149.58,-0.28
20171115,1722.99,1733.90,1736.40,1722.99,146.08,-0.61
20171114,1733.61,1743.27,1744.61,1733.31,130.60,-0.22
20171113,1737.49,1743.14,1746.72,1737.49,101.43,-0.27
20171110,1742.28,1746.53,1748.94,1740.94,93.71,-0.26
20171109,1746.81,1743.73,1749.31,1742.32,110.22,0.15
20171108,1744.20,1746.88,1749.83,1744.09,94.42,-0.38
20171107,1750.94,1742.69,1750.94,1742.44,111.12,0.50
20171106,1742.29,1743.25,1745.41,1741.43,87.27,0.08
20171103,1740.93,1744.68,1744.79,1739.60,81.64,-0.01
20171102,1741.05,1743.94,1747.17,1739.80,86.38,-0.17
20171101,1743.93,1747.79,1748.80,1742.35,97.66,-0.23
20171031,1747.92,1747.40,1751.26,1742.60,173.93,-0.02
20171030,1748.35,1747.91,1750.85,1746.46,85.85,0.13
20171027,1746.13,1741.34,1751.50,1739.89,154.38,0.54
20171026,1736.80,1740.21,1740.84,1734.93,112.58,-0.13
20171025,1739.05,1737.03,1740.51,1733.67,91.01,0.17
20171024,1736.14,1742.44,1745.48,1736.10,103.65,-0.31
20171023,1741.47,1742.29,1744.86,1741.38,90.17,0.05
20171020,1740.65,1745.03,1745.41,1740.65,100.02,-0.19
20171019,1743.99,1749.85,1750.59,1741.62,133.13,-0.29
20171017,1748.99,1753.44,1755.43,1748.99,121.12,-0.31
20171016,1754.37,1759.12,1759.31,1749.49,90.40,-0.05
20171013,1755.32,1756.00,1756.17,1751.62,89.35,0.08
20171012,1754.00,1760.32,1760.32,1751.20,110.12,-0.18
20171011,1757.21,1761.12,1762.97,1752.90,115.49,-0.22
20171010,1761.13,1760.69,1762.64,1758.54,77.97,-0.16
20171009,1764.03,1763.65,1765.48,1762.26,77.61,0.00
20171006,1764.00,1758.02,1764.00,1758.02,92.09,0.28
20171005,1759.09,1760.56,1761.16,1757.61,79.55,-0.16
20171004,1761.84,1759.81,1762.71,1758.82,79.43,0.12
20171003,1759.67,1756.51,1759.78,1754.73,107.02,0.28
20171002,1754.78,1755.22,1758.15,1750.94,101.46,-0.05
20170929,1755.58,1760.25,1760.25,1753.00,131.05,-0.14
20170928,1758.06,1765.83,1767.18,1758.06,129.85,-0.35
20170927,1764.24,1767.62,1768.19,1762.09,119.06,-0.08
20170926,1765.59,1768.55,1769.12,1761.21,149.95,-0.20
20170925,1769.14,1771.39,1772.19,1768.16,146.72,-0.11
20170921,1771.04,1775.45,1776.31,1770.70,120.50,-0.14
20170920,1773.58,1777.03,1777.03,1770.44,137.85,-0.17
20170919,1776.66,1783.68,1783.68,1775.30,104.92,-0.39
20170918,1783.66,1782.93,1787.01,1780.20,71.28,-0.15
20170915,1786.33,1783.99,1786.33,1776.87,182.23,0.28
20170914,1781.37,1786.14,1788.47,1780.79,101.27,-0.26
20170913,1786.07,1789.38,1793.22,1785.50,94.78,-0.21
20170912,1789.86,1782.29,1789.86,1781.54,108.31,0.40
20170911,1782.74,1780.27,1784.25,1778.27,102.03,0.16
20170908,1779.90,1781.07,1782.81,1775.06,112.44,-0.17
20170907,1782.98,1775.06,1782.98,1772.57,133.18,0.59
20170906,1772.48,1768.83,1772.62,1767.07,92.87,0.16
20170905,1769.63,1785.69,1785.69,1766.05,128.77,-0.20
20170830,1773.16,1758.59,1773.16,1757.89,134.84,0.68
20170829,1761.14,1766.87,1767.23,1756.92,104.95,-0.47
20170828,1769.49,1766.59,1771.85,1765.65,76.61,0.02
20170825,1769.17,1772.10,1773.69,1764.07,98.29,-0.36
20170824,1775.50,1772.75,1775.76,1768.52,98.74,0.14
20170823,1772.94,1775.35,1777.18,1770.95,101.36,-0.07
20170822,1774.22,1771.47,1775.80,1771.39,99.27,0.15
20170821,1771.62,1774.72,1775.80,1771.62,91.01,-0.26
20170818,1776.22,1772.34,1776.22,1770.04,70.28,-0.01
20170817,1776.31,1774.81,1776.31,1773.24,75.42,0.14
20170816,1773.75,1772.89,1774.61,1771.60,76.66,0.08
20170815,1772.39,1772.87,1773.66,1768.76,74.69,0.07
20170814,1771.08,1766.50,1772.56,1766.37,84.12,0.23
20170811,1766.96,1774.88,1775.34,1766.96,91.59,-0.61
20170810,1777.77,1776.94,1778.18,1773.64,65.02,-0.01
20170809,1777.94,1777.30,1779.77,1775.99,80.22,-0.21
20170808,1781.65,1778.55,1782.63,1775.78,109.74,0.21
20170807,1777.91,1775.52,1778.48,1771.90,78.03,0.19
20170804,1774.53,1772.46,1774.53,1770.14,66.99,0.15
20170803,1771.90,1770.81,1772.59,1768.05,70.09,0.07
20170802,1770.61,1768.38,1771.32,1767.80,81.18,0.31
20170801,1765.13,1765.03,1769.52,1762.88,114.83,0.29
20170731,1760.03,1767.90,1768.10,1760.03,149.12,-0.40
20170728,1767.08,1769.49,1772.30,1767.08,147.23,-0.17
20170727,1770.07,1765.97,1772.03,1765.84,107.88,0.23
20170726,1766.00,1766.04,1766.70,1760.82,77.19,0.15
20170725,1763.34,1766.00,1766.47,1761.16,88.38,0.08
20170724,1761.99,1761.35,1761.99,1757.22,89.49,0.16
20170721,1759.16,1756.55,1759.16,1752.40,100.97,0.20
20170720,1755.63,1759.85,1759.85,1753.96,117.69,-0.09
20170719,1757.27,1753.74,1760.82,1753.74,106.53,0.13
20170718,1754.92,1758.14,1758.14,1752.57,110.55,-0.02
20170717,1755.19,1759.12,1759.52,1752.78,85.87,0.01
20170714,1755.00,1756.82,1757.24,1751.69,103.44,0.07
20170713,1753.78,1759.01,1760.66,1752.59,137.40,-0.20
20170712,1757.24,1755.94,1757.24,1751.59,110.77,0.13
20170711,1755.03,1754.62,1758.27,1752.74,96.94,-0.12
20170710,1757.13,1759.10,1760.44,1754.57,86.36,-0.16
20170707,1759.93,1768.07,1768.61,1759.46,90.84,-0.60
20170706,1770.53,1768.00,1770.53,1765.75,109.97,0.13
20170705,1768.16,1761.53,1768.16,1761.17,98.17,0.35
20170704,1762.08,1767.65,1768.30,1762.08,109.72,-0.37
20170703,1768.67,1761.73,1768.67,1756.37,114.57,0.28
20170630,1763.67,1770.32,1772.59,1755.65,177.46,-0.43
20170629,1771.36,1772.18,1775.85,1770.53,79.40,0.01
20170628,1771.23,1787.19,1788.87,1770.78,121.10,-0.46
20170623,1779.45,1778.35,1780.06,1775.74,92.31,0.11
20170622,1777.43,1776.89,1778.68,1775.07,102.62,0.10
20170621,1775.57,1780.31,1782.09,1773.66,146.47,-0.29
20170620,1780.71,1786.72,1787.70,1780.71,134.89,-0.46
20170619,1788.90,1792.13,1793.39,1785.25,93.35,-0.13
20170616,1791.31,1791.31,1796.75,1787.84,202.14,0.07
20170615,1790.01,1792.95,1795.01,1788.27,124.80,-0.13
20170614,1792.35,1789.33,1793.07,1786.92,148.64,0.44
20170613,1784.44,1789.70,1793.01,1784.31,155.55,-0.25
20170609,1788.89,1782.86,1790.64,1781.23,117.79,0.19
20170608,1785.57,1784.75,1789.02,1783.13,115.98,-0.02
20170607,1785.92,1789.68,1792.65,1785.92,138.59,-0.28
20170606,1791.01,1787.49,1795.00,1783.08,136.57,0.17
20170605,1787.95,1777.37,1790.23,1775.02,146.28,0.62
20170602,1776.95,1767.60,1776.95,1766.25,142.49,0.78
20170601,1763.11,1764.57,1765.88,1759.73,130.49,-0.16
20170531,1765.87,1766.42,1769.46,1761.11,412.52,0.03
20170530,1765.34,1764.39,1767.40,1762.43,112.37,0.03
20170529,1764.89,1774.25,1774.43,1764.89,94.49,-0.42
20170526,1772.30,1773.90,1778.18,1769.47,132.48,-0.09
20170525,1773.96,1774.30,1782.54,1773.22,175.44,0.17
20170524,1771.01,1770.46,1776.24,1767.22,132.41,0.22
20170523,1767.17,1775.58,1777.08,1767.17,116.55,-0.44
20170522,1774.95,1772.15,1774.95,1768.98,103.01,0.38
20170519,1768.28,1768.40,1771.50,1767.89,170.72,0.06
20170518,1767.17,1765.38,1769.80,1762.04,124.05,-0.48
20170517,1775.65,1779.74,1779.94,1770.22,121.24,-0.14
20170516,1778.15,1785.03,1787.54,1773.09,155.83,-0.03
20170515,1778.65,1775.40,1778.65,1771.87,113.27,0.16
20170512,1775.87,1776.93,1778.64,1773.15,110.81,0.03
20170511,1775.39,1776.29,1780.49,1774.59,198.64,0.50
20170509,1766.56,1768.46,1770.43,1765.14,95.76,-0.09
20170508,1768.15,1765.05,1768.15,1763.29,82.88,0.31
20170505,1762.74,1758.83,1763.92,1757.54,108.91,0.23
20170504,1758.67,1767.93,1768.71,1754.23,125.24,-0.78
20170503,1772.51,1778.88,1784.79,1770.06,145.64,-0.34
20170502,1778.47,1769.16,1781.55,1769.16,175.44,0.59
20170428,1768.06,1767.98,1772.21,1765.57,162.82,0.01
20170427,1767.92,1768.19,1770.90,1766.38,144.91,-0.06
20170426,1768.92,1767.78,1769.68,1764.62,179.40,0.18
20170425,1765.80,1765.08,1765.94,1758.47,187.37,0.56
20170421,1756.05,1742.23,1756.05,1742.23,147.95,0.83
20170420,1741.61,1737.90,1743.56,1736.40,132.12,0.15
20170419,1738.95,1740.26,1741.47,1735.73,122.55,-0.09
20170418,1740.60,1735.55,1741.51,1735.31,129.13,0.38
20170417,1733.93,1731.13,1736.29,1729.13,84.65,0.17
20170414,1730.99,1736.65,1736.88,1730.51,74.19,-0.41
20170413,1738.18,1743.34,1743.34,1735.69,140.99,-0.34
20170412,1744.08,1735.83,1744.08,1735.06,112.46,0.47
20170411,1735.84,1739.35,1740.13,1733.79,112.14,-0.21
20170410,1739.52,1739.73,1741.68,1736.72,100.88,-0.13
20170407,1741.72,1740.82,1741.74,1736.21,177.78,0.12
20170406,1739.56,1744.81,1744.81,1738.83,137.21,-0.29
20170405,1744.67,1745.63,1747.01,1741.51,142.09,-0.14
20170404,1747.19,1745.03,1747.19,1742.85,128.59,0.10
20170403,1745.49,1742.38,1745.49,1737.77,110.12,0.31
20170331,1740.09,1746.96,1748.19,1740.09,149.29,-0.52
20170330,1749.25,1750.69,1751.07,1746.05,145.10,-0.07
20170329,1750.41,1757.46,1759.76,1747.16,149.20,-0.23
20170328,1754.42,1750.60,1756.27,1748.65,137.65,0.54
20170327,1744.95,1745.08,1750.35,1744.33,112.49,-0.05
20170324,1745.75,1748.15,1749.61,1745.43,138.12,-0.07
20170323,1747.00,1750.66,1753.76,1747.00,217.04,-0.07
20170322,1748.30,1747.75,1748.30,1738.40,174.33,-0.36
20170321,1754.67,1749.42,1757.99,1748.82,174.02,0.30
20170320,1749.41,1744.07,1755.26,1744.07,146.57,0.24
20170317,1745.20,1742.38,1752.10,1739.65,352.59,0.46
20170316,1737.14,1726.34,1738.02,1726.12,253.79,1.15
20170315,1717.36,1717.17,1719.27,1713.92,105.55,-0.30
20170314,1722.47,1722.45,1727.39,1719.12,160.94,0.03
20170313,1721.92,1716.75,1722.25,1715.35,121.58,0.25
20170310,1717.58,1716.34,1718.02,1713.55,137.48,0.01
20170309,1717.42,1723.21,1724.40,1717.42,121.77,-0.47
20170308,1725.54,1725.78,1730.16,1724.84,117.75,-0.18
20170307,1728.66,1727.65,1734.07,1725.02,152.27,0.08
20170306,1727.36,1706.59,1727.36,1706.21,160.45,1.11
20170303,1708.38,1714.53,1716.03,1704.33,145.92,-0.42
20170302,1715.67,1701.14,1717.14,1701.14,171.11,1.06
20170301,1697.69,1694.64,1701.13,1692.33,133.21,0.23
20170228,1693.77,1691.10,1697.25,1690.64,200.37,-0.00
20170227,1693.84,1697.90,1705.49,1693.84,124.30,-0.27
20170224,1698.35,1706.48,1707.31,1696.48,167.86,-0.36
20170223,1704.48,1709.54,1710.07,1702.54,147.79,-0.21
20170222,1708.08,1708.69,1709.10,1704.42,166.34,0.09
20170221,1706.55,1712.95,1719.76,1706.09,123.78,-0.35
20170220,1712.58,1706.17,1713.61,1706.17,112.69,0.29
20170217,1707.68,1705.81,1711.75,1705.79,163.06,0.01
20170216,1707.59,1707.61,1709.36,1705.70,147.91,-0.13
20170215,1709.79,1708.09,1713.47,1707.24,154.52,0.05
20170214,1708.90,1709.97,1710.08,1703.59,152.55,-0.08
20170213,1710.24,1701.14,1710.41,1700.97,142.25,0.67
20170210,1698.94,1699.73,1702.27,1695.37,175.44,0.62
20170208,1688.50,1687.14,1690.80,1686.03,151.93,-0.02
20170207,1688.84,1687.73,1690.91,1684.84,113.21,-0.14
20170206,1691.24,1686.07,1691.24,1684.63,114.86,0.37
20170203,1685.01,1674.80,1685.01,1674.80,135.24,0.69
