fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,1398.9,1408.3,1409.1,1398.2,-,-0.67
20180125,1408.3,1396.5,1408.3,1394.0,-,0.84
20180124,1396.5,1379.2,1396.5,1378.7,-,1.25
20180123,1379.3,1363.4,1379.3,1360.7,-,1.16
20180122,1363.5,1344.6,1363.5,1344.2,-,1.31
20180119,1345.9,1362.2,1363.6,1345.9,-,-1.23
20180118,1362.7,1343.6,1362.7,1341.8,-,1.42
20180117,1343.6,1323.0,1343.6,1322.4,-,1.47
20180116,1324.2,1308.8,1324.2,1300.0,-,1.17
20180115,1308.9,1299.0,1308.9,1299.0,-,0.70
20180112,1299.8,1289.5,1299.8,1285.7,-,0.88
20180111,1288.5,1297.9,1300.0,1288.5,-,-0.73
20180110,1298.0,1295.4,1298.0,1284.8,-,0.22
20180109,1295.2,1288.4,1297.5,1284.0,-,0.45
20180108,1289.4,1280.5,1289.4,1278.2,-,0.70
20180105,1280.4,1269.4,1280.4,1269.4,-,0.76
20180104,1270.8,1270.8,1271.2,1265.5,-,0.00
20180103,1270.8,1303.5,1304.7,1270.8,-,-2.51
20180102,1303.5,1299.7,1303.5,1297.6,-,0.29
20171229,1299.7,1283.3,1301.4,1281.5,-,1.29
20171228,1283.2,1285.5,1289.2,1283.0,-,-0.18
20171227,1285.5,1268.1,1285.5,1265.7,-,1.43
20171222,1267.4,1270.9,1272.0,1264.9,-,-0.27
20171221,1270.8,1274.3,1276.9,1270.8,-,-0.27
20171220,1274.3,1296.7,1298.3,1274.3,-,-1.73
20171219,1296.7,1238.6,1296.7,1237.3,-,4.57
20171218,1240.0,1197.6,1240.0,1195.2,-,3.47
20171215,1198.4,1219.9,1220.8,1198.4,-,-1.76
20171214,1219.9,1184.4,1219.9,1184.3,-,3.01
20171213,1184.2,1178.6,1184.2,1178.0,-,0.48
20171212,1178.6,1184.2,1184.8,1175.2,-,-0.47
20171211,1184.2,1197.0,1197.7,1184.2,-,-1.06
20171208,1196.9,1212.0,1219.2,1196.9,-,-1.26
20171207,1212.2,1213.1,1214.0,1201.9,-,-0.07
20171206,1213.1,1226.2,1229.5,1213.1,-,-1.07
20171205,1226.2,1218.1,1226.2,1212.8,-,0.66
20171204,1218.1,1215.0,1218.1,1214.3,-,0.26
20171201,1215.0,1206.4,1215.0,1204.2,-,0.71
20171130,1206.4,1211.6,1215.3,1206.4,-,-0.47
20171129,1212.1,1206.0,1212.1,1204.8,-,0.51
20171128,1206.0,1200.6,1206.0,1194.2,-,0.45
20171127,1200.6,1198.5,1200.7,1197.2,-,0.18
20171124,1198.4,1201.1,1201.9,1198.4,-,-0.22
20171123,1201.1,1195.9,1201.1,1194.3,-,0.43
20171122,1196.0,1197.7,1198.6,1196.0,-,-0.15
20171121,1197.8,1184.0,1197.8,1183.2,-,1.13
20171120,1184.4,1184.4,1185.1,1180.5,-,0.00
20171117,1184.4,1173.4,1184.4,1170.7,-,0.95
20171116,1173.2,1169.0,1175.7,1167.5,-,0.36
20171115,1169.0,1183.7,1184.2,1169.0,-,-1.24
20171114,1183.7,1191.3,1191.9,1183.7,-,-0.65
20171113,1191.4,1192.0,1193.1,1189.9,-,-0.07
20171110,1192.2,1182.4,1192.2,1178.7,-,0.82
20171109,1182.5,1190.1,1191.1,1182.5,-,-0.64
20171108,1190.1,1183.6,1190.1,1182.8,-,0.47
20171107,1184.5,1185.3,1190.4,1184.4,-,-0.11
20171106,1185.8,1175.7,1187.3,1174.0,-,0.85
20171103,1175.8,1180.5,1181.5,1175.8,-,-0.43
20171102,1180.9,1177.1,1180.9,1172.3,-,0.30
20171101,1177.4,1160.2,1178.7,1159.3,-,1.48
20171031,1160.2,1155.5,1160.2,1155.5,-,0.34
20171030,1156.3,1153.6,1156.3,1152.1,-,0.24
20171027,1153.5,1151.8,1153.5,1144.9,-,0.15
20171026,1151.8,1162.0,1163.8,1150.9,-,-0.86
20171025,1161.8,1168.3,1169.0,1161.8,-,-0.55
20171024,1168.2,1170.9,1171.8,1165.5,-,-0.24
20171023,1171.0,1166.9,1171.7,1166.0,-,0.35
20171020,1166.9,1175.7,1176.8,1166.9,-,-0.75
20171019,1175.7,1177.7,1179.0,1173.7,-,-0.16
20171018,1177.6,1173.1,1177.6,1169.1,-,0.38
20171017,1173.1,1186.7,1186.8,1173.1,-,-1.13
20171016,1186.5,1186.1,1188.9,1185.0,-,0.02
20171013,1186.3,1178.8,1186.3,1176.7,-,0.64
20171012,1178.7,1171.5,1178.7,1170.2,-,0.61
20171011,1171.5,1162.3,1171.5,1161.5,-,0.77
20171010,1162.5,1158.8,1162.5,1157.7,-,0.32
20171009,1158.8,1159.2,1165.0,1129.3,-,-0.03
20171006,1159.2,1154.3,1159.2,1153.5,-,0.44
20171005,1154.1,1146.1,1154.1,1146.1,-,0.70
20171004,1146.1,1129.3,1146.1,1127.5,-,1.49
