fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,13324.48,13358.90,13370.02,13274.84,-,-0.12
20180126,13340.17,13297.51,13348.69,13268.31,78.17,0.31
20180125,13298.36,13374.38,13443.36,13222.47,109.40,-0.87
20180124,13414.74,13572.71,13576.84,13414.74,108.64,-1.07
20180123,13559.60,13577.14,13596.89,13517.81,100.25,0.71
20180122,13463.69,13435.14,13470.05,13410.96,98.24,0.22
20180119,13434.45,13297.74,13445.47,13294.81,111.49,1.15
20180118,13281.43,13250.25,13293.29,13201.34,92.42,0.74
20180117,13183.96,13200.92,13251.44,13137.51,90.87,-0.47
20180116,13246.33,13228.60,13351.09,13196.56,88.46,0.35
20180115,13200.51,13244.37,13250.37,13173.71,60.13,-0.34
20180112,13245.03,13241.28,13265.14,13168.01,90.61,0.32
20180111,13202.90,13281.20,13298.65,13151.84,114.00,-0.59
20180110,13281.34,13355.28,13377.88,13227.57,124.06,-0.78
20180109,13385.59,13383.26,13425.02,13361.22,97.70,0.13
20180108,13367.78,13399.62,13407.82,13334.16,97.94,0.36
20180105,13319.64,13219.11,13332.80,13219.11,116.04,1.15
20180104,13167.89,13065.98,13208.35,13062.67,104.33,1.46
20180103,12978.21,12916.18,13023.59,12893.05,87.43,0.83
20180102,12871.39,12897.69,12924.16,12745.15,88.71,-0.36
20171229,12917.64,12980.09,12980.74,12911.73,43.47,-0.48
20171228,12979.94,13065.46,13069.40,12965.28,44.49,-0.69
20171227,13070.02,13070.19,13128.74,13020.43,46.06,-0.02
20171222,13072.79,13076.76,13108.56,13059.87,54.51,-0.28
20171221,13109.74,13065.79,13137.71,13013.63,72.54,0.31
20171220,13069.17,13244.27,13252.67,13026.11,82.31,-1.11
20171219,13215.79,13314.73,13338.91,13213.19,76.17,-0.72
20171218,13312.30,13211.63,13331.95,13206.12,96.56,1.59
20171215,13103.56,13027.84,13109.13,13008.07,189.33,0.27
20171214,13068.08,13107.11,13159.48,13011.97,125.31,-0.44
20171213,13125.64,13148.52,13188.07,13120.40,122.82,-0.44
20171212,13183.53,13131.41,13183.83,13079.86,78.86,0.46
20171211,13123.65,13181.85,13192.42,13112.82,73.70,-0.23
20171208,13153.70,13146.82,13240.92,13136.78,107.30,0.83
20171207,13045.15,13026.30,13083.08,12989.00,78.82,0.36
20171206,12998.85,12897.43,13033.75,12864.68,87.25,-0.38
20171205,13048.54,13056.82,13094.38,12960.59,83.94,-0.08
20171204,13058.55,13038.77,13117.75,12974.32,88.47,1.53
20171201,12861.49,13044.15,13064.29,12810.13,117.91,-1.25
20171130,13023.98,13060.56,13177.57,13023.98,129.91,-0.29
20171129,13061.87,13153.74,13196.15,13037.34,96.18,0.02
20171128,13059.53,13008.94,13071.01,12966.38,68.16,0.46
20171127,13000.20,13036.74,13117.76,12989.37,66.08,-0.46
20171124,13059.84,13023.52,13160.81,12981.68,66.01,0.39
20171123,13008.55,12943.49,13049.08,12921.15,71.30,-0.05
20171122,13015.04,13171.36,13191.96,13008.97,82.77,-1.16
20171121,13167.54,13042.94,13209.01,13026.77,103.69,0.83
20171120,13058.66,12932.81,13085.17,12926.13,93.19,0.50
20171117,12993.73,13051.71,13089.72,12984.67,104.02,-0.41
20171116,13047.22,13024.39,13071.94,13008.02,103.04,0.55
