fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,195.01,195.01,195.01,195.01,-,-0.08
20180126,195.16,195.16,195.16,195.16,-,-0.08
20180125,195.31,195.31,195.31,195.31,-,0.10
20180124,195.12,195.12,195.12,195.12,-,0.16
20180123,194.81,194.81,194.81,194.81,-,-0.24
20180122,195.27,195.27,195.27,195.27,-,0.00
20180119,195.27,195.27,195.27,195.27,-,-0.31
20180118,195.88,195.88,195.88,195.88,-,0.16
20180117,195.57,195.57,195.57,195.57,-,0.78
20180116,194.05,194.05,194.05,194.05,-,0.00
20180115,194.05,194.05,194.05,194.05,-,0.00
20180112,194.05,194.05,194.05,194.05,-,0.00
20180111,194.05,194.05,194.05,194.05,-,0.79
20180110,192.52,192.52,192.52,192.52,-,0.00
20180109,192.52,192.52,192.52,192.52,-,0.00
20180108,192.52,192.52,192.52,192.52,-,0.00
20180105,192.52,192.52,192.52,192.52,-,1.16
20180104,190.31,190.31,190.31,190.31,-,0.39
20180103,189.58,189.58,189.58,189.58,-,-1.03
20180102,191.55,191.55,191.55,191.55,-,0.00
20171229,191.55,191.55,191.55,191.55,-,0.00
20171228,191.55,191.55,191.55,191.55,-,0.00
20171227,191.55,191.55,191.55,191.55,-,0.08
20171226,191.40,191.40,191.40,191.40,-,0.08
20171222,191.25,191.25,191.25,191.25,-,-0.01
20171221,191.26,191.26,191.26,191.26,-,-0.08
20171220,191.41,191.41,191.41,191.41,-,0.32
20171219,190.80,190.80,190.80,190.80,-,0.00
20171218,190.80,190.80,190.80,190.80,-,0.00
20171215,190.80,190.80,190.80,190.80,-,0.00
20171214,190.80,190.80,190.80,190.80,-,0.00
20171213,190.80,190.80,190.80,190.80,-,0.00
20171212,190.80,190.80,190.80,190.80,-,0.16
20171211,190.49,190.49,190.49,190.49,-,0.00
20171208,190.49,190.49,190.49,190.49,-,0.00
20171207,190.49,190.49,190.49,190.49,-,1.57
20171206,187.54,187.54,187.54,187.54,-,0.00
20171205,187.54,187.54,187.54,187.54,-,0.00
20171204,187.54,187.54,187.54,187.54,-,-0.08
20171201,187.69,187.69,187.69,187.69,-,0.00
20171130,187.69,187.69,187.69,187.69,-,0.00
