fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,32966.89,33335.48,33484.08,32897.04,3.72b,-0.56
20180126,33154.12,32836.28,33223.58,32794.13,4.01b,1.53
20180125,32654.45,32979.38,32998.05,32650.22,3.56b,-0.92
20180124,32958.69,32907.23,33018.71,32728.51,4.02b,0.09
20180123,32930.70,32606.14,32930.70,32554.23,4.08b,1.66
20180122,32393.41,32276.96,32417.23,32046.84,2.97b,0.43
20180119,32254.89,32142.16,32254.89,31986.00,3.00b,0.41
20180118,32121.94,32148.45,32233.81,31869.70,3.86b,0.43
20180117,31983.41,31825.52,31983.41,31642.27,4.12b,0.25
20180116,31904.75,31423.62,31904.75,31423.62,3.19b,1.81
20180115,31338.87,31702.56,31733.18,31265.25,2.75b,-0.23
20180112,31412.54,31298.05,31412.54,31198.36,2.40b,0.94
20180111,31120.39,31066.21,31133.18,30950.07,1.85b,0.15
20180110,31073.72,31009.24,31267.57,30928.58,2.68b,0.20
20180109,31011.41,30933.51,31056.70,30852.43,2.07b,0.36
20180108,30899.53,30895.09,30929.15,30732.54,2.07b,0.28
20180105,30814.64,30893.86,30911.01,30638.53,2.33b,0.25
20180104,30736.48,30691.71,30796.93,30560.43,3.09b,0.57
20180103,30560.95,30658.73,30724.32,30456.76,2.38b,0.15
20180102,30515.31,30028.29,30515.31,30028.29,2.44b,1.99
20171229,29919.15,29914.05,29997.96,29849.31,1.41b,0.19
20171228,29863.71,29684.79,29873.10,29661.06,1.38b,0.90
20171227,29597.66,29632.97,29693.82,29516.51,1.78b,0.07
20171222,29578.01,29505.05,29578.01,29413.86,1.32b,0.72
20171221,29367.06,29209.64,29431.81,29145.13,1.49b,0.45
20171220,29234.09,29199.29,29326.52,29159.28,1.35b,-0.07
20171219,29253.66,29193.74,29339.11,29144.17,1.68b,0.70
20171218,29050.41,28923.53,29143.33,28821.19,1.69b,0.70
20171215,28848.11,29000.11,29017.66,28738.84,2.06b,-1.09
20171214,29166.38,29335.76,29367.51,29047.61,2.02b,-0.19
20171213,29222.10,28856.78,29276.67,28707.60,2.65b,1.49
20171212,28793.88,28972.74,29066.77,28745.73,2.20b,-0.59
20171211,28965.29,28645.41,28998.51,28645.41,2.19b,1.14
20171208,28639.85,28400.01,28705.76,28344.39,1.80b,1.19
20171207,28303.19,28366.14,28478.34,28134.93,1.84b,0.28
20171206,28224.80,28850.36,28929.21,28204.53,2.69b,-2.14
20171205,28842.80,28898.58,29124.24,28838.12,1.48b,-1.01
20171204,29138.28,28951.19,29343.78,28803.19,1.67b,0.22
20171201,29074.24,29261.31,29345.97,29028.76,2.15b,-0.35
20171130,29177.35,29340.27,29353.51,29127.30,2.51b,-1.51
20171129,29623.83,29813.94,29831.19,29563.39,1.48b,-0.19
20171128,29680.85,29608.64,29687.45,29334.59,1.80b,-0.02
20171127,29686.19,29857.65,29859.11,29610.96,1.53b,-0.60
20171124,29866.32,29788.18,29918.92,29696.59,1.58b,0.53
20171123,29707.94,30033.18,30169.99,29593.79,2.16b,-0.99
20171122,30003.49,30087.19,30199.69,29911.07,2.55b,0.62
20171121,29818.07,29369.69,29818.07,29343.48,2.54b,1.91
20171120,29260.31,29227.08,29299.87,29089.58,1.67b,0.21
20171117,29199.04,29214.36,29341.92,29158.35,2.13b,0.62
20171116,29018.76,28963.77,29095.49,28877.76,1.55b,0.58
20171115,28851.69,29026.11,29106.49,28851.69,2.11b,-1.03
20171114,29152.12,29272.10,29320.03,29143.63,1.75b,-0.10
20171113,29182.18,29058.23,29258.50,29058.23,1.84b,0.21
20171110,29120.92,29060.13,29237.85,29036.45,1.84b,-0.05
20171109,29136.57,28987.79,29192.51,28960.05,1.88b,0.79
20171108,28907.60,28950.50,29123.44,28885.07,1.89b,-0.30
20171107,28994.34,28715.40,29017.40,28715.07,2.19b,1.39
20171106,28596.80,28616.35,28650.79,28137.77,2.33b,-0.02
20171103,28603.61,28603.51,28661.29,28542.66,1.63b,0.30
20171102,28518.64,28604.95,28643.58,28492.20,2.22b,-0.26
20171101,28594.06,28387.55,28606.59,28329.50,2.39b,1.23
20171031,28245.54,28247.00,28354.11,28183.79,2.52b,-0.32
20171030,28336.19,28585.15,28650.82,28336.19,2.20b,-0.36
20171027,28438.85,28332.91,28494.52,28305.73,2.33b,0.84
20171026,28202.38,28165.61,28316.20,28102.75,1.48b,-0.36
20171025,28302.89,28238.85,28387.21,28198.56,1.31b,0.53
20171024,28154.97,28232.62,28356.10,28098.83,1.47b,-0.53
20171023,28305.88,28557.80,28557.80,28253.32,1.77b,-0.64
20171020,28487.24,28360.02,28519.76,28313.70,1.54b,1.17
20171019,28159.09,28783.85,28798.78,28094.54,2.19b,-1.92
20171018,28711.76,28636.20,28729.34,28629.73,1.47b,0.05
20171017,28697.49,28777.18,28777.18,28641.95,1.33b,0.02
20171016,28692.80,28661.98,28792.06,28620.38,1.79b,0.76
20171013,28476.43,28423.65,28492.39,28369.87,1.67b,0.06
20171012,28459.03,28431.05,28528.71,28343.32,1.63b,0.24
20171011,28389.57,28622.01,28625.66,28330.73,1.93b,-0.36
20171010,28490.83,28334.92,28503.84,28260.20,1.43b,0.58
20171009,28326.59,28440.17,28488.35,28282.01,1.80b,-0.46
20171006,28458.04,28626.41,28626.41,28377.85,2.03b,0.28
20171004,28379.18,28311.27,28521.77,28311.27,2.16b,0.73
20171003,28173.21,27884.21,28194.16,27737.38,3.54b,2.25
20170929,27554.30,27492.13,27581.13,27383.16,1.72b,0.48
20170928,27421.60,27661.27,27665.16,27421.60,2.03b,-0.80
20170927,27642.43,27503.05,27673.40,27503.05,1.87b,0.47
20170926,27513.01,27308.61,27567.88,27300.37,1.74b,0.05
20170925,27500.34,27851.54,27851.54,27476.27,1.86b,-1.36
20170922,27880.53,27949.83,27960.92,27845.52,1.42b,-0.82
20170921,28110.33,28091.24,28184.37,28046.94,1.68b,-0.06
20170920,28127.80,28099.29,28149.36,28013.11,1.54b,0.27
20170919,28051.41,28200.54,28248.12,28032.17,1.65b,-0.38
20170918,28159.77,27971.37,28160.39,27917.18,1.59b,1.27
20170915,27807.59,27736.60,27893.58,27514.04,2.23b,0.11
20170914,27777.20,27788.84,27895.07,27699.09,1.70b,-0.42
20170913,27894.08,27984.27,27984.27,27751.28,1.48b,-0.28
20170912,27972.24,28068.70,28071.54,27883.83,1.35b,0.06
20170911,27955.13,27877.69,27976.98,27859.00,1.42b,1.04
20170908,27668.47,27571.59,27708.09,27569.13,1.46b,0.53
20170907,27522.92,27817.87,27817.87,27492.82,1.83b,-0.33
20170906,27613.76,27671.56,27684.26,27421.79,1.72b,-0.46
20170905,27741.35,27797.44,27871.76,27685.30,1.28b,0.00
20170904,27740.26,27881.71,27884.46,27662.29,1.68b,-0.76
20170901,27953.16,28015.22,28116.70,27915.44,1.81b,-0.06
20170831,27970.30,27934.45,27994.06,27861.48,2.88b,-0.44
20170830,28094.61,27957.74,28127.90,27912.82,2.21b,1.19
20170829,27765.01,27744.58,27839.83,27638.73,1.77b,-0.35
20170828,27863.29,27905.59,28071.59,27806.05,3.11b,0.05
20170825,27848.16,27539.11,27878.37,27480.11,3.91b,1.20
20170824,27518.60,27642.23,27642.23,27485.87,2.77b,0.05
20170823,27506.00,27555.00,27558.00,27462.00,-,0.38
20170822,27401.67,27322.20,27509.06,27316.08,2.11b,0.91
20170821,27154.68,27100.63,27221.31,27086.43,1.83b,0.40
20170818,27047.57,26999.60,27236.32,26951.92,1.74b,-1.08
20170817,27344.22,27610.29,27624.52,27302.48,1.85b,-0.24
20170816,27409.07,27238.81,27422.30,27238.81,1.83b,0.86
20170815,27174.96,27371.25,27438.42,27174.96,2.82b,-0.28
20170814,27250.23,27091.77,27268.23,27032.40,1.46b,1.36
20170811,26883.51,27000.43,27184.21,26863.71,3.23b,-2.04
20170810,27444.00,27791.36,27791.36,27267.03,2.24b,-1.13
20170809,27757.09,27760.08,27876.12,27602.66,1.70b,-0.35
