fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,257.58,254.29,259.97,254.29,53.83k,1.26
20180126,254.38,253.74,255.92,251.74,50.56k,0.43
20180125,253.30,254.00,256.79,252.03,60.03k,0.24
20180124,252.69,252.75,256.93,252.05,37.00k,0.02
20180123,252.64,246.40,254.03,246.40,54.82k,2.65
20180122,246.12,242.09,246.40,241.49,49.15k,1.85
20180119,241.66,240.38,243.33,240.38,46.81k,0.59
20180118,240.25,235.24,240.25,233.36,52.53k,1.84
20180117,235.90,239.46,242.37,235.90,52.26k,-1.49
20180116,239.48,241.03,242.88,237.69,38.36k,-0.64
20180115,241.03,237.11,241.29,235.48,44.10k,1.65
20180112,237.11,243.72,248.35,237.04,93.57k,-2.54
20180111,243.29,239.49,243.78,238.60,52.52k,1.59
20180110,239.49,238.35,242.14,236.55,51.31k,0.57
20180109,238.14,234.33,238.17,233.06,52.08k,1.67
20180108,234.23,228.79,234.43,227.79,39.49k,2.38
20180105,228.79,230.35,231.29,227.99,45.00k,-0.68
20180104,230.35,229.78,232.15,229.66,36.41k,0.34
20180103,229.57,225.85,230.36,225.32,50.54k,1.83
20180102,225.44,219.18,225.68,219.18,47.59k,1.73
20171229,221.60,221.71,223.82,220.53,32.40k,0.04
20171228,221.52,219.64,222.12,219.60,28.64k,0.86
20171227,219.64,218.95,221.31,218.41,32.66k,0.46
20171226,218.64,216.50,218.64,214.51,28.09k,0.87
20171225,216.76,216.13,217.82,215.79,22.09k,0.29
20171222,216.13,218.10,218.78,215.68,26.16k,-0.90
20171221,218.10,220.07,222.15,218.09,35.74k,-0.76
20171220,219.76,217.79,221.87,217.66,34.83k,0.83
20171219,217.96,218.66,219.59,216.82,27.75k,-0.19
20171218,218.38,213.76,219.08,213.76,38.36k,2.17
20171215,213.74,213.48,214.72,213.05,22.66k,0.12
20171214,213.48,211.39,213.48,210.41,22.02k,1.15
20171213,211.05,209.44,212.46,208.52,28.80k,0.21
20171212,210.61,209.92,213.58,202.01,63.99k,-0.23
20171211,211.09,217.06,217.06,211.09,45.98k,-2.75
20171208,217.06,219.64,219.64,216.80,23.78k,-1.17
20171207,219.64,218.58,221.59,217.29,28.94k,0.48
20171206,218.60,216.93,220.08,214.84,45.64k,0.72
20171205,217.03,225.43,226.06,217.01,50.22k,-3.73
20171204,225.43,222.45,226.00,222.06,63.23k,1.51
20171201,222.08,220.65,222.25,220.06,43.30k,0.74
20171130,220.44,219.91,222.05,219.32,47.04k,0.41
20171129,219.54,213.35,219.54,213.13,39.91k,2.90
20171128,213.35,214.57,215.31,212.20,35.84k,-0.57
20171127,214.57,210.22,216.29,210.22,57.40k,2.07
20171124,210.22,207.73,210.70,207.73,34.52k,0.83
20171123,208.48,205.89,210.35,205.58,62.02k,1.37
20171122,205.67,203.40,205.71,202.43,33.30k,1.23
20171121,203.18,201.59,204.58,201.41,28.95k,-0.08
20171120,203.34,203.43,204.72,202.63,26.32k,-0.04
20171117,203.43,203.23,205.85,201.90,39.97k,0.10
20171116,203.23,201.99,203.76,201.73,32.44k,0.61
20171115,201.99,200.93,202.51,200.82,18.35k,0.34
20171114,201.30,201.22,203.34,200.48,28.45k,0.04
20171113,201.22,198.34,201.22,197.96,26.90k,1.44
20171110,198.36,198.95,198.95,196.60,18.69k,0.11
20171109,198.15,197.54,199.08,196.83,19.11k,0.31
20171108,197.54,192.96,197.54,192.96,23.41k,1.00
20171107,195.58,195.17,196.38,194.86,20.81k,0.21
20171106,195.17,192.57,195.35,192.29,20.02k,1.15
20171103,192.95,190.75,192.96,188.39,21.53k,1.07
20171102,190.91,193.02,195.13,190.49,19.07k,-1.53
20171101,193.87,191.91,196.01,191.91,26.50k,-0.34
20171031,194.53,195.29,196.95,193.72,18.99k,-0.85
20171030,196.20,196.29,198.40,195.28,20.50k,0.01
20171027,196.18,195.95,196.74,194.26,14.87k,0.11
20171026,195.97,197.69,198.09,194.03,22.76k,-0.87
20171025,197.69,196.17,197.79,196.17,17.17k,0.77
20171024,196.17,192.73,196.63,191.73,18.37k,0.07
20171023,196.03,199.79,200.47,195.27,24.19k,-1.74
20171020,199.51,201.14,202.56,199.19,17.33k,-0.81
20171019,201.14,201.57,203.32,200.75,16.84k,-0.21
20171018,201.57,202.68,204.68,201.51,25.61k,-0.55
20171017,202.68,201.25,202.73,201.03,24.24k,0.71
20171016,201.25,200.82,202.14,200.34,20.21k,0.21
20171013,200.82,199.23,200.99,199.12,16.95k,0.80
20171012,199.23,200.01,200.50,198.71,15.72k,-0.37
20171011,199.96,199.08,200.73,199.03,22.29k,0.44
20171010,199.08,197.79,200.02,197.07,17.14k,0.15
20171009,198.78,197.50,199.45,197.38,28.43k,0.65
20171006,197.50,196.30,197.60,196.04,15.68k,0.61
20171005,196.30,197.56,198.29,196.11,19.02k,-0.64
20171004,197.56,195.64,197.60,195.07,13.18k,0.96
20171003,195.69,197.46,197.85,194.56,18.60k,-0.90
20171002,197.46,198.22,199.39,196.76,17.11k,-0.38
20170929,198.22,195.07,198.22,193.22,14.96k,0.14
20170928,197.94,201.63,201.63,196.68,18.46k,-0.20
20170927,198.33,198.05,198.82,195.84,18.86k,0.12
20170926,198.09,195.04,198.70,195.04,26.96k,0.61
20170925,196.88,195.77,196.97,195.38,21.23k,0.62
20170922,195.66,195.00,196.20,194.85,16.10k,0.28
20170921,195.11,194.76,196.26,194.40,19.36k,0.19
20170920,194.74,193.74,195.00,193.69,33.47k,0.52
20170919,193.74,194.88,196.34,193.70,19.24k,-0.58
20170918,194.88,192.83,195.39,192.05,34.41k,1.06
20170915,192.83,190.67,193.17,190.63,12.36k,0.16
20170914,192.52,193.26,194.32,192.35,21.34k,-0.38
