fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,40500.12,40707.64,40864.55,40443.50,2.50,-0.70
20180126,40785.87,40431.65,40804.76,40399.45,2.60,0.88
20180125,40431.65,40983.14,41012.28,40357.57,4.66,-1.34
20180124,40979.77,41517.42,41609.06,40888.88,3.40,-1.29
20180123,41516.41,41003.74,41520.33,40984.36,4.41,1.25
20180122,41002.39,39984.48,41002.39,39934.77,4.59,2.45
20180119,40021.89,39664.93,40021.89,39621.28,2.40,0.90
20180118,39663.92,39543.93,39741.15,39434.66,3.29,0.31
20180117,39543.26,39682.48,39732.77,39362.79,5.34,-0.36
20180116,39684.16,39580.45,39986.66,39510.99,2.62,0.27
20180115,39579.11,39877.86,39878.91,39479.20,2.66,-0.75
20180112,39877.86,39773.47,39916.06,39594.24,3.61,0.26
20180111,39772.75,39651.23,39772.75,39387.70,3.77,0.31
20180110,39651.23,39868.44,39931.29,39400.75,2.33,-0.55
20180109,39869.56,40105.15,40208.09,39662.55,3.55,-0.58
20180108,40104.03,39997.49,40193.23,39861.92,4.04,0.27
20180105,39995.16,39851.26,40006.47,39785.59,3.98,0.36
20180104,39850.00,39604.40,39898.46,39574.80,4.36,0.62
20180103,39604.40,39444.34,39656.53,39334.16,2.35,0.41
20180102,39443.57,39313.02,39736.12,39287.50,2.61,0.17
20171229,39377.31,39277.12,39378.21,39215.08,3.11,0.51
20171228,39178.80,39153.18,39269.55,39076.50,2.42,-0.03
20171227,39190.99,39137.21,39273.62,39001.76,2.70,0.42
20171222,39027.55,39144.00,39166.29,38916.66,2.66,-0.29
20171221,39140.22,38876.85,39140.22,38571.92,2.65,0.76
20171220,38846.60,38977.27,39173.94,38766.05,4.00,0.10
20171219,38807.09,38781.99,39049.34,38674.31,5.48,0.16
20171218,38744.18,38736.79,38813.95,38516.73,3.58,0.22
20171215,38657.37,38638.88,38804.00,38423.56,8.38,0.11
20171214,38616.19,38311.36,38650.21,38185.32,11.13,1.02
20171213,38228.16,38074.98,38228.16,37931.82,9.28,0.55
20171212,38018.26,37670.29,38070.31,37400.91,4.80,1.18
20171211,37575.75,38304.41,38356.27,37534.07,5.47,-1.72
20171208,38232.56,38480.55,38629.57,38131.92,3.38,-0.30
20171207,38348.20,37655.81,38420.16,37655.81,4.00,2.01
20171206,37591.53,37596.58,37865.48,37444.49,4.13,0.09
20171205,37558.76,37899.90,38014.11,37494.08,6.18,-0.65
20171204,37805.37,38228.73,38353.41,37771.66,4.41,-1.00
20171201,38188.81,38673.73,38764.62,38155.78,4.26,-1.25
20171130,38673.73,38819.26,39006.40,38458.03,4.61,-0.37
20171129,38819.26,39351.85,39461.01,38796.04,4.77,-1.08
20171128,39242.18,39488.58,39686.28,39066.29,6.44,-0.46
20171127,39424.29,39712.79,39724.78,39246.24,6.72,-0.72
20171124,39709.00,39992.98,40029.11,39709.00,4.04,-0.63
20171123,39962.72,40120.02,40120.02,39803.25,2.77,-0.42
20171122,40131.37,39625.90,40217.73,39625.90,5.39,1.46
20171121,39554.05,39371.00,39607.79,39273.51,4.81,0.49
20171120,39359.28,39273.89,39438.17,39050.86,6.01,0.20
20171117,39279.75,38988.16,39323.97,38921.03,3.59,0.76
20171116,38982.30,38622.21,39318.87,38622.21,5.89,0.95
20171115,38615.11,39174.95,39239.18,38599.55,7.60,-1.34
20171114,39140.44,39259.86,39711.83,39139.65,8.89,-0.29
20171113,39254.00,39423.52,39834.15,39254.00,5.60,-0.46
20171110,39435.24,40254.96,40388.89,39435.24,8.12,-2.08
20171109,40273.66,40205.63,40499.82,40036.27,13.28,0.38
20171108,40122.07,39823.97,40241.13,39618.18,14.53,0.79
20171107,39809.00,40115.77,40370.23,39755.63,13.98,-0.76
20171106,40115.77,39872.34,40129.09,39798.68,7.10,0.89
20171103,39762.67,40156.42,40213.35,39620.14,9.93,-0.96
20171102,40149.86,39645.68,40255.66,39645.68,10.61,1.36
20171031,39611.64,39805.59,40017.26,39609.86,15.47,-0.68
20171030,39881.22,39765.45,40010.57,39717.57,9.80,0.54
20171027,39667.13,39855.57,39970.91,39614.69,10.75,-0.56
20171026,39889.60,39757.72,40003.06,39595.13,5.35,0.12
20171025,39840.92,39475.65,39918.11,39475.65,9.48,1.09
20171024,39411.36,39132.62,39411.36,38884.67,9.51,0.71
20171020,39132.62,39101.99,39221.20,38896.04,12.48,0.09
20171019,39098.21,39115.80,39149.35,38862.57,6.13,0.04
20171018,39081.77,38996.76,39229.21,38824.19,5.62,0.44
20171017,38909.78,39097.20,39130.14,38881.43,8.28,-0.54
20171016,39119.89,38868.41,39119.89,38791.69,7.39,0.58
20171013,38894.88,38772.08,38964.62,38568.74,5.59,0.32
20171012,38772.08,38453.90,38773.18,38442.17,7.97,0.83
20171011,38453.12,38001.41,38466.60,37952.14,8.39,1.11
20171010,38031.67,38042.79,38101.01,37766.32,6.06,0.06
