fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6680.62,6674.39,6685.84,6636.90,9.93b,0.30
20180126,6660.62,6616.13,6677.37,6615.87,10.25b,0.68
20180125,6615.33,6629.37,6636.59,6581.67,12.20b,-0.00
20180124,6615.49,6635.76,6641.17,6588.62,11.60b,-0.30
20180123,6635.33,6538.01,6635.33,6537.08,8.53b,2.07
20180122,6500.53,6495.38,6529.20,6484.12,8.78b,0.15
20180119,6490.90,6483.83,6490.90,6443.01,7.02b,0.28
20180118,6472.67,6456.90,6483.27,6452.05,11.17b,0.44
20180117,6444.52,6429.77,6452.51,6420.06,8.69b,0.23
20180116,6429.69,6386.22,6429.69,6381.31,8.20b,0.74
20180115,6382.19,6379.07,6390.89,6361.61,7.35b,0.19
20180112,6370.06,6391.47,6409.18,6359.83,8.90b,-0.25
20180111,6386.34,6375.03,6386.34,6344.04,11.73b,0.24
20180110,6371.17,6380.92,6412.03,6355.22,7.01b,-0.03
20180109,6373.14,6393.87,6402.74,6351.23,6.69b,-0.19
20180108,6385.40,6354.36,6385.40,6349.04,6.67b,0.50
20180105,6353.74,6279.46,6353.74,6278.72,7.42b,0.98
20180104,6292.32,6257.72,6292.32,6233.94,5.79b,0.65
20180103,6251.48,6341.27,6342.19,6220.69,4.89b,-1.38
20180102,6339.24,6366.08,6445.91,6326.09,5.22b,-0.26
20171229,6355.65,6325.62,6368.32,6321.09,6.60b,0.66
20171228,6314.05,6282.44,6314.05,6259.61,5.90b,0.59
20171227,6277.16,6214.26,6277.16,6214.26,4.47b,0.90
20171222,6221.01,6181.86,6221.01,6167.04,4.51b,0.61
20171221,6183.39,6129.53,6183.39,6126.79,5.23b,1.21
20171220,6109.48,6165.60,6167.43,6088.56,5.91b,-0.94
20171219,6167.67,6113.09,6176.45,6110.28,5.66b,0.55
20171218,6133.96,6111.68,6133.96,6080.15,5.14b,0.24
20171215,6119.42,6098.84,6119.42,6075.89,5.64b,0.09
20171214,6113.65,6065.31,6117.13,6061.09,6.72b,0.98
20171213,6054.60,6027.44,6054.60,6020.11,5.59b,0.37
20171212,6032.37,6038.43,6042.00,6012.98,5.46b,0.10
20171211,6026.63,6043.35,6052.52,6024.04,5.74b,-0.07
20171208,6030.96,6017.96,6041.13,6013.75,5.34b,0.40
20171207,6006.84,6032.05,6039.30,6006.84,5.00b,-0.48
20171206,6035.51,6002.54,6044.34,6001.09,5.09b,0.58
20171205,6000.47,6021.09,6026.41,5979.48,6.72b,0.04
20171204,5998.19,6014.06,6031.92,5994.35,6.60b,0.77
20171130,5952.14,6053.03,6058.60,5952.14,9.50b,-1.80
20171129,6061.37,6066.43,6073.90,6045.34,6.42b,-0.15
20171128,6070.72,6055.10,6070.72,6015.91,6.68b,0.10
20171127,6064.59,6059.71,6072.49,6035.92,6.08b,-0.04
20171124,6067.14,6064.67,6069.85,6035.25,5.70b,0.06
20171123,6063.24,6081.42,6090.64,6056.12,6.67b,-0.11
20171122,6069.78,6039.09,6071.34,6038.74,6.56b,0.63
20171121,6031.86,6062.23,6076.23,6008.69,5.70b,-0.35
20171120,6053.28,6066.75,6098.78,6053.28,5.38b,0.03
20171117,6051.73,6052.51,6092.35,6049.96,5.20b,0.23
20171116,6037.91,5985.63,6054.24,5984.70,5.53b,1.10
20171115,5972.31,6001.92,6012.66,5972.31,7.33b,-0.27
20171114,5988.29,6019.11,6039.30,5988.29,6.37b,-0.55
20171113,6021.46,6020.75,6045.49,6016.99,5.40b,-0.01
20171110,6021.83,6044.28,6054.53,6020.45,5.38b,-0.34
20171109,6042.46,6055.55,6071.54,6039.86,5.67b,-0.11
20171108,6049.38,6052.99,6069.77,6033.55,7.16b,-0.18
20171107,6060.45,6055.75,6065.28,6047.27,5.03b,0.16
20171106,6050.82,6031.52,6062.06,6025.07,6.20b,0.19
20171103,6039.54,6044.79,6046.26,5989.68,4.77b,0.14
20171102,6031.11,6052.03,6082.23,6031.11,5.67b,-0.12
20171101,6038.15,6017.04,6038.99,6008.37,5.63b,0.54
20171031,6005.78,6034.38,6034.62,5989.86,5.58b,0.53
20171030,5974.08,5990.19,6008.63,5969.21,6.03b,-0.02
20171027,5975.28,5998.17,6020.29,5969.78,5.02b,-0.34
20171026,5995.85,6018.27,6042.45,5995.85,6.16b,-0.49
20171025,6025.43,5962.03,6025.43,5961.75,6.59b,1.23
20171024,5952.08,5955.27,5974.20,5949.33,8.33b,0.03
20171023,5950.03,5946.15,5965.99,5945.33,8.01b,0.35
20171020,5929.55,5923.08,5959.58,5918.53,6.56b,0.32
20171019,5910.53,5927.73,5934.68,5903.86,7.66b,-0.31
20171018,5929.20,5955.20,5958.00,5903.62,7.42b,-0.30
20171017,5947.33,5957.58,5961.51,5922.07,5.33b,-0.04
20171016,5949.70,5927.99,5956.95,5927.99,7.33b,0.43
20171013,5924.12,5926.03,5947.86,5915.14,6.89b,-0.04
20171012,5926.20,5886.43,5932.01,5883.50,7.62b,0.74
20171011,5882.79,5900.73,5906.14,5860.76,4.91b,-0.39
20171010,5905.76,5918.13,5927.68,5896.46,4.87b,-0.16
20171009,5914.93,5906.72,5926.38,5902.47,4.23b,0.16
20171006,5905.38,5922.11,5922.75,5894.24,4.75b,0.06
20171005,5901.91,5954.73,5956.40,5901.91,5.83b,-0.83
20171004,5951.48,5952.38,5967.12,5946.64,6.01b,0.20
20171003,5939.45,5915.43,5953.48,5899.53,6.25b,0.43
20171002,5914.03,5917.75,5936.14,5909.11,5.02b,0.22
20170929,5900.85,5855.08,5907.44,5851.70,5.18b,1.02
20170928,5841.05,5860.55,5866.61,5839.59,6.21b,-0.37
20170927,5863.03,5872.59,5873.03,5841.02,5.53b,-0.02
20170926,5863.96,5897.01,5904.95,5859.85,6.11b,-0.52
20170925,5894.61,5910.16,5918.09,5882.94,4.80b,-0.29
20170922,5911.71,5905.23,5928.79,5883.57,5.18b,0.09
20170920,5906.57,5902.21,5908.86,5885.83,6.18b,0.09
20170919,5901.33,5885.21,5901.33,5868.34,5.91b,0.28
20170918,5884.61,5875.11,5884.61,5851.23,5.33b,0.21
20170915,5872.39,5854.45,5875.53,5831.18,6.47b,0.35
20170914,5852.00,5849.72,5867.21,5841.40,7.57b,0.11
