fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,50636.32,51059.67,51099.49,50523.66,157.83,-0.84
20180126,51065.49,50772.37,51107.51,50340.13,207.90,0.57
20180125,50777.90,50821.83,51100.03,50625.56,217.70,0.06
20180124,50746.93,50178.18,50879.61,50145.41,209.36,0.97
20180123,50260.25,50030.56,50306.88,49884.91,169.11,0.57
20180122,49974.48,49711.51,50034.50,49709.20,160.70,0.56
20180119,49695.56,49883.64,49987.73,49660.01,170.29,-0.43
20180118,49911.97,49681.18,49958.33,49620.16,132.01,0.36
20180117,49730.51,49499.23,49804.96,49450.85,169.44,0.48
20180116,49491.72,49292.38,49612.22,49290.12,160.83,0.25
20180115,49368.58,49183.59,49455.31,49121.85,27.70,0.47
20180112,49135.91,48764.91,49429.03,48521.61,175.40,0.69
20180111,48799.39,48840.16,49026.05,48408.75,203.71,0.03
20180110,48785.25,49666.23,49741.02,48722.27,178.89,-1.84
20180109,49701.37,50002.03,50162.75,49543.21,209.33,-0.59
20180108,49995.57,49916.57,50233.62,49891.07,150.48,0.22
20180105,49887.74,49929.52,50079.03,49712.54,156.15,0.29
20180104,49744.62,49800.36,50128.47,49704.25,182.74,-0.08
20180103,49782.23,50093.31,50093.31,49735.91,145.27,-0.50
20180102,50033.95,49376.26,50083.02,49328.60,106.59,1.38
20171229,49354.42,48880.39,49388.98,48874.16,88.57,1.01
20171228,48861.94,48659.43,48999.50,48640.11,67.28,0.43
20171227,48652.56,48470.87,48810.87,48425.71,68.56,0.42
20171226,48451.33,48473.31,48801.28,48198.17,69.96,0.13
20171222,48387.93,48429.97,48590.57,48232.84,103.49,-0.24
20171221,48503.31,48418.09,48767.24,48402.32,132.49,0.23
20171220,48390.39,48449.24,48536.73,48191.28,186.69,-0.03
20171219,48403.03,48636.52,48792.24,48368.90,234.46,-0.48
20171218,48634.54,48082.82,48733.58,48071.02,259.22,1.15
20171215,48081.55,48244.50,48360.42,47930.81,480.35,-0.29
20171214,48222.38,48297.30,48537.02,48091.40,300.40,-0.11
20171213,48276.72,47831.58,48316.97,47826.15,334.48,1.21
20171211,47699.04,47407.73,47843.55,47407.73,140.91,0.27
20171208,47572.86,47012.03,47632.96,47012.03,179.40,1.25
20171207,46987.01,47016.28,47276.87,46949.80,200.49,0.03
20171206,46973.30,47465.41,47465.41,46933.29,196.36,-1.03
20171205,47462.79,47228.10,47525.64,47014.11,132.56,0.64
20171204,47161.32,47289.47,47514.91,46993.75,148.58,-0.22
20171201,47265.31,47098.36,47401.51,46936.60,187.07,0.37
20171130,47092.44,47618.33,47639.88,47003.07,372.68,-1.11
20171129,47622.93,47298.31,47681.89,46960.89,215.14,0.83
20171128,47229.16,47312.31,47494.20,47108.77,197.56,-0.10
20171127,47275.32,47874.70,47887.12,47221.47,171.28,-1.39
20171124,47941.88,48199.82,48210.96,47662.34,65.53,-0.40
20171123,48136.24,48208.92,48246.94,48036.39,23.85,-0.13
20171122,48196.89,48263.13,48453.19,47933.19,179.68,0.02
20171121,48185.71,47831.62,48258.83,47750.73,195.43,0.69
20171117,47857.14,47780.36,48107.72,47597.77,150.28,0.23
20171116,47747.69,47736.59,48025.86,47711.52,145.08,0.12
20171115,47690.80,47853.83,47958.12,47471.13,172.36,-0.38
20171114,47873.65,47999.61,48044.60,47659.14,162.42,-0.27
