fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5880.47,5845.01,5890.12,5842.11,-,0.42
20180126,5855.67,5811.54,5863.68,5787.46,-,0.76
20180125,5811.54,5802.89,5846.13,5786.22,-,0.23
20180124,5798.25,5807.19,5815.30,5788.33,-,-0.03
20180123,5799.81,5827.91,5836.23,5789.57,-,-0.48
20180122,5827.91,5861.91,5867.12,5809.37,-,-0.48
20180119,5856.27,5843.51,5874.76,5811.51,-,0.29
20180118,5839.37,5794.03,5845.72,5780.32,-,0.92
20180117,5786.15,5727.40,5803.65,5722.33,-,0.70
20180115,5745.95,5734.00,5759.53,5734.00,-,0.22
20180112,5733.35,5717.65,5740.63,5706.08,-,0.27
20180111,5717.65,5681.96,5720.47,5675.03,-,0.70
20180110,5678.09,5710.47,5710.94,5666.56,-,-0.56
20180109,5709.80,5705.61,5715.34,5692.12,-,0.07
20180108,5705.61,5695.43,5719.54,5689.67,-,0.18
20180105,5695.43,5634.98,5703.56,5634.97,-,1.07
20180104,5634.98,5616.47,5641.31,5616.35,-,0.33
20180103,5616.47,5618.91,5644.69,5594.96,-,-0.04
20180102,5618.91,5565.63,5627.46,5558.54,-,0.98
20171229,5564.60,5550.93,5575.24,5543.35,-,0.25
20171228,5550.93,5496.25,5556.44,5496.25,-,0.99
20171227,5496.25,5514.74,5519.76,5478.55,-,-0.34
20171226,5514.74,5537.76,5539.55,5500.27,-,-0.41
20171222,5537.60,5450.83,5545.61,5450.83,-,1.59
20171221,5450.83,5528.71,5548.53,5448.14,-,-1.41
20171220,5528.71,5588.09,5601.59,5516.36,-,-1.06
20171219,5588.09,5595.65,5641.26,5542.54,-,-0.14
20171218,5595.65,5237.87,5646.00,5237.87,-,6.90
20171215,5234.64,5121.26,5283.30,5121.26,-,2.25
20171214,5119.30,5135.29,5168.99,5103.65,-,-0.31
20171213,5135.19,5039.90,5147.27,5033.97,-,1.89
20171212,5039.90,5018.67,5052.39,5008.59,-,0.42
20171211,5018.67,4890.44,5031.42,4888.95,-,2.69
20171207,4887.16,4888.13,4924.72,4846.84,-,-0.02
20171206,4888.13,4925.21,4932.27,4862.89,-,-0.75
20171205,4925.21,5014.47,5017.72,4923.88,-,-1.78
20171204,5014.47,5024.42,5062.67,4992.14,-,-0.20
20171201,5024.42,5003.40,5035.02,4996.98,-,0.42
20171130,5003.40,5012.60,5028.84,4968.16,-,-0.18
20171129,5012.60,5061.20,5087.71,5001.05,-,-0.96
20171128,5061.20,5032.53,5072.80,5022.09,-,0.57
20171127,5032.53,5040.51,5052.94,5027.31,-,-0.16
20171124,5040.51,5034.33,5072.90,5024.40,-,0.12
20171123,5034.33,5131.61,5152.21,5017.70,-,-1.84
20171122,5128.87,5199.04,5223.76,5122.35,-,-1.35
20171121,5199.04,5076.02,5216.59,5076.02,-,2.42
20171120,5076.02,5391.89,5391.89,5059.84,-,-5.86
20171117,5391.75,5314.53,5395.99,5314.53,-,1.45
20171116,5314.53,5273.77,5343.41,5273.77,-,0.77
20171115,5273.77,5308.66,5318.15,5259.91,-,-0.66
20171114,5308.66,5337.01,5374.91,5299.47,-,-0.53
20171113,5337.01,5394.70,5402.47,5336.69,-,-1.07
20171110,5394.70,5443.89,5447.83,5386.35,-,-0.90
20171109,5443.89,5485.65,5496.06,5419.68,-,-0.76
20171108,5485.65,5493.49,5501.07,5472.74,-,-0.09
20171107,5490.82,5527.56,5544.24,5487.42,-,-0.66
20171106,5527.56,5485.89,5541.62,5485.89,-,0.76
20171103,5485.89,5512.07,5519.41,5477.56,-,-0.47
20171102,5512.07,5588.08,5591.04,5489.49,-,-1.36
20171031,5588.08,5608.67,5613.70,5575.25,-,-0.37
20171030,5608.67,5517.89,5609.80,5517.89,-,1.67
20171026,5516.45,5495.09,5522.48,5492.21,-,0.39
20171025,5495.09,5536.29,5543.65,5489.77,-,-0.74
20171024,5536.29,5560.06,5564.10,5519.20,-,-0.43
20171023,5560.06,5524.46,5571.79,5521.78,-,0.65
20171020,5523.97,5477.27,5530.84,5472.46,-,0.85
20171019,5477.27,5517.97,5517.97,5472.44,-,-0.74
20171018,5517.97,5503.19,5523.02,5493.28,-,0.63
20171017,5483.30,5485.38,5495.11,5465.80,-,-0.04
20171016,5485.38,5460.80,5495.44,5453.86,-,0.46
20171013,5460.47,5434.12,5468.66,5432.96,-,0.47
20171012,5435.08,5463.90,5477.46,5429.57,-,-0.56
20171011,5465.65,5476.28,5477.83,5443.33,-,-0.21
20171010,5477.32,5490.27,5493.13,5455.36,-,-0.15
20171006,5485.63,5439.13,5491.28,5420.88,-,0.85
20171005,5439.13,5438.37,5454.00,5432.29,-,-0.21
20171004,5450.49,5420.98,5453.98,5419.98,-,0.56
20171003,5420.14,5377.42,5424.74,5376.06,-,0.91
20171002,5371.43,5346.74,5375.54,5341.95,-,0.55
20170929,5341.93,5309.60,5351.46,5302.68,-,0.61
20170928,5309.47,5301.62,5315.86,5284.67,-,0.19
20170927,5299.51,5272.25,5305.67,5272.25,-,0.67
20170926,5264.11,5262.52,5277.83,5251.51,-,0.05
20170925,5261.73,5290.64,5300.07,5249.94,-,-0.53
20170922,5289.92,5286.81,5299.01,5273.72,-,0.04
20170921,5288.00,5241.88,5295.27,5235.04,-,0.89
20170920,5241.48,5226.59,5248.39,5215.12,-,0.76
20170915,5202.05,5156.81,5214.28,5149.62,-,0.81
20170914,5160.46,5162.49,5168.55,5148.23,-,-0.05
20170913,5162.91,5173.78,5183.44,5151.16,-,-0.12
20170912,5168.92,5154.15,5193.07,5154.15,-,0.33
20170911,5152.09,5103.35,5159.59,5098.59,-,1.18
20170908,5091.81,5113.16,5129.75,5088.14,-,-0.37
20170907,5110.55,5081.33,5119.51,5080.39,-,0.59
20170906,5080.59,5133.47,5133.47,5076.85,-,-1.02
20170905,5133.18,5144.48,5152.22,5103.51,-,-0.29
20170904,5147.94,5173.46,5174.50,5142.82,-,-0.50
20170901,5173.91,5152.67,5181.25,5145.89,-,0.40
20170831,5153.15,5157.49,5168.60,5132.11,-,-0.06
20170830,5156.23,5164.58,5176.23,5146.17,-,-0.13
20170829,5162.89,5169.83,5170.93,5146.72,-,-0.16
20170828,5171.12,5179.11,5194.08,5152.40,-,-0.10
20170825,5176.11,5152.80,5178.68,5145.54,-,0.45
20170824,5152.80,5128.47,5162.57,5114.79,-,0.48
20170823,5127.93,5115.60,5135.05,5100.52,-,0.26
20170822,5114.69,5101.43,5120.10,5101.43,-,0.25
20170821,5101.73,5122.63,5125.45,5095.00,-,-0.28
20170818,5116.27,5113.24,5121.73,5106.12,-,0.10
20170817,5111.05,5110.67,5128.60,5092.73,-,0.01
20170816,5110.67,5068.68,5127.11,5065.32,-,0.93
20170814,5063.73,5034.81,5080.18,5029.96,-,0.60
20170811,5033.32,5062.18,5062.18,5020.26,-,-0.47
20170810,5057.11,5083.37,5092.40,5047.67,-,-0.57
20170809,5086.27,5118.26,5118.44,5074.06,-,-0.74
20170808,5124.23,5137.14,5138.80,5115.83,-,-0.32
20170807,5140.75,5099.66,5144.42,5095.26,-,0.67
