fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,120845.29,120701.92,121529.75,119410.08,1.25b,0.12
20180126,120701.92,118947.05,120701.92,118871.97,1.26b,1.77
20180125,118604.05,119677.05,120320.47,118587.25,1.33b,-0.87
20180124,119648.37,118477.30,119672.98,118148.47,1.40b,1.05
20180123,118400.06,117843.57,118955.83,117495.32,1.38b,0.99
20180122,117235.47,115639.18,117246.16,115288.81,1.24b,1.81
20180119,115147.06,116724.07,117064.57,114926.12,1.47b,-1.46
20180118,116856.02,117145.91,117758.87,116157.07,1.30b,0.23
20180117,116592.51,114429.64,116630.19,113705.83,1.50b,1.90
20180116,114418.36,111708.37,114475.48,111107.44,1.72b,2.01
20180115,112159.21,114286.27,115452.85,112159.21,1.53b,-2.17
20180112,114644.62,115062.79,115718.72,114561.55,1.21b,-0.06
20180111,114718.80,114329.36,114718.80,113057.57,1.37b,0.99
20180110,113589.45,114812.31,114856.57,112884.40,1.28b,-1.25
20180109,115022.81,116311.36,116647.17,114942.05,1.20b,-1.10
20180108,116304.51,117514.33,117783.70,116228.63,1.09b,-0.29
20180105,116637.94,116159.12,117184.50,115950.69,1.12b,0.99
20180104,115491.19,116068.60,117258.87,115152.31,1.45b,-0.48
20180103,116052.15,117738.99,118395.13,115780.24,1.79b,-1.25
20180102,117524.20,115734.50,117724.22,115626.12,1.59b,1.90
20171229,115333.01,114708.39,115840.17,114378.25,844.27,0.74
20171228,114480.45,112514.10,114542.37,112514.10,914.15,2.08
20171227,112149.71,111862.16,112226.12,111445.86,779.98,0.13
20171226,112006.65,112130.62,112261.10,111664.77,765.94,0.22
20171225,111765.00,111705.21,112005.23,111391.49,562.19,0.60
20171222,111099.47,111893.91,112156.74,111005.82,843.46,-0.16
20171221,111271.95,110804.99,111861.46,110784.95,1.07b,0.74
20171220,110454.67,110233.66,110785.69,109628.27,1.08b,0.25
20171219,110177.11,110489.12,111167.36,110177.11,1.14b,-0.06
