fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,7059.28,7098.63,7109.66,7059.08,14.76,-0.55
20180126,7098.63,7033.76,7101.04,7033.76,15.64,0.92
20180125,7033.76,7156.40,7173.22,7022.90,29.93,-1.71
20180124,7156.40,7235.11,7245.90,7156.26,29.76,-1.09
20180123,7235.11,7157.50,7257.41,7157.50,35.36,1.08
20180122,7157.50,7157.12,7171.18,7128.81,19.95,0.01
20180119,7157.12,7073.37,7157.12,7061.14,51.55,1.18
20180118,7073.37,7051.74,7090.23,7039.91,23.02,0.31
20180117,7051.74,7066.95,7080.81,7018.53,28.06,-0.22
20180116,7066.95,7092.67,7099.38,7054.87,19.61,-0.36
20180115,7092.67,7074.44,7092.67,7025.51,16.66,0.26
20180112,7074.44,7041.04,7084.60,7016.09,24.49,0.47
20180111,7041.04,7102.23,7105.97,7017.85,41.99,-0.86
20180110,7102.23,7178.92,7185.77,7061.86,22.61,-1.07
20180109,7178.92,7184.09,7223.07,7153.84,60.87,-0.07
20180108,7184.09,7174.14,7189.92,7152.54,27.07,0.14
20180105,7174.14,7126.57,7178.18,7102.65,38.75,0.67
20180104,7126.57,7070.69,7126.57,7070.22,28.57,0.78
20180103,7071.23,7054.55,7089.51,7044.97,19.29,0.24
20180102,7054.55,7038.28,7061.56,7021.69,16.84,0.23
20171229,7038.28,7051.38,7051.38,7021.98,6.96,-0.19
20171228,7051.38,7027.82,7051.38,7007.45,9.20,0.34
20171227,7027.82,7016.24,7030.51,6990.88,8.77,0.17
20171222,7016.24,7011.22,7043.78,7000.26,13.83,0.07
20171221,7011.22,6980.90,7011.22,6955.48,18.28,0.43
20171220,6980.90,6998.82,7014.48,6963.93,22.68,-0.26
20171219,6998.82,6955.52,7010.59,6944.45,21.41,0.62
20171218,6955.52,6912.76,6982.44,6912.76,39.00,0.62
20171215,6912.76,6968.88,6999.24,6912.76,53.39,-0.81
20171214,6968.88,7014.27,7014.27,6957.70,22.58,-0.65
20171213,7014.27,7020.84,7040.77,7006.15,19.44,-0.09
20171212,7020.84,7021.52,7034.09,7001.00,18.14,-0.01
20171211,7021.52,7067.17,7067.17,7010.21,16.94,-0.65
20171208,7067.17,6994.64,7081.96,6994.64,19.98,1.04
20171207,6994.64,6972.57,7019.80,6972.57,15.12,0.32
20171206,6972.57,6957.05,6978.07,6915.10,20.49,0.22
20171205,6957.05,6954.80,6983.04,6928.10,23.13,0.03
20171204,6954.80,6862.19,6988.09,6862.19,22.48,1.35
20171201,6862.19,6867.67,6923.29,6845.98,27.80,-0.08
20171130,6867.67,6911.61,6938.46,6862.94,126.41,-0.66
20171129,6913.23,6874.93,6946.88,6874.93,28.67,0.56
20171128,6874.93,6863.80,6884.16,6848.67,18.30,0.16
20171127,6863.80,6875.41,6910.30,6849.01,23.79,-0.17
20171124,6875.41,6855.15,6876.23,6831.44,12.65,0.30
20171123,6855.15,6879.92,6883.68,6843.94,22.01,-0.36
20171122,6879.92,6922.38,6939.74,6879.27,35.84,-0.61
20171121,6922.38,6941.25,6967.65,6920.66,20.20,0.11
20171120,6914.97,6896.27,6953.06,6885.71,18.63,0.27
20171117,6896.27,6839.53,6896.27,6838.10,17.62,0.83
20171116,6839.53,6724.17,6847.25,6724.17,20.03,1.71
20171115,6724.27,6758.21,6763.28,6684.63,20.19,-0.50
20171114,6758.21,6789.10,6813.96,6746.17,31.69,-0.45
20171113,6789.10,6877.14,6888.84,6768.17,18.35,-1.28
20171110,6877.14,6921.40,6947.26,6877.14,15.87,-0.64
20171109,6921.40,6963.48,6985.02,6907.57,29.21,-0.60
20171108,6963.48,6904.86,6965.31,6904.86,31.94,0.85
20171107,6904.86,6967.47,6996.28,6904.86,15.62,-0.90
20171106,6967.47,6984.30,6993.36,6951.98,17.72,-0.24
20171103,6984.30,6965.72,6984.30,6936.57,16.16,0.27
20171102,6965.72,7009.28,7034.53,6930.41,15.72,-0.64
20171101,7010.59,6972.73,7049.24,6972.73,36.70,0.54
20171031,6972.73,6912.11,6978.69,6912.11,22.07,0.88
20171030,6912.11,6901.33,6920.23,6874.12,16.93,0.16
20171027,6901.33,6850.92,6908.86,6835.25,24.06,0.74
