fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,576.85,576.85,576.85,576.85,-,0.00
20180128,576.85,574.57,576.85,574.57,-,1.64
20180125,567.52,567.52,567.52,567.52,-,0.20
20180124,566.37,566.37,566.37,566.37,-,0.37
20180123,564.26,564.26,564.26,564.26,-,0.69
20180122,560.38,560.38,560.38,560.38,-,-0.28
20180121,561.98,561.98,561.98,561.98,-,-0.44
20180103,564.49,571.22,572.89,564.49,-,-2.76
20171227,580.54,580.54,580.54,580.54,-,0.00
20171226,580.54,580.54,580.54,580.54,-,0.00
20171225,580.54,580.54,580.54,580.54,-,-0.36
20171224,582.62,582.62,582.62,582.62,-,1.44
20171221,574.33,574.33,574.33,574.33,-,-0.15
20171220,575.21,575.21,575.21,575.21,-,-0.24
20171219,576.60,576.60,576.60,576.60,-,0.10
20171218,576.04,576.04,576.04,576.04,-,0.09
20171217,575.51,575.51,575.51,575.51,-,1.13
20171214,569.07,569.07,569.07,569.07,-,0.33
20171213,567.20,567.20,567.20,567.20,-,0.09
20171212,566.70,566.70,566.70,566.70,-,0.31
20171211,564.97,564.97,564.97,564.97,-,0.46
20171207,562.39,562.39,562.39,562.39,-,0.46
20171206,559.80,559.80,559.80,559.80,-,-0.09
20171205,560.32,560.32,560.32,560.32,-,-0.03
20171204,560.49,560.49,560.49,560.49,-,-1.51
20171203,569.06,569.06,569.06,569.06,-,-0.44
20171129,571.55,571.55,571.55,571.55,-,0.04
20171128,571.32,571.32,571.32,571.32,-,1.67
20171127,561.96,561.96,561.96,561.96,-,0.38
20171126,559.86,559.86,559.86,559.86,-,-0.87
20171123,564.80,564.80,564.80,564.80,-,-0.64
20171122,568.43,568.43,568.43,568.43,-,-0.85
20171121,573.28,573.28,573.28,573.28,-,-1.07
20171120,579.46,579.46,579.46,579.46,-,1.49
20171119,570.98,570.98,570.98,570.98,-,2.13
20171116,559.06,559.06,559.06,559.06,-,-0.90
20171115,564.16,564.16,564.16,564.16,-,0.96
20171114,558.78,558.78,558.78,558.78,-,1.37
20171113,551.24,551.24,551.24,551.24,-,-0.91
20171112,556.30,556.30,556.30,556.30,-,0.13
20171109,555.60,555.62,555.62,555.60,-,-0.00
20171108,555.62,555.62,555.62,555.62,-,-0.12
20171107,556.26,556.26,556.26,556.26,-,-1.40
20171106,564.13,564.13,564.13,564.13,-,-0.17
20171105,565.07,565.07,565.07,565.07,-,-0.11
20171102,565.72,565.72,565.72,565.72,-,0.29
20171101,564.08,564.08,564.08,564.08,-,-0.36
20171031,566.14,566.14,566.14,566.14,-,0.67
20171030,562.39,562.39,562.39,562.39,-,0.09
20171029,561.88,561.88,561.88,561.88,-,-0.03
20171026,562.03,562.03,562.03,562.03,-,0.15
20171025,561.21,561.21,561.21,561.21,-,0.74
20171024,557.11,557.11,557.11,557.11,-,-0.74
20171023,561.25,561.25,561.25,561.25,-,-1.89
20171022,572.05,572.05,572.05,572.05,-,-0.49
20171019,574.89,574.89,574.89,574.89,-,-0.12
20171018,575.57,575.57,575.57,575.57,-,-1.75
20171017,585.83,585.83,585.83,585.83,-,0.64
20171016,582.13,582.13,582.13,582.13,-,-1.29
20171015,589.75,589.75,589.75,589.75,-,-0.30
20171012,591.54,589.04,591.54,589.04,-,0.42
20171011,589.04,589.04,589.04,589.04,-,0.71
20171010,584.91,584.91,584.91,584.91,-,0.84
20171009,580.04,580.04,580.04,580.04,-,0.00
20171008,580.04,580.04,580.04,580.04,-,-0.62
20171005,583.68,583.68,583.68,583.68,-,-0.25
20171004,585.12,586.76,586.76,585.12,-,-0.28
20171003,586.76,586.76,586.76,586.76,-,-0.27
20171002,588.36,588.36,588.36,588.36,-,0.40
20170927,586.03,586.03,586.03,586.03,-,-0.27
20170926,587.60,587.60,587.60,587.60,-,0.30
20170925,585.84,585.84,585.84,585.84,-,0.32
20170924,583.96,583.96,583.96,583.96,-,-0.39
20170920,586.27,581.33,586.27,581.33,-,0.85
20170919,581.33,581.33,581.33,581.33,-,-0.39
20170917,583.61,583.61,583.61,583.61,-,0.00
20170914,583.61,583.61,583.61,583.61,-,-0.32
20170913,585.47,585.47,585.47,585.47,-,1.25
20170912,578.24,578.24,578.24,578.24,-,0.23
20170911,576.89,576.89,576.89,576.89,-,-0.35
20170910,578.90,578.90,578.90,578.90,-,0.38
20170907,576.71,576.71,576.71,576.71,-,0.28
20170906,575.12,575.12,575.12,575.12,-,-0.25
20170831,576.58,576.58,576.58,576.58,-,0.36
20170830,574.51,574.51,574.51,574.51,-,0.84
20170829,569.73,569.73,569.73,569.73,-,0.05
20170828,569.47,569.47,569.47,569.47,-,0.14
20170827,568.67,568.67,568.67,568.67,-,-0.57
20170824,571.93,571.93,571.93,571.93,-,-0.57
20170823,575.20,575.20,575.20,575.20,-,-0.25
20170822,576.66,576.66,576.66,576.66,-,-0.30
20170821,578.40,578.40,578.40,578.40,-,1.30
20170820,570.98,570.98,570.98,570.98,-,-0.84
20170817,575.84,575.84,575.84,575.84,-,-0.33
20170816,577.77,578.55,578.55,577.77,-,-0.13
20170815,578.55,578.55,578.55,578.55,-,-0.28
20170814,580.15,580.15,580.15,580.15,-,-0.19
20170813,581.25,581.25,581.25,581.25,-,0.02
20170809,581.11,581.11,581.11,581.11,-,0.05
20170808,580.84,580.84,580.84,580.84,-,0.03
20170807,580.64,580.64,580.64,580.64,-,0.46
20170806,577.98,577.98,577.98,577.98,-,0.14
20170803,577.16,577.16,577.16,577.16,-,-0.53
20170802,580.23,580.23,580.23,580.23,-,-0.14
20170801,581.04,575.61,581.04,575.61,-,0.94
20170731,575.61,575.61,575.61,575.61,-,1.32
20170730,568.09,568.09,568.09,568.09,-,0.16
20170727,567.20,567.20,567.20,567.20,-,0.20
20170726,566.07,566.07,566.07,566.07,-,1.53
20170725,557.54,557.54,557.54,557.54,-,0.04
20170724,557.30,557.30,557.30,557.30,-,-0.15
20170723,558.16,564.98,564.98,558.16,-,-1.21
20170720,564.98,574.08,574.08,564.98,-,-1.59
20170719,574.08,574.08,574.08,574.08,-,0.44
20170718,571.59,571.59,571.59,571.59,-,1.54
20170717,562.91,562.91,562.91,562.91,-,-0.23
20170716,564.19,564.19,564.19,564.19,-,-1.07
20170713,570.27,570.27,570.27,570.27,-,-0.31
20170712,572.04,577.01,577.01,572.04,-,-0.86
20170710,577.01,577.01,577.01,577.01,-,-0.63
20170709,580.64,580.64,580.64,580.64,-,0.54
20170706,577.52,577.52,577.52,577.52,-,-0.13
20170705,578.30,578.30,578.30,578.30,-,-0.94
20170704,583.76,583.76,583.76,583.76,-,-0.56
20170703,587.07,587.07,587.07,587.07,-,1.03
20170702,581.07,581.07,581.07,581.07,-,0.86
20170622,576.11,576.11,576.11,576.11,-,-0.16
20170621,577.02,578.66,578.66,577.02,-,-0.28
20170620,578.66,578.66,578.66,578.66,-,-1.08
20170619,584.98,584.98,584.98,584.98,-,-1.00
20170618,590.90,590.90,590.90,590.90,-,11.66
20170615,529.19,529.19,529.19,529.19,-,-11.82
20170614,600.14,600.14,600.14,600.14,-,-1.00
20170613,606.20,606.20,606.20,606.20,-,0.39
20170612,603.85,603.85,603.85,603.85,-,0.16
20170611,602.86,602.86,602.86,602.86,-,0.16
20170608,601.89,601.89,601.89,601.89,-,0.25
20170607,600.39,601.30,601.30,600.39,-,-0.15
20170606,601.30,601.30,601.30,601.30,-,0.03
20170605,601.12,601.12,601.12,601.12,-,0.04
20170604,600.87,600.87,600.87,600.87,-,1.44
20170601,592.33,592.33,592.33,592.33,-,0.15
