fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,23801.55,23897.87,23960.29,23774.49,-,-0.23
20180126,23856.99,23725.25,23874.85,23697.62,321.22,0.58
20180125,23719.81,23616.13,23818.28,23600.06,432.02,0.41
20180124,23622.62,23815.53,23882.88,23622.62,360.23,-0.90
20180123,23836.60,23985.42,24050.15,23787.32,374.39,-0.22
20180122,23890.18,23671.55,23896.47,23629.83,391.84,0.59
20180119,23749.22,23627.80,23866.60,23602.68,413.34,0.50
20180118,23630.81,23579.52,23630.81,23438.84,385.68,0.49
20180117,23514.67,23369.56,23555.47,23355.85,375.46,0.08
20180116,23495.28,23537.57,23697.72,23443.46,379.73,-0.21
20180115,23543.55,23458.65,23604.24,23331.58,295.07,0.49
20180112,23429.83,23427.89,23474.51,23343.76,375.75,0.53
20180111,23305.26,23155.98,23323.21,23130.13,452.32,0.64
20180110,23157.42,22979.12,23172.81,22955.64,538.24,0.66
20180109,23004.98,22850.49,23055.53,22840.12,329.09,0.70
20180108,22845.69,22867.80,22898.76,22704.78,350.56,0.37
20180105,22762.29,22547.94,22762.29,22534.22,329.61,1.11
20180104,22512.13,22012.10,22572.52,22011.59,427.24,2.77
20180103,21904.56,21890.45,21941.65,21719.07,314.80,0.27
20180102,21845.16,21898.69,21942.17,21613.89,327.25,-0.04
20171229,21853.34,22144.09,22154.40,21833.80,255.00,-1.21
20171228,22120.95,22187.70,22229.61,22099.54,240.28,-0.36
20171227,22201.27,22257.06,22295.18,22121.33,227.93,-0.04
20171222,22209.05,22166.42,22248.74,22115.62,235.38,-0.14
20171221,22240.25,22112.46,22251.07,21999.89,336.19,0.59
20171220,22109.65,22334.86,22354.10,22088.86,319.54,-0.74
20171219,22274.97,22382.07,22454.63,22253.84,352.75,-0.52
20171218,22390.53,22224.73,22403.11,22206.66,368.40,1.34
20171215,22094.04,22080.02,22210.52,21993.88,607.07,-0.44
20171214,22191.74,22361.20,22487.01,22191.74,473.13,-0.93
20171213,22400.19,22695.21,22752.13,22400.19,528.82,-1.44
20171212,22727.32,22725.33,22767.19,22610.74,419.42,0.16
20171211,22690.98,22798.06,22838.32,22684.39,366.16,-0.36
20171208,22773.80,22571.33,22797.83,22570.73,431.13,1.40
20171207,22459.51,22355.73,22459.51,22317.50,383.44,0.68
20171206,22307.28,22235.93,22371.19,22204.99,441.00,-0.49
20171205,22416.31,22374.32,22482.07,22261.00,337.45,0.24
20171204,22362.11,22351.85,22421.51,22270.94,334.95,1.16
20171201,22106.10,22396.59,22409.20,22060.48,419.43,-1.17
20171130,22368.29,22361.40,22558.48,22320.96,591.98,0.19
20171129,22325.94,22403.46,22508.61,22274.88,400.34,0.15
20171128,22291.77,22223.27,22301.32,22194.88,295.92,0.52
20171127,22176.70,22389.04,22493.12,22176.70,329.36,-1.07
