fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,23629.34,23707.14,23787.23,23580.17,708.86,-0.01
20180126,23631.88,23757.34,23797.96,23592.28,898.74,-0.16
20180125,23669.49,23750.65,23828.40,23649.03,840.06,-1.13
20180124,23940.78,24026.43,24072.77,23917.14,824.27,-0.76
20180123,24124.15,23924.40,24129.34,23916.02,757.50,1.29
20180122,23816.33,23797.84,23816.33,23697.81,671.64,0.03
20180119,23808.06,23854.11,23872.69,23735.61,740.33,0.19
20180118,23763.37,24078.93,24084.42,23699.47,1.03b,-0.44
20180117,23868.34,23783.42,23891.63,23739.17,847.43,-0.35
20180116,23951.81,23721.17,23962.07,23701.83,706.43,1.00
20180115,23714.88,23827.98,23833.27,23685.02,776.95,0.26
20180112,23653.82,23719.66,23743.05,23588.07,966.08,-0.24
20180111,23710.43,23656.39,23734.97,23601.84,862.80,-0.33
20180110,23788.20,23832.81,23864.76,23755.45,914.88,-0.26
20180109,23849.99,23948.97,23952.61,23789.03,970.17,0.57
20180105,23714.53,23643.00,23730.47,23520.52,1.05b,0.89
20180104,23506.33,23073.73,23506.33,23065.20,1.05b,3.26
20171229,22764.94,22831.49,22881.21,22753.20,478.72,-0.08
20171228,22783.98,22912.05,22954.45,22736.43,519.04,-0.56
20171227,22911.21,22854.39,22936.16,22854.39,487.44,0.08
20171226,22892.69,22922.95,22950.15,22877.63,477.84,-0.20
20171225,22939.18,22909.41,22948.83,22870.19,444.48,0.16
20171222,22902.76,22850.73,22908.84,22801.16,802.25,0.16
20171221,22866.10,22852.01,22894.95,22728.06,753.33,-0.11
20171220,22891.72,22834.93,22923.50,22806.73,952.70,0.10
20171219,22868.00,22961.47,22990.42,22862.82,726.76,-0.15
20171218,22901.77,22770.44,22927.50,22735.20,878.11,1.55
20171215,22553.22,22621.36,22745.09,22478.32,1.03b,-0.62
20171214,22694.45,22699.30,22786.61,22638.76,876.58,-0.28
20171213,22758.07,22879.27,22879.37,22697.32,941.92,-0.47
20171212,22866.17,22936.41,22994.33,22834.89,888.24,-0.32
20171211,22938.73,22894.30,22938.73,22787.40,716.03,0.56
20171208,22811.08,22627.95,22819.71,22625.41,1.10b,1.39
20171207,22498.03,22317.15,22515.24,22317.15,820.30,1.45
20171206,22177.04,22525.38,22528.21,22119.21,1.00b,-1.97
20171205,22622.38,22595.33,22682.71,22522.28,781.76,-0.37
20171204,22707.16,22843.53,22864.33,22693.99,710.49,-0.49
20171201,22819.03,22916.93,22994.31,22675.07,924.74,0.41
20171130,22724.96,22601.83,22748.32,22502.68,1.45b,0.57
20171129,22597.20,22613.96,22643.93,22537.12,935.38,0.49
20171128,22486.24,22474.74,22580.99,22363.94,791.60,-0.04
20171127,22495.99,22657.08,22659.33,22423.40,687.22,-0.24
20171124,22550.85,22390.14,22567.20,22381.01,667.53,0.12
20171122,22523.15,22601.55,22677.34,22513.44,835.59,0.48
20171121,22416.48,22456.79,22563.25,22416.48,785.02,0.70
20171120,22261.76,22279.98,22410.24,22215.07,738.96,-0.60
20171117,22396.80,22603.30,22757.40,22319.12,1.17b,0.20
20171116,22351.12,21975.23,22392.13,21972.34,995.95,1.47
20171115,22028.32,22250.98,22305.24,22004.79,1.24b,-1.57
20171114,22380.01,22342.93,22532.30,22323.24,989.45,-0.00
20171113,22380.99,22607.56,22607.92,22380.99,831.86,-1.32
20171110,22681.42,22580.70,22724.39,22511.93,1.10b,-0.82
20171109,22868.71,22989.44,23382.15,22522.83,1.65b,-0.20
20171108,22913.82,22849.91,22922.80,22759.07,1.03b,-0.10
20171107,22937.60,22518.75,22953.18,22512.91,1.11b,1.73
20171106,22548.35,22612.96,22644.68,22435.34,1.15b,0.04
20171102,22539.12,22512.18,22540.25,22400.01,1.09b,0.53
20171101,22420.08,22144.92,22455.92,22130.03,1.16b,1.86
20171031,22011.61,21897.29,22020.38,21840.07,1.06b,-0.00
20171030,22011.67,22047.95,22086.88,21921.24,1.40b,-0.20
20171029,22055.00,22055.00,22057.50,22055.00,-,0.21
20171027,22008.45,21903.27,22016.50,21815.72,1.24b,1.24
20171026,21739.78,21698.95,21793.62,21688.56,851.78,0.15
20171025,21707.62,21900.13,21921.36,21648.35,1.26b,-0.45
20171024,21805.17,21670.00,21805.17,21646.52,909.35,0.50
20171023,21696.65,21709.30,21723.60,21614.51,901.47,-0.19
20171022,21737.50,21740.00,21742.50,21737.50,-,1.30
20171020,21457.64,21390.95,21489.26,21363.10,883.84,0.04
20171019,21448.52,21450.04,21503.85,21381.52,872.21,0.40
20171018,21363.05,21374.66,21402.76,21317.67,749.50,0.13
20171017,21336.12,21352.17,21393.96,21230.67,953.06,0.38
20171016,21255.56,21221.27,21347.07,21187.93,1.06b,0.10
20171015,21235.00,21237.50,21237.50,21235.00,-,0.38
20171013,21155.18,20959.66,21211.29,20933.00,1.14b,0.96
20171012,20954.72,20958.18,20994.40,20917.04,828.76,0.35
20171011,20881.27,20803.71,20898.41,20788.12,826.59,0.28
20171010,20823.51,20680.54,20823.66,20663.08,807.15,0.64
20171006,20690.71,20716.85,20721.15,20659.15,781.86,0.30
20171005,20628.56,20650.71,20667.47,20602.26,590.57,0.01
20171004,20626.66,20660.81,20689.08,20592.18,758.47,0.06
20171003,20614.07,20475.25,20628.38,20438.17,749.77,1.05
20171002,20400.78,20400.51,20411.33,20363.28,697.04,0.02
20171001,20397.50,20387.50,20397.50,20387.50,-,0.20
20170929,20356.28,20315.34,20370.33,20285.06,876.67,-0.03
20170928,20363.11,20398.63,20399.87,20299.68,865.99,0.47
20170927,20267.05,20269.82,20278.09,20213.66,655.94,-0.31
20170926,20330.19,20349.26,20385.50,20303.98,978.61,-0.33
20170925,20397.58,20439.43,20454.29,20367.03,854.46,-0.15
20170924,20427.50,20427.50,20427.50,20425.00,-,0.65
20170922,20296.45,20413.61,20417.07,20249.24,984.15,-0.25
20170921,20347.48,20456.50,20481.27,20332.69,1.19b,0.18
20170920,20310.46,20301.33,20339.37,20272.82,1.04b,0.05
20170919,20299.38,20128.18,20320.78,20122.00,1.25b,0.86
20170918,20126.00,20129.00,20129.00,20126.00,-,1.09
20170915,19909.50,19793.80,19933.40,19787.65,1.15b,0.52
20170914,19807.44,19860.37,19918.39,19793.85,966.18,-0.29
20170913,19865.82,19873.69,19888.84,19845.02,871.09,0.45
20170912,19776.62,19736.14,19792.06,19718.80,926.53,1.18
20170911,19545.77,19441.39,19567.03,19437.14,811.39,0.57
