fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,284426.81,284426.81,284426.81,284426.81,3.32,-0.01
20180126,284460.41,284460.41,284460.41,284460.41,2.64,-0.50
20180125,285883.41,285883.41,285883.41,285883.41,-,0.30
20180124,285018.00,285018.00,285018.00,285018.00,2.07,-0.58
20180123,286675.19,286675.19,286675.19,286675.19,3.56,2.18
20180122,280564.19,280564.19,280564.19,280564.19,8.07,-1.22
20180119,284016.31,284016.31,284016.31,284016.31,5.85,-0.01
20180118,284040.31,284040.31,284040.31,284040.31,4.62,0.54
20180117,282508.41,282508.41,282508.41,282508.41,3.01,-0.43
20180116,283728.91,283728.91,283728.91,283728.91,2.72,-0.24
20180115,284413.81,284413.81,284413.81,284413.81,3.23,0.60
20180112,282716.00,282716.00,282716.00,282716.00,3.15,-0.80
20180111,285003.50,285003.50,285003.50,285003.50,5.11,-0.74
20180110,287128.31,287128.31,287128.31,287128.31,4.27,0.24
20180109,286435.31,286435.31,286435.31,286435.31,9.41,-0.02
20180108,286504.19,286504.19,286504.19,286504.19,7.42,-0.58
20180105,288187.59,288187.59,288187.59,288187.59,8.66,-0.18
20180104,288720.69,288720.69,288720.69,288720.69,19.25,-0.02
20180103,288784.69,288784.69,288784.69,288784.69,9.36,-0.06
20180102,288949.19,288949.19,288949.19,288949.19,11.23,0.20
20171229,288382.00,288382.00,288382.00,288382.00,10.21,1.38
20171228,284454.69,284454.69,284454.69,284454.69,4.65,0.76
20171227,282295.31,282295.31,282295.31,282295.31,1.32,0.11
20171222,281979.50,281979.50,281979.50,281979.50,-,1.48
20171221,277858.41,277858.41,277858.41,277858.41,-,-0.69
20171220,279798.69,279798.69,279798.69,279798.69,1.81,0.63
20171219,278040.41,278040.41,278040.41,278040.41,2.31,0.21
20171218,277465.00,277465.00,277465.00,277465.00,8.45,-0.08
20171215,277681.91,277681.91,277681.91,277681.91,52.43,0.27
20171214,276930.41,276930.41,276930.41,276930.41,3.83,-0.53
20171213,278401.41,278401.41,278401.41,278401.41,868.06k,0.98
20171212,275710.09,275710.09,275710.09,275710.09,1.75,0.33
20171211,274790.00,274790.00,274790.00,274790.00,3.39,-0.85
20171208,277159.19,277159.19,277159.19,277159.19,581.43k,0.20
20171207,276608.41,276608.41,276608.41,276608.41,714.98k,-0.31
20171206,277480.09,277480.09,277480.09,277480.09,9.89,0.57
20171205,275920.59,275920.59,275920.59,275920.59,2.99,-0.35
20171204,276888.59,276888.59,276888.59,276888.59,5.04,0.51
20171201,275483.69,275483.69,275483.69,275483.69,2.77,0.10
20171130,275202.09,275202.09,275202.09,275202.09,5.20,-0.67
20171129,277055.31,277055.31,277055.31,277055.31,13.18,-0.53
20171128,278536.50,278536.50,278536.50,278536.50,3.57,-0.29
20171127,279355.31,279355.31,279355.31,279355.31,19.19,-0.98
20171124,282114.09,282114.09,282114.09,282114.09,10.39,-0.68
20171123,284055.59,284055.59,284055.59,284055.59,4.35,-1.34
20171117,287901.50,287901.50,287901.50,287901.50,6.56,0.77
20171116,285693.00,285693.00,285693.00,285693.00,3.76,-1.09
20171115,288853.50,288853.50,288853.50,288853.50,8.13,-0.72
20171114,290958.19,290958.19,290958.19,290958.19,17.40,-0.57
20171113,292628.69,292628.69,292628.69,292628.69,13.89,0.14
20171110,292220.69,292220.69,292220.69,292220.69,5.78,0.03
20171109,292127.31,292127.31,292127.31,292127.31,2.57,0.05
20171108,291975.69,291975.69,291975.69,291975.69,6.10,-0.11
20171107,292290.41,292290.41,292290.41,292290.41,8.83,0.62
20171106,290493.00,290493.00,290493.00,290493.00,894.42k,-0.41
20171103,291690.31,291690.31,291690.31,291690.31,4.12,-0.45
20171102,293005.09,293005.09,293005.09,293005.09,7.36,0.77
20171101,290767.50,290767.50,290767.50,290767.50,2.93,-0.73
20171031,292895.09,292895.09,292895.09,292895.09,7.57,-0.66
