fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,44457.30,44724.44,44848.79,44340.22,87.13k,-0.21
20180126,44551.13,44825.78,44825.78,44196.57,131.05k,-0.59
20180125,44816.71,45063.21,45179.00,44729.81,101.41k,-0.55
20180124,45063.21,45037.35,45494.52,44781.83,173.35k,0.35
20180123,44907.20,44897.69,44970.78,44465.31,113.42k,0.02
20180122,44897.69,44225.24,44951.21,44121.97,135.80k,1.63
20180119,44178.83,43647.33,44203.13,43609.16,97.36k,1.37
20180118,43580.88,43626.06,44004.13,43192.75,124.53k,0.51
20180117,43358.97,42936.43,43386.27,42874.39,64.03k,0.98
20180116,42939.68,42358.99,43142.59,42324.27,73.61k,1.40
20180115,42347.49,42891.16,42897.82,42270.38,55.75k,-1.37
20180112,42933.72,43426.86,43436.20,42754.30,108.96k,-1.06
20180111,43395.28,43693.60,43824.02,43140.94,163.18k,-0.54
20180110,43630.74,42888.33,43659.45,42881.88,143.75k,1.91
20180109,42814.34,43188.71,43251.40,42566.51,118.67k,-0.69
20180108,43112.12,42634.49,43256.57,42634.49,125.69k,1.38
20180105,42523.99,41876.62,42584.96,41821.85,109.96k,1.47
20180104,41908.71,41600.40,41995.66,41600.40,127.65k,0.88
20180103,41544.27,41539.93,41819.75,41289.17,150.64k,0.14
20180102,41486.87,40676.19,41566.76,40534.79,137.61k,1.91
20180101,40711.04,40470.44,40815.96,40169.62,51.41k,0.59
20171229,40471.48,40400.82,40644.74,40271.18,126.86k,0.25
20171228,40371.31,40235.08,40463.66,40031.34,94.20k,0.56
20171227,40146.73,39614.37,40160.47,39614.37,107.27k,1.57
20171226,39525.75,39524.24,39719.13,39293.37,89.19k,0.25
20171222,39428.21,38770.46,39525.21,38710.53,98.50k,1.84
20171221,38715.77,38216.76,38793.99,38014.84,81.30k,1.33
20171220,38208.06,37963.09,38323.55,37842.52,74.98k,0.76
20171219,37919.42,38418.88,38443.12,37768.25,55.91k,-1.21
20171218,38383.97,38660.09,38703.15,38337.37,25.41k,-0.68
20171215,38645.90,38214.21,38919.03,38192.70,94.86k,1.10
20171214,38223.55,38825.74,38825.74,38126.85,54.16k,-1.54
20171213,38819.65,38588.04,38884.89,38527.62,70.08k,0.76
20171212,38525.11,38504.71,38620.66,37736.73,107.74k,0.11
20171211,38481.70,39059.48,39437.43,38374.73,57.16k,-1.53
20171208,39080.00,38645.26,39339.65,38431.78,80.65k,0.76
20171207,38784.66,39880.82,39880.82,38769.09,71.11k,-2.81
20171206,39907.32,39960.06,40062.62,39825.23,49.27k,-0.10
20171205,39945.41,40072.17,40084.97,39892.34,67.87k,-0.26
20171204,40049.80,40048.76,40131.37,39931.52,47.29k,0.10
20171130,40010.36,39706.17,40091.48,39702.84,126.12k,0.85
20171129,39672.89,39647.23,39760.50,39462.71,73.09k,0.10
20171128,39634.13,40060.49,40125.75,39564.27,68.94k,-0.99
20171127,40032.17,40152.72,40152.72,39932.93,74.32k,-0.54
20171124,40248.41,40276.63,40368.35,40082.70,61.54k,-0.04
20171123,40266.21,40626.00,40712.65,40136.86,43.66k,-0.80
20171122,40591.87,40643.09,40741.91,40465.52,117.58k,0.11
20171121,40548.83,40353.11,40603.55,40271.53,43.46k,0.58
20171120,40316.93,40843.94,40923.09,40260.05,44.35k,-1.29
20171117,40844.40,40832.14,40910.17,40637.15,58.02k,0.08
20171116,40813.31,40705.44,40886.03,40686.62,51.54k,0.37
20171115,40662.79,40814.42,40904.35,40585.54,47.87k,-0.69
20171114,40943.78,41202.55,41316.74,40899.50,57.49k,-0.72
20171113,41239.89,41435.70,41435.70,41141.85,34.17k,-0.47
20171110,41435.70,41836.35,41836.35,41390.81,54.44k,-0.85
20171109,41790.16,41403.17,41851.33,41390.34,78.83k,1.29
20171108,41259.16,41037.59,41293.80,40970.62,57.22k,0.51
20171107,41049.22,41120.12,41262.45,41003.05,53.27k,0.04
20171106,41030.77,41160.67,41232.17,40928.27,45.75k,-0.08
20171103,41064.00,40506.92,41115.50,40453.03,60.90k,1.40
20171102,40498.87,40508.89,40842.25,40353.48,66.96k,0.11
20171101,40453.64,39662.80,40558.97,39660.13,63.51k,2.11
20171031,39617.19,40302.72,40307.98,39557.12,93.50k,-1.75
20171030,40324.32,41168.19,41173.38,40258.58,53.20k,-1.90
20171027,41105.40,41412.68,41420.05,40903.70,79.49k,-0.73
20171026,41409.49,41637.09,41745.76,41355.45,65.90k,-0.45
20171025,41595.32,41305.30,41626.86,41294.95,48.11k,0.74
20171024,41291.68,41446.60,41457.26,40913.93,64.94k,-0.46
