fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2367.84,2360.46,2381.36,2351.79,2.11b,0.31
20180126,2360.46,2321.13,2366.35,2296.84,2.10b,1.89
20180125,2316.72,2332.64,2340.80,2312.68,2.13b,-0.68
20180124,2332.64,2344.36,2344.36,2320.08,2.14b,-0.44
20180123,2342.92,2356.14,2366.41,2306.69,2.13b,-0.47
20180122,2353.93,2316.73,2353.93,2316.28,2.13b,1.51
20180119,2318.88,2343.94,2357.32,2318.88,2.13b,-1.07
20180118,2343.94,2337.35,2350.58,2332.35,2.14b,0.28
20180117,2337.35,2357.14,2368.55,2329.14,2.13b,-0.56
20180116,2350.53,2360.21,2386.94,2349.86,2.10b,-0.26
20180115,2356.61,2306.74,2367.44,2304.59,2.11b,2.23
20180112,2305.30,2289.82,2319.50,2287.35,2.13b,0.68
20180111,2289.82,2265.28,2307.09,2254.85,2.14b,1.08
20180110,2265.28,2247.98,2273.13,2235.25,2.11b,0.95
20180109,2243.90,2215.74,2243.90,2201.73,2.14b,1.40
20180108,2212.94,2203.25,2217.53,2197.07,2.13b,0.44
20180105,2203.23,2186.14,2207.44,2179.13,2.13b,0.78
20180104,2186.15,2164.93,2191.05,2158.61,2.14b,1.00
20180103,2164.47,2171.66,2182.56,2154.62,2.13b,0.08
20171229,2162.69,2136.24,2187.27,2136.24,2.13b,1.24
20171228,2136.24,2148.31,2158.55,2136.24,1.70b,-0.56
20171227,2148.31,2148.00,2151.36,2139.30,2.15b,0.17
20171226,2144.63,2130.53,2148.02,2127.80,2.13b,0.62
20171225,2131.50,2126.48,2133.31,2123.43,2.13b,0.33
20171222,2124.48,2123.47,2137.23,2119.46,2.11b,0.05
20171221,2123.34,2112.37,2138.30,2110.13,2.13b,0.52
20171220,2112.29,2117.77,2118.23,2094.23,2.11b,-0.25
20171215,2117.51,2118.26,2122.91,2107.80,2.14b,-0.04
20171214,2118.26,2110.35,2120.18,2106.53,2.15b,0.37
20171213,2110.35,2127.71,2131.99,2109.73,2.14b,-0.82
20171212,2127.71,2128.51,2130.79,2106.91,2.12b,0.11
20171211,2125.28,2128.90,2137.87,2107.33,2.12b,-0.07
20171208,2126.86,2101.00,2129.60,2084.79,2.14b,1.25
20171207,2100.52,2103.87,2111.17,2090.57,2.13b,-0.27
20171206,2106.23,2107.52,2112.86,2084.64,2.14b,-0.06
20171205,2107.52,2110.60,2112.32,2091.67,2.13b,0.04
20171204,2106.68,2057.28,2137.99,2056.53,2.13b,2.40
20171130,2057.28,2083.97,2091.78,2057.28,2.12b,-1.21
20171129,2082.56,2075.97,2130.80,2071.08,2.12b,0.35
