fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,3739.69,3739.69,3739.69,3739.69,-,0.31
20180126,3728.15,3728.15,3728.15,3728.15,-,0.48
20180125,3710.16,3710.16,3710.16,3710.16,-,-0.08
20180124,3713.19,3713.19,3713.19,3713.19,-,-0.85
20180123,3745.01,3745.01,3745.01,3745.01,-,0.09
20180122,3741.80,3741.80,3741.80,3741.80,-,0.12
20180119,3737.17,3737.17,3737.17,3737.17,-,0.84
20180118,3705.97,3705.97,3705.97,3705.97,-,0.21
20180117,3698.18,3698.18,3698.18,3698.18,-,-0.35
20180116,3711.23,3711.23,3711.23,3711.23,-,0.20
20180115,3703.76,3703.76,3703.76,3703.76,-,-0.13
20180112,3708.75,3708.75,3708.75,3708.75,-,-0.30
20180111,3719.77,3719.77,3719.77,3719.77,-,-0.03
20180110,3721.07,3721.07,3721.07,3721.07,-,-0.20
20180109,3728.51,3728.51,3728.51,3728.51,-,0.56
20180108,3707.66,3707.66,3707.66,3707.66,-,-0.15
20180105,3713.41,3713.41,3713.41,3713.41,-,0.32
20180104,3701.57,3701.57,3701.57,3701.57,-,0.68
20180103,3676.48,3676.48,3676.48,3676.48,-,-0.76
20180102,3704.51,3704.51,3704.51,3704.51,-,-0.20
20171229,3711.94,3711.94,3711.94,3711.94,-,0.01
20171228,3711.64,3711.64,3711.64,3711.64,-,-0.07
20171227,3714.15,3714.15,3714.15,3714.15,-,-0.14
20171222,3719.38,3719.38,3719.38,3719.38,-,0.65
20171221,3695.41,3695.41,3695.41,3695.41,-,-0.02
20171220,3696.15,3696.15,3696.15,3696.15,-,0.00
20171219,3696.13,3696.13,3696.13,3696.13,-,0.15
20171218,3690.50,3690.50,3690.50,3690.50,-,-0.47
20171215,3707.76,3707.76,3707.76,3707.76,-,0.04
20171214,3706.37,3706.37,3706.37,3706.37,-,-0.12
20171213,3710.83,3710.83,3710.83,3710.83,-,-0.56
20171211,3731.79,3731.79,3731.79,3731.79,-,-0.50
20171208,3750.53,3750.53,3750.53,3750.53,-,-0.04
20171207,3752.17,3752.17,3752.17,3752.17,-,0.03
20171206,3751.10,3751.10,3751.10,3751.10,-,-0.48
20171205,3769.34,3769.34,3769.34,3769.34,-,-0.91
20171204,3803.78,3803.78,3803.78,3803.78,-,-0.31
20171201,3815.61,3815.61,3815.61,3815.61,-,0.29
20171130,3804.69,3804.69,3804.69,3804.69,-,-0.54
20171129,3825.47,3825.47,3825.47,3825.47,-,0.12
20171127,3820.74,3820.74,3820.74,3820.74,-,-0.32
20171124,3833.00,3833.00,3833.00,3833.00,-,0.16
20171123,3826.76,3826.76,3826.76,3826.76,-,-0.33
20171122,3839.46,3839.46,3839.46,3839.46,-,0.57
20171121,3817.77,3817.77,3817.77,3817.77,-,1.02
20171120,3779.16,3779.16,3779.16,3779.16,-,1.31
20171117,3730.15,3730.15,3730.15,3730.15,-,-0.35
20171116,3743.10,3743.10,3743.10,3743.10,-,0.40
20171115,3728.16,3728.16,3728.16,3728.16,-,0.24
20171114,3719.17,3719.17,3719.17,3719.17,-,-0.73
20171113,3746.69,3746.69,3746.69,3746.69,-,-0.15
20171110,3752.15,3752.15,3752.15,3752.15,-,-0.26
20171109,3762.11,3762.11,3762.11,3762.11,-,-0.17
20171108,3768.38,3768.38,3768.38,3768.38,-,-0.54
20171107,3788.84,3788.84,3788.84,3788.84,-,-0.24
20171106,3797.96,3797.96,3797.96,3797.96,-,-0.06
20171103,3800.43,3800.43,3800.43,3800.43,-,0.62
20171102,3776.83,3776.83,3776.83,3776.83,-,0.46
20171101,3759.67,3759.67,3759.67,3759.67,-,0.81
20171031,3729.62,3729.62,3729.62,3729.62,-,1.49
20171030,3674.84,3674.84,3674.84,3674.84,-,0.73
20171027,3648.31,3648.31,3648.31,3648.31,-,1.27
20171024,3602.56,3602.56,3602.56,3602.56,-,1.72
20171023,3541.56,3541.56,3541.56,3541.56,-,-0.07
20171019,3543.99,3543.99,3543.99,3543.99,-,-1.33
20171018,3591.62,3591.62,3591.62,3591.62,-,-0.17
20171017,3597.85,3597.85,3597.85,3597.85,-,-0.72
20171016,3623.76,3623.76,3623.76,3623.76,-,-0.08
20171013,3626.62,3626.62,3626.62,3626.62,-,-0.37
20171012,3640.14,3640.14,3640.14,3640.14,-,-0.13
20171011,3644.80,3644.80,3644.80,3644.80,-,-1.41
20171010,3696.77,3696.77,3696.77,3696.77,-,-0.42
20171009,3712.37,3712.37,3712.37,3712.37,-,0.52
20171006,3693.22,3693.22,3693.22,3693.22,-,-0.25
20171005,3702.51,3702.51,3702.51,3702.51,-,0.29
20171004,3691.87,3691.87,3691.87,3691.87,-,-1.08
20171003,3732.19,3732.19,3732.19,3732.19,-,0.00
20171002,3732.16,3732.16,3732.16,3732.16,-,-0.51
20170929,3751.46,3751.46,3751.46,3751.46,-,0.93
20170928,3716.72,3716.72,3716.72,3716.72,-,-0.35
20170927,3729.84,3729.84,3729.84,3729.84,-,-0.09
20170926,3733.04,3733.04,3733.04,3733.04,-,-0.46
20170925,3750.35,3750.35,3750.35,3750.35,-,-0.37
20170922,3764.44,3764.44,3764.44,3764.44,-,-0.33
20170921,3777.09,3777.09,3777.09,3777.09,-,-0.17
20170920,3783.69,3783.69,3783.69,3783.69,-,-0.03
20170919,3784.91,3784.91,3784.91,3784.91,-,0.11
20170918,3780.61,3780.61,3780.61,3780.61,-,-0.09
20170915,3783.98,3783.98,3783.98,3783.98,-,-0.78
20170914,3813.78,3813.78,3813.78,3813.78,-,0.22
20170913,3805.24,3805.24,3805.24,3805.24,-,-1.15
20170912,3849.45,3849.45,3849.45,3849.45,-,0.88
20170911,3815.71,3815.71,3815.71,3815.71,-,-0.63
20170908,3839.99,3839.99,3839.99,3839.99,-,0.91
20170907,3805.22,3805.22,3805.22,3805.22,-,0.48
20170906,3786.92,3786.92,3786.92,3786.92,-,0.45
20170905,3770.03,3770.03,3770.03,3770.03,-,-0.97
20170904,3806.80,3806.80,3806.80,3806.80,-,-2.07
20170901,3887.28,3887.28,3887.28,3887.28,-,-3.47
20170831,4027.12,4027.12,4027.12,4027.12,-,-0.29
20170830,4038.86,4038.86,4038.86,4038.86,-,-0.08
20170829,4042.08,4042.08,4042.08,4042.08,-,-1.15
20170828,4089.00,4089.00,4089.00,4089.00,-,0.49
20170825,4069.20,4069.20,4069.20,4069.20,-,0.41
20170824,4052.54,4052.54,4052.54,4052.54,-,0.60
20170823,4028.56,4028.56,4028.56,4028.56,-,0.37
20170822,4013.71,4013.71,4013.71,4013.71,-,0.15
20170821,4007.55,4007.55,4007.55,4007.55,-,0.37
20170818,3992.76,3992.76,3992.76,3992.76,-,-1.31
20170817,4045.89,4045.89,4045.89,4045.89,-,-0.58
20170816,4069.34,4069.34,4069.34,4069.34,-,-1.09
20170815,4114.01,4114.01,4114.01,4114.01,-,0.91
20170814,4076.94,4076.94,4076.94,4076.94,-,2.51
20170811,3976.98,3976.98,3976.98,3976.98,-,1.89
20170810,3903.29,3903.29,3903.29,3903.29,-,1.38
20170809,3850.13,3850.13,3850.13,3850.13,-,0.83
20170807,3818.27,3818.27,3818.27,3818.27,-,1.12
20170804,3775.89,3775.89,3775.89,3775.89,-,0.06
20170803,3773.52,3773.52,3773.52,3773.52,-,0.86
20170802,3741.46,3741.46,3741.46,3741.46,-,-0.03
20170801,3742.50,3742.50,3742.50,3742.50,-,-1.45
20170731,3797.53,3797.53,3797.53,3797.53,-,-0.03
20170728,3798.63,3798.63,3798.63,3798.63,-,0.90
20170727,3764.74,3764.74,3764.74,3764.74,-,-0.10
20170726,3768.38,3768.38,3768.38,3768.38,-,1.03
20170725,3729.81,3729.81,3729.81,3729.81,-,0.48
20170724,3712.13,3712.13,3712.13,3712.13,-,0.32
20170721,3700.44,3700.44,3700.44,3700.44,-,0.47
20170720,3683.24,3683.24,3683.24,3683.24,-,0.23
20170719,3674.96,3674.96,3674.96,3674.96,-,-0.12
20170718,3679.43,3679.43,3679.43,3679.43,-,0.57
20170717,3658.65,3658.65,3658.65,3658.65,-,0.43
20170714,3642.90,3642.90,3642.90,3642.90,-,-0.45
20170713,3659.28,3659.28,3659.28,3659.28,-,0.73
20170712,3632.82,3632.82,3632.82,3632.82,-,0.89
20170711,3600.60,3600.60,3600.60,3600.60,-,0.17
20170710,3594.41,3594.41,3594.41,3594.41,-,-0.27
20170707,3604.06,3604.06,3604.06,3604.06,-,0.66
20170706,3580.52,3580.52,3580.52,3580.52,-,0.33
20170705,3568.80,3568.80,3568.80,3568.80,-,0.23
20170704,3560.51,3560.51,3560.51,3560.51,-,-0.64
20170703,3583.41,3583.41,3583.41,3583.41,-,-0.66
20170630,3607.18,3607.18,3607.18,3607.18,-,0.30
20170629,3596.56,3596.56,3596.56,3596.56,-,-0.35
20170628,3609.21,3609.21,3609.21,3609.21,-,-0.20
20170627,3616.31,3616.31,3616.31,3616.31,-,-0.21
20170623,3623.83,3623.83,3623.83,3623.83,-,0.31
20170622,3612.55,3612.55,3612.55,3612.55,-,0.12
20170621,3608.15,3608.15,3608.15,3608.15,-,0.23
20170620,3600.01,3600.01,3600.01,3600.01,-,0.48
20170619,3582.76,3582.76,3582.76,3582.76,-,1.17
20170616,3541.35,3541.35,3541.35,3541.35,-,0.53
20170615,3522.79,3522.79,3522.79,3522.79,-,0.45
20170614,3506.90,3506.90,3506.90,3506.90,-,0.56
20170613,3487.45,3487.45,3487.45,3487.45,-,0.53
20170612,3469.08,3469.08,3469.08,3469.08,-,0.01
20170609,3468.68,3468.68,3468.68,3468.68,-,-0.18
20170608,3474.78,3474.78,3474.78,3474.78,-,0.05
20170607,3472.96,3472.96,3472.96,3472.96,-,0.45
20170606,3457.29,3457.29,3457.29,3457.29,-,-0.67
20170605,3480.78,3480.78,3480.78,3480.78,-,0.22
20170602,3473.19,3473.19,3473.19,3473.19,-,0.93
20170531,3441.05,3441.05,3441.05,3441.05,-,0.08
20170530,3438.17,3438.17,3438.17,3438.17,-,-0.00
20170529,3438.20,3438.20,3438.20,3438.20,-,-0.12
20170526,3442.38,3442.38,3442.38,3442.38,-,0.92
20170525,3410.89,3410.89,3410.89,3410.89,-,1.02
20170524,3376.58,3376.58,3376.58,3376.58,-,1.79
20170523,3317.16,3317.16,3317.16,3317.16,-,0.64
