fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2598.19,2588.87,2607.10,2587.55,437.47,0.91
20180126,2574.76,2560.69,2574.76,2553.53,400.65,0.49
20180125,2562.23,2536.96,2564.43,2536.73,514.60,0.95
20180124,2538.00,2533.86,2547.22,2531.31,371.09,0.06
20180123,2536.60,2510.35,2536.60,2507.96,370.01,1.38
20180122,2502.11,2516.90,2517.12,2488.44,342.99,-0.72
20180119,2520.26,2519.67,2524.33,2513.09,351.84,0.18
20180118,2515.81,2527.67,2532.08,2512.69,333.11,0.02
20180117,2515.43,2517.19,2521.97,2506.49,336.71,-0.25
20180116,2521.74,2504.16,2524.55,2498.55,341.61,0.72
20180115,2503.73,2510.97,2513.30,2496.18,404.55k,0.29
20180112,2496.42,2499.87,2500.87,2482.15,438.78k,0.34
20180111,2487.91,2496.86,2502.52,2483.82,444.34k,-0.47
20180110,2499.75,2516.33,2516.82,2493.98,444.02k,-0.42
20180109,2510.23,2510.73,2524.73,2498.41,374.32k,-0.12
20180108,2513.28,2510.70,2515.37,2494.18,311.43k,0.63
20180105,2497.52,2476.85,2497.52,2475.51,308.77k,1.26
20180104,2466.46,2502.50,2502.50,2466.45,333.84k,-0.80
20180103,2486.35,2484.63,2493.40,2481.91,331.09k,0.27
20180102,2479.65,2474.86,2481.02,2465.94,262.21k,0.49
20171228,2467.49,2439.31,2467.51,2437.26,220.34k,1.26
20171227,2436.67,2420.86,2436.68,2411.48,194.85k,0.38
20171226,2427.34,2447.67,2457.19,2427.34,224.64k,-0.54
20171222,2440.54,2437.59,2444.57,2426.94,230.41k,0.44
20171221,2429.83,2471.34,2471.73,2429.83,247.33k,-1.72
20171220,2472.37,2473.82,2484.50,2470.62,236.18k,-0.25
20171219,2478.53,2487.83,2498.67,2470.49,308.39k,-0.13
20171218,2481.88,2488.83,2488.83,2477.29,322.77k,-0.01
20171215,2482.07,2488.39,2495.08,2475.99,340.76k,0.51
20171214,2469.48,2486.57,2514.61,2469.48,317.79k,-0.45
20171213,2480.55,2462.42,2481.92,2457.70,254.95k,0.79
20171212,2461.00,2471.23,2471.43,2455.39,281.19k,-0.42
20171211,2471.49,2467.81,2471.99,2457.98,240.14k,0.30
20171208,2464.00,2470.09,2473.17,2459.02,406.38k,0.08
20171207,2461.98,2479.55,2480.85,2452.40,404.85k,-0.50
20171206,2474.37,2510.19,2510.47,2474.29,507.62k,-1.42
20171205,2510.12,2490.73,2513.68,2487.15,395.43k,0.34
20171204,2501.67,2486.72,2501.67,2476.29,323.85k,1.06
20171201,2475.41,2488.92,2488.92,2472.75,288.57k,-0.04
20171130,2476.37,2502.22,2506.32,2474.28,339.02k,-1.45
20171129,2512.90,2517.26,2524.41,2508.66,301.21k,-0.05
20171128,2514.19,2512.52,2521.06,2500.93,348.24k,0.25
20171127,2507.81,2544.74,2546.71,2506.69,284.89k,-1.44
20171124,2544.33,2539.79,2544.33,2533.98,297.94k,0.28
20171123,2537.15,2542.34,2544.58,2532.45,391.29k,-0.13
20171122,2540.51,2546.61,2553.22,2535.19,485.67k,0.39
20171121,2530.70,2533.85,2539.88,2525.96,484.89k,0.12
20171120,2527.67,2536.80,2542.62,2523.52,404.26k,-0.25
20171117,2533.99,2546.05,2559.10,2533.99,362.19k,-0.03
20171116,2534.79,2522.42,2538.28,2514.51,302.93k,0.66
20171115,2518.25,2525.60,2526.61,2511.76,398.22k,-0.33
20171114,2526.64,2532.55,2532.95,2520.99,287.77k,-0.15
20171113,2530.35,2548.27,2552.28,2527.20,266.53k,-0.50
20171110,2542.95,2541.18,2547.61,2534.60,291.53k,-0.30
20171109,2550.57,2559.93,2559.93,2536.54,293.54k,-0.07
20171108,2552.40,2534.48,2558.74,2533.73,277.04k,0.27
20171107,2545.44,2548.30,2554.13,2540.67,253.92k,-0.16
20171106,2549.41,2557.29,2559.90,2529.94,221.19k,-0.33
20171103,2557.97,2558.37,2558.37,2539.72,292.77k,0.46
20171102,2546.36,2560.34,2561.63,2542.02,527.73k,-0.40
20171101,2556.47,2535.97,2556.47,2535.83,361.80k,1.31
20171031,2523.43,2500.21,2528.32,2498.05,313.79k,0.86
20171030,2501.93,2513.87,2513.87,2497.42,342.01k,0.21
20171027,2496.63,2485.44,2499.15,2479.67,511.23k,0.64
20171026,2480.63,2489.60,2495.99,2480.63,646.88k,-0.48
20171025,2492.50,2495.87,2497.41,2481.48,599.43k,0.08
20171024,2490.49,2489.31,2497.35,2487.17,232.01k,0.02
20171023,2490.05,2497.65,2500.33,2485.48,274.20k,0.02
20171020,2489.54,2477.30,2489.54,2476.88,313.21k,0.67
20171019,2473.06,2485.72,2490.94,2468.67,236.63k,-0.40
20171018,2482.91,2481.53,2490.58,2475.67,244.25k,-0.06
20171017,2484.37,2484.96,2487.88,2478.76,199.05k,0.17
20171016,2480.05,2483.17,2487.71,2470.24,224.41k,0.26
20171013,2473.62,2473.65,2479.73,2468.14,234.80k,-0.05
20171012,2474.76,2461.70,2474.76,2459.48,256.21k,0.68
20171011,2458.16,2442.49,2458.16,2439.81,201.77k,1.00
20171010,2433.81,2425.63,2443.20,2421.10,221.74k,1.64
20170929,2394.47,2378.66,2394.47,2378.66,184.19k,0.90
20170928,2373.14,2374.10,2379.54,2365.67,194.77k,0.02
20170927,2372.57,2376.89,2377.18,2368.92,202.62k,-0.07
20170926,2374.32,2371.62,2381.31,2365.34,319.12k,-0.26
20170925,2380.40,2388.77,2392.44,2374.69,339.35k,-0.35
20170922,2388.71,2404.35,2409.30,2381.81,333.62k,-0.74
20170921,2406.50,2412.01,2415.13,2401.89,335.34k,-0.24
20170920,2412.20,2420.82,2429.12,2405.78,303.29k,-0.16
20170919,2416.05,2419.30,2422.05,2411.68,254.59k,-0.09
20170918,2418.21,2390.58,2418.24,2389.65,273.48k,1.35
20170915,2386.07,2368.44,2386.07,2365.37,298.74k,0.35
20170914,2377.66,2365.54,2377.66,2358.43,314.26k,0.74
20170913,2360.18,2370.54,2373.61,2360.17,318.87k,-0.22
20170912,2365.47,2372.02,2372.45,2359.12,333.57k,0.27
20170911,2359.08,2354.86,2369.72,2354.35,243.61k,0.66
20170908,2343.72,2350.19,2351.73,2340.63,214.59k,-0.11
20170907,2346.19,2328.94,2349.79,2328.92,277.04k,1.14
20170906,2319.82,2324.84,2325.56,2314.31,252.68k,-0.29
20170905,2326.62,2340.62,2340.62,2319.94,320.43k,-0.13
20170904,2329.65,2316.89,2344.82,2316.89,248.49k,-1.19
20170901,2357.69,2367.45,2370.25,2351.37,280.06k,-0.23
20170831,2363.19,2373.96,2377.02,2355.29,265.05k,-0.38
20170830,2372.29,2368.13,2372.29,2363.43,305.64k,0.32
20170829,2364.74,2356.20,2364.74,2332.85,223.09k,-0.23
20170828,2370.30,2376.38,2383.46,2366.23,226.87k,-0.35
20170825,2378.51,2381.47,2384.59,2372.67,341.96k,0.11
20170824,2375.84,2370.12,2382.72,2368.29,295.53k,0.40
20170823,2366.40,2376.53,2379.59,2360.71,228.62k,0.05
20170822,2365.33,2360.29,2369.02,2359.97,251.86k,0.44
20170821,2355.00,2363.38,2363.38,2351.96,207.23k,-0.14
20170818,2358.37,2340.19,2362.43,2340.19,201.48k,-0.14
20170817,2361.67,2351.61,2364.50,2346.74,255.77k,0.57
20170816,2348.26,2355.74,2358.46,2343.72,270.52k,0.60
20170814,2334.22,2336.02,2341.78,2327.80,214.03k,0.63
20170811,2319.71,2323.06,2335.12,2310.20,318.58k,-1.69
20170810,2359.47,2360.95,2371.50,2339.06,283.87k,-0.38
20170809,2368.39,2379.70,2387.53,2366.33,234.07k,-1.10
20170808,2394.73,2404.68,2410.22,2383.94,252.85k,-0.17
20170807,2398.75,2402.57,2412.13,2395.74,244.12k,0.14
20170804,2395.45,2389.74,2400.33,2383.45,273.57k,0.36
