fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,6672.95,6629.23,6675.03,6613.78,134.94,0.66
20180128,6629.11,6651.99,6663.41,6613.10,105.51,-0.34
20180125,6651.91,6636.16,6657.15,6595.24,109.22,0.24
20180124,6636.08,6630.13,6636.08,6611.14,95.81,0.09
20180123,6630.13,6624.92,6643.55,6610.76,114.84,0.08
20180122,6625.12,6620.49,6641.28,6613.54,131.13,0.07
20180121,6620.40,6639.38,6657.07,6591.10,142.96,-0.29
20180118,6639.38,6603.30,6642.35,6595.29,152.63,0.55
20180117,6603.30,6624.57,6624.57,6531.65,117.67,-0.32
20180116,6624.53,6626.64,6639.19,6600.24,140.69,-0.03
20180115,6626.60,6607.02,6631.55,6580.14,155.08,0.30
20180114,6606.94,6560.83,6608.70,6515.69,122.50,0.71
20180111,6560.63,6525.23,6560.63,6514.72,91.88,0.54
20180110,6525.23,6519.15,6527.50,6501.83,104.76,0.10
20180109,6518.99,6498.57,6524.04,6497.42,86.87,0.32
20180108,6498.49,6505.05,6530.64,6440.29,107.87,-0.10
20180107,6504.97,6454.20,6514.38,6448.78,131.14,0.79
20180104,6454.16,6401.08,6454.16,6358.89,148.87,0.83
20180103,6401.08,6312.52,6409.03,6238.56,116.64,1.40
20180102,6312.52,6408.05,6413.34,6287.86,59.24,-1.49
20171228,6408.01,6371.29,6412.97,6338.51,90.19,0.58
20171227,6371.29,6369.43,6371.39,6316.30,50.01,0.03
20171226,6369.43,6344.81,6369.43,6335.21,68.53,0.39
20171225,6344.77,6342.74,6347.38,6292.24,46.72,0.03
20171224,6342.66,6413.76,6457.51,6320.50,44.10,-1.11
20171221,6413.72,6384.56,6414.73,6242.80,58.01,0.46
20171220,6384.48,6420.72,6423.83,6328.19,42.64,-0.56
20171219,6420.64,6370.36,6421.32,6250.75,82.47,0.79
20171218,6370.24,6355.98,6373.87,6288.15,51.60,0.23
20171217,6355.90,6331.72,6405.62,6216.38,87.87,0.38
20171214,6331.72,6237.94,6332.62,6186.49,82.77,1.50
20171213,6237.87,6197.66,6237.87,6116.80,57.75,0.65
20171212,6197.58,6155.80,6197.58,6099.33,67.90,0.68
20171211,6155.60,6162.43,6165.48,6102.97,44.95,-0.11
20171210,6162.35,6186.98,6188.34,6130.47,21.82,-0.40
20171207,6186.94,6196.88,6208.99,6123.01,88.36,-0.16
20171206,6196.58,6214.24,6220.93,6130.16,53.18,-0.28
20171205,6214.12,6222.02,6234.28,6175.64,59.21,-0.13
20171204,6221.94,6214.21,6238.34,6196.61,76.99,0.13
20171203,6214.13,6196.50,6227.66,6196.50,63.71,0.28
20171129,6196.50,6210.06,6210.30,6168.19,74.41,-0.22
20171128,6210.02,6254.67,6259.48,6146.10,36.97,-0.71
20171127,6254.67,6256.67,6294.21,6245.32,76.64,-0.03
20171126,6256.67,6239.53,6286.38,6231.08,68.63,0.28
20171123,6239.37,6229.33,6246.78,6227.20,53.48,0.16
20171122,6229.21,6231.97,6248.33,6193.94,45.87,-0.04
20171121,6231.97,6257.80,6264.68,6210.42,59.80,-0.41
20171120,6257.72,6262.39,6288.44,6238.29,58.90,-0.07
20171119,6262.39,6309.35,6313.24,6145.37,63.08,-0.74
20171116,6309.31,6285.64,6309.40,6248.73,67.89,0.38
20171115,6285.56,6249.85,6294.48,6216.00,103.48,0.57
20171114,6250.06,6250.71,6253.27,6163.00,59.99,-0.01
20171113,6250.67,6176.06,6251.60,6174.51,84.59,1.21
20171112,6176.06,6258.47,6262.09,6167.77,81.51,-1.32
20171109,6258.47,6180.11,6258.61,6121.36,98.47,1.27
20171108,6180.07,6143.01,6180.07,6103.70,99.67,0.60
20171107,6143.01,6319.07,6353.42,6027.02,175.31,-2.79
20171106,6319.07,6468.20,6474.51,6313.82,133.63,-2.30
20171105,6468.16,6548.42,6548.42,6429.01,103.20,-1.23
20171102,6548.42,6529.72,6559.75,6515.54,68.37,0.28
20171101,6530.08,6513.99,6535.31,6508.26,67.12,0.25
20171031,6513.83,6561.47,6564.37,6483.26,89.89,-0.73
20171030,6561.55,6607.68,6610.60,6534.75,97.93,-0.70
20171029,6607.75,6623.53,6636.59,6587.34,78.42,-0.24
20171026,6623.49,6621.60,6641.64,6593.03,95.93,0.03
20171025,6621.40,6598.36,6621.52,6558.05,64.67,0.35
20171024,6598.36,6622.56,6624.62,6549.47,51.60,-0.37
20171023,6622.56,6650.06,6654.48,6594.86,62.55,-0.41
20171022,6650.06,6633.22,6651.74,6625.18,57.83,0.26
20171019,6633.07,6618.74,6636.61,6604.92,76.80,0.22
20171018,6618.66,6648.38,6649.20,6591.97,86.59,-0.45
20171017,6648.30,6635.96,6656.82,6628.49,80.56,0.19
20171016,6635.96,6621.99,6637.82,6619.43,67.97,0.21
20171015,6622.30,6629.13,6649.51,6613.07,82.44,-0.09
20171012,6628.54,6626.20,6642.62,6554.82,72.53,0.04
20171011,6626.12,6612.93,6641.01,6601.22,81.87,0.20
20171010,6613.22,6649.19,6654.23,6556.34,145.88,-0.54
20171009,6649.19,6660.82,6672.54,6609.45,179.47,-0.17
20171008,6660.70,6662.11,6679.00,6638.38,175.94,-0.02
20171005,6662.11,6692.66,6707.00,6648.99,221.84,-0.45
20171004,6692.56,6664.78,6693.25,6646.84,168.34,0.42
20171003,6664.82,6674.63,6722.89,6662.67,162.07,-0.15
20171002,6674.53,6671.63,6676.58,6644.15,121.21,0.04
20171001,6671.63,6680.49,6738.90,6656.00,156.13,-0.12
20170928,6679.73,6768.90,6773.47,6659.89,83.20,-1.32
20170927,6768.74,6764.70,6775.65,6739.91,118.18,0.06
20170926,6764.70,6767.47,6790.19,6750.16,89.53,-0.04
20170925,6767.52,6795.05,6810.23,6705.18,111.82,-0.41
20170924,6795.27,6849.11,6850.87,6785.19,126.38,-0.79
20170920,6849.11,6892.76,6893.20,6830.88,139.42,-0.63
20170919,6892.80,6890.37,6903.17,6864.08,166.39,0.04
20170918,6890.37,6911.77,6924.74,6868.60,159.96,-0.31
20170917,6911.70,6913.86,6915.24,6866.71,151.53,-0.03
20170914,6913.86,6924.88,6929.82,6892.71,169.58,-0.16
20170913,6924.92,6905.94,6924.92,6866.21,111.41,0.27
20170912,6905.98,6926.63,6926.63,6843.44,136.03,-0.30
20170911,6927.03,6926.47,6935.00,6911.04,158.56,0.01
20170910,6926.32,6897.42,6926.87,6879.98,120.14,0.42
20170907,6897.42,6917.90,6924.80,6884.12,92.66,-0.30
20170906,6918.00,6920.56,6929.15,6880.54,52.50,-0.04
20170905,6920.56,6892.10,6929.31,6884.83,87.23,0.41
20170830,6892.10,6899.45,6900.68,6854.71,84.74,-0.11
20170829,6899.45,6908.90,6917.80,6880.67,86.00,-0.14
20170828,6908.90,6914.27,6924.43,6864.29,65.95,-0.08
20170827,6914.27,6885.17,6920.63,6871.26,74.50,0.42
20170824,6885.17,6922.56,6922.78,6875.35,70.26,-0.54
20170823,6922.48,6932.01,6938.01,6896.11,69.27,-0.14
20170822,6932.01,6913.40,6942.18,6896.57,94.81,0.27
20170821,6913.36,6900.54,6926.39,6886.04,122.60,0.19
20170820,6900.58,6885.91,6904.55,6877.09,104.38,0.21
20170817,6885.84,6854.12,6887.04,6809.90,94.93,0.46
20170816,6854.12,6843.62,6858.86,6819.40,88.99,0.15
20170815,6843.66,6859.27,6865.24,6830.89,95.54,-0.23
20170814,6859.27,6846.11,6860.20,6803.00,71.37,0.19
20170813,6846.11,6845.01,6853.14,6805.98,74.12,0.02
20170810,6845.01,6824.15,6845.39,6792.62,71.58,0.32
20170809,6823.03,6829.92,6838.77,6788.33,67.85,-0.10
20170808,6829.92,6837.50,6843.20,6810.03,110.23,-0.11
20170807,6837.42,6812.08,6839.54,6793.04,56.04,0.37
20170806,6811.99,6825.70,6840.01,6787.65,47.75,-0.20
20170803,6825.70,6825.63,6835.36,6795.53,51.11,0.03
20170802,6823.95,6842.60,6843.74,6807.29,70.21,-0.27
20170801,6842.67,6851.73,6857.37,6817.27,61.04,-0.13
20170731,6851.62,6795.02,6852.47,6768.43,63.40,0.83
20170730,6795.24,6805.76,6811.87,6773.63,58.00,-0.15
20170727,6805.31,6845.83,6846.94,6777.25,100.55,-0.59
20170726,6845.76,6832.53,6861.15,6819.12,148.29,0.19
20170725,6832.53,6822.18,6837.81,6787.05,126.61,0.15
20170724,6822.18,6799.67,6829.11,6765.51,139.07,0.33
20170723,6799.67,6781.21,6811.17,6769.50,119.30,0.28
20170720,6781.02,6793.89,6796.45,6728.98,98.50,-0.19
20170719,6793.89,6813.11,6815.41,6773.20,114.96,-0.28
20170718,6813.11,6800.87,6817.44,6789.36,92.57,0.18
20170717,6800.91,6808.84,6821.30,6782.72,78.31,-0.12
20170716,6808.88,6788.34,6809.45,6750.14,50.74,0.30
20170713,6788.48,6794.56,6803.66,6756.14,50.28,-0.09
20170712,6794.52,6778.70,6794.64,6765.18,99.75,0.23
