fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,21374.35,21384.85,21466.60,21361.75,-,-0.03
20180126,21380.22,21240.26,21380.51,21227.17,-,0.63
20180125,21247.20,21266.33,21349.37,21200.08,-,0.00
20180124,21246.50,20953.28,21246.50,20953.28,-,1.22
20180123,20991.09,20964.51,21012.13,20933.20,-,0.20
20180122,20948.21,20928.72,20948.21,20869.60,-,0.07
20180119,20934.58,20863.82,20954.68,20843.06,-,0.42
20180118,20847.61,20824.00,20859.65,20784.76,-,0.19
20180117,20808.77,20847.00,20921.92,20808.16,-,-0.14
20180116,20838.56,20801.44,20909.23,20737.86,-,0.24
20180115,20788.49,20760.91,20827.14,20757.12,-,0.05
20180112,20777.07,20568.99,20778.22,20552.42,-,0.91
20180111,20588.82,20553.90,20640.51,20508.87,-,0.17
20180110,20554.53,20556.91,20619.99,20520.97,-,0.03
20180109,20547.98,20565.33,20568.38,20490.98,-,-0.00
20180108,20548.08,20632.83,20672.89,20531.51,-,-0.45
20180105,20640.87,20496.63,20645.54,20489.58,-,0.74
20180104,20490.25,20330.57,20526.53,20280.45,-,0.77
20180103,20333.73,20278.72,20358.34,20213.23,-,0.26
20180102,20280.67,19974.38,20280.67,19968.77,-,1.53
20171229,19974.38,19842.50,19981.50,19840.02,-,0.68
20171228,19839.44,19661.48,19839.44,19655.42,-,0.91
20171227,19661.48,19601.89,19685.24,19598.86,-,0.29
20171226,19604.92,19660.70,19681.24,19552.51,-,-0.28
20171222,19660.40,19235.68,19666.32,19120.96,-,2.18
20171221,19240.39,19322.08,19322.08,19194.14,-,-0.09
20171220,19257.26,19078.42,19290.68,19071.17,-,1.00
20171219,19066.22,18977.16,19088.21,18881.47,-,0.47
20171218,18977.16,18589.37,18978.00,18543.69,-,2.09
20171215,18589.37,18678.55,18708.95,18469.17,-,-0.35
20171214,18655.24,19260.68,19321.47,18645.60,-,-3.10
20171213,19251.16,19277.62,19315.82,19246.13,-,-0.20
20171212,19289.55,19203.17,19325.19,19198.52,-,0.43
20171211,19206.14,19233.11,19296.02,19188.06,-,-0.14
20171207,19232.22,19257.44,19290.79,19196.40,-,-0.05
20171206,19242.56,19432.09,19438.25,19241.76,-,-0.97
20171205,19430.59,19669.94,19669.94,19418.45,-,-1.16
20171204,19658.69,19771.61,19789.50,19629.34,-,-0.55
20171201,19766.72,19689.83,19805.42,19652.54,-,0.37
20171130,19694.09,19773.44,19796.39,19687.39,-,-0.45
20171129,19782.61,19803.56,19816.80,19689.63,-,-0.15
20171128,19811.52,19852.19,19871.49,19753.64,-,-0.11
