fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5320.15,5320.15,5320.15,5320.15,5.90k,-0.18
20180126,5329.99,5329.99,5329.99,5329.99,-,0.00
20180125,5329.99,5329.99,5329.99,5329.99,10.70k,0.30
20180124,5313.86,5313.86,5313.86,5313.86,5.49k,0.01
20180123,5313.42,5313.42,5313.42,5313.42,-,0.00
20180122,5313.42,5313.42,5313.42,5313.42,41.34k,0.08
20180119,5309.35,5309.35,5309.35,5309.35,12.40k,-0.14
20180118,5316.73,5316.73,5316.73,5316.73,-,0.00
20180117,5316.73,5316.73,5316.73,5316.73,-,0.00
20180116,5316.73,5316.73,5316.73,5316.73,138.56k,0.37
20180115,5297.19,5297.19,5297.19,5297.19,66.24k,-0.29
20180112,5312.82,5312.82,5312.82,5312.82,2.62k,0.89
20180111,5265.94,5265.94,5265.94,5265.94,0.23k,-0.15
20180110,5273.64,5273.64,5273.64,5273.64,2.36k,-0.34
20180109,5291.68,5291.68,5291.68,5291.68,-,-0.75
20180108,5331.58,5331.58,5331.58,5331.58,-,0.00
20180105,5331.58,5331.58,5331.58,5331.58,1.39k,0.00
20180104,5331.58,5331.58,5331.58,5331.58,7.26k,-0.22
20180103,5343.60,5343.60,5343.60,5343.60,0.47k,0.30
20180102,5327.57,5327.57,5327.57,5327.57,-,0.00
20171229,5327.57,5327.57,5327.57,5327.57,25.31k,0.30
20171228,5311.54,5311.54,5311.54,5311.54,-,0.00
20171227,5311.54,5311.54,5311.54,5311.54,-,0.00
20171226,5311.54,5311.54,5311.54,5311.54,-,0.00
20171222,5311.54,5311.54,5311.54,5311.54,-,0.00
20171221,5311.54,5311.54,5311.54,5311.54,-,0.00
20171220,5311.54,5311.54,5311.54,5311.54,0.47k,-0.07
20171219,5315.45,5315.45,5315.45,5315.45,0.71k,0.07
20171218,5311.54,5311.54,5311.54,5311.54,-,0.00
20171215,5311.54,5311.54,5311.54,5311.54,-,-0.60
20171214,5343.61,5343.61,5343.61,5343.61,-,0.00
20171213,5343.61,5343.61,5343.61,5343.61,78.44k,0.00
20171212,5343.61,5343.61,5343.61,5343.61,13.11k,0.01
20171211,5343.25,5343.25,5343.25,5343.25,9.47k,0.00
20171208,5343.25,5343.25,5343.25,5343.25,17.75k,0.00
20171207,5343.25,5343.25,5343.25,5343.25,3.10k,0.00
20171206,5343.25,5343.25,5343.25,5343.25,-,1.95
20171205,5241.08,5241.08,5241.08,5241.08,445.77k,-1.91
20171204,5343.25,5343.25,5343.25,5343.25,505.28k,0.00
20171201,5343.25,5343.25,5343.25,5343.25,1.60k,-0.07
20171130,5347.15,5347.15,5347.15,5347.15,5.46,0.68
20171129,5311.18,5311.18,5311.18,5311.18,11.69k,-0.68
20171128,5347.51,5347.51,5347.51,5347.51,16.58k,0.62
20171127,5314.49,5314.49,5314.49,5314.49,283.66k,0.00
20171124,5314.49,5314.49,5314.49,5314.49,1.00k,0.00
20171123,5314.49,5314.49,5314.49,5314.49,1.69,3.76
20171122,5122.10,5122.10,5122.10,5122.10,629.54k,0.00
20171121,5122.10,5122.10,5122.10,5122.10,14.64,0.00
20171120,5122.10,5122.10,5122.10,5122.10,2.82,0.00
20171117,5122.10,5122.10,5122.10,5122.10,13.12,0.00
20171116,5122.10,5122.10,5122.10,5122.10,180.71k,0.05
20171115,5119.70,5119.70,5119.70,5119.70,14.58k,0.00
20171114,5119.70,5119.70,5119.70,5119.70,151.92k,0.00
20171113,5119.70,5119.70,5119.70,5119.70,0.23k,0.00
