fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,12982.43,13010.56,13012.34,12955.02,-,-0.22
20180126,13010.56,13017.16,13018.28,12949.67,-,-0.05
20180125,13017.16,12999.99,13027.01,12996.31,-,0.13
20180124,12999.99,12955.25,13110.13,12951.00,-,0.35
20180123,12955.25,12963.94,12964.24,12901.68,-,-0.07
20180122,12963.94,12950.73,12963.94,12920.66,-,0.10
20180119,12950.73,12849.51,12972.09,12838.89,-,0.79
20180118,12849.51,12928.31,12928.31,12848.83,-,-0.61
20180117,12928.31,12939.66,12946.67,12855.34,-,-0.09
20180116,12939.66,12863.11,13028.65,12837.23,-,0.60
20180115,12863.11,12666.40,12874.37,12646.53,-,1.55
20180112,12666.40,12538.50,12666.40,12526.17,-,1.02
20180110,12538.50,12504.46,12551.41,12498.39,-,0.27
20180109,12504.46,12479.42,12508.82,12462.27,-,0.20
20180108,12479.42,12537.75,12568.29,12462.70,-,-0.47
20180105,12537.75,12463.08,12538.65,12430.09,-,0.60
20180104,12463.08,12509.58,12543.53,12434.17,-,-0.37
20180103,12509.58,12420.15,12510.45,12380.18,-,0.72
20180102,12420.15,12388.82,12442.75,12372.18,-,0.25
20171229,12388.82,12337.77,12410.46,12307.44,-,0.41
20171228,12337.77,12311.94,12389.74,12307.12,-,0.21
20171227,12311.94,12293.81,12322.65,12276.66,-,0.15
20171226,12293.81,12266.91,12308.48,12205.16,-,0.22
20171225,12266.91,12174.96,12266.91,12161.15,-,0.76
20171222,12174.96,12198.05,12198.05,12100.40,-,-0.19
20171221,12198.05,12251.32,12298.72,12198.05,-,-0.43
20171220,12251.32,12316.85,12318.05,12251.32,-,-0.53
20171219,12316.85,12334.29,12356.64,12307.00,-,-0.14
20171218,12334.29,12384.04,12389.00,12311.32,-,-0.40
20171215,12384.04,12441.73,12463.94,12384.04,-,-0.46
20171214,12441.73,12412.16,12442.51,12385.33,-,0.22
20171213,12414.85,12459.82,12461.56,12395.09,-,-0.36
20171212,12459.82,12332.14,12459.82,12323.61,-,1.04
20171211,12332.14,12386.90,12415.10,12332.14,-,-0.44
20171208,12386.90,12359.48,12421.18,12326.61,-,0.22
20171207,12359.48,12284.28,12444.22,12279.11,-,0.61
20171206,12284.28,12414.51,12444.78,12284.28,-,-1.05
20171205,12414.51,12454.85,12472.63,12405.36,-,-0.32
20171204,12454.85,12568.42,12577.59,12448.99,-,-0.90
20171130,12568.42,12656.66,12666.87,12539.22,-,-0.70
20171129,12656.66,12602.44,12656.88,12583.69,-,0.43
20171128,12602.44,12579.36,12611.70,12565.29,-,0.18
20171127,12579.36,12572.30,12607.13,12550.90,-,0.06
20171124,12572.30,12562.87,12580.86,12537.66,-,0.08
20171123,12562.87,12562.59,12579.39,12553.44,-,0.00
20171122,12562.59,12580.24,12583.88,12545.93,-,-0.14
20171121,12580.24,12597.29,12597.39,12551.69,-,-0.14
20171120,12597.29,12621.52,12637.65,12576.15,-,-0.19
20171117,12621.52,12618.09,12630.84,12574.68,-,0.03
20171116,12618.09,12686.68,12687.61,12608.76,-,-0.55
20171115,12687.87,12722.59,12728.28,12626.37,-,-0.27
20171114,12722.59,12744.19,12750.80,12690.32,-,-0.17
20171113,12744.19,12612.90,12744.19,12544.81,-,1.04
20171110,12612.90,12430.26,12613.01,12428.90,-,1.47
20171109,12430.26,12389.11,12430.68,12382.67,-,0.33
20171108,12389.11,12406.36,12437.28,12382.12,-,-0.14
20171107,12406.36,12451.64,12494.37,12406.36,-,-0.36
20171103,12451.64,12350.04,12451.64,12342.44,-,0.82
20171102,12350.04,12424.38,12434.10,12350.04,-,-0.60
20171101,12424.38,12373.04,12425.66,12367.23,-,0.41
20171031,12373.04,12334.33,12373.04,12328.51,-,0.31
20171030,12334.33,12402.61,12420.66,12334.33,-,-0.55
20171027,12402.61,12362.96,12406.56,12314.99,-,0.32
20171026,12362.96,12333.52,12366.01,12320.05,-,0.24
20171025,12333.52,12355.76,12366.85,12326.87,-,-0.18
20171024,12355.76,12320.93,12366.05,12305.45,-,0.28
20171023,12320.93,12306.90,12333.08,12302.26,-,0.11
20171020,12306.90,12368.27,12407.57,12306.90,-,-0.50
20171019,12368.27,12397.24,12403.81,12349.84,-,-0.23
20171018,12397.24,12350.39,12398.34,12334.87,-,0.38
20171017,12350.39,12371.94,12385.61,12349.90,-,-0.17
20171016,12371.94,12484.82,12484.82,12371.33,-,-0.90
20171013,12484.82,12427.99,12484.82,12383.99,-,0.46
20171012,12427.99,12423.91,12435.80,12399.65,-,0.03
20171011,12423.91,12425.14,12431.54,12396.68,-,-0.01
20171010,12425.14,12422.57,12425.14,12376.21,-,0.02
20171009,12422.57,12392.80,12422.57,12344.33,-,0.24
20171006,12392.80,12456.03,12463.59,12374.66,-,-0.51
20171005,12456.03,12503.66,12521.29,12422.83,-,-0.38
20171004,12503.66,12262.82,12522.57,12256.20,-,1.96
20171003,12262.82,12186.87,12262.82,12186.71,-,0.62
20171002,12186.87,12140.47,12282.52,12107.16,-,0.38
20170929,12140.47,12169.82,12233.77,12114.56,-,-0.24
20170928,12169.82,12259.60,12278.76,12147.32,-,-0.73
20170927,12259.60,12416.64,12417.20,12245.99,-,-1.26
20170926,12416.64,12438.37,12442.89,12389.58,-,-0.17
20170925,12438.37,12388.08,12438.37,12320.22,-,-0.03
20170921,12442.31,12435.56,12496.88,12423.75,-,0.05
