fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,2284.27,2295.34,2303.49,2280.92,-,-0.48
20180126,2295.26,2317.15,2317.15,2281.71,-,-1.07
20180125,2320.03,2311.56,2328.48,2307.62,-,0.57
20180124,2306.99,2297.69,2306.99,2283.20,-,0.35
20180123,2298.95,2311.99,2315.77,2281.52,-,-0.42
20180122,2308.61,2286.04,2308.61,2285.32,-,0.97
20180119,2286.33,2298.07,2306.79,2273.24,-,-0.48
20180118,2297.47,2279.34,2299.64,2279.34,-,0.86
20180117,2277.89,2250.71,2277.89,2231.70,-,0.89
20180116,2257.89,2262.09,2265.64,2232.92,-,-0.16
20180115,2261.53,2268.01,2280.17,2259.66,-,-0.04
20180112,2262.38,2245.70,2262.38,2234.42,-,0.71
20180111,2246.45,2232.19,2246.82,2221.61,-,0.64
20180110,2232.27,2227.33,2233.63,2213.77,-,0.31
20180109,2225.39,2211.40,2242.87,2211.40,-,0.81
20180105,2207.41,2196.69,2207.41,2188.35,-,0.45
20180104,2197.60,2153.87,2197.60,2153.87,-,2.07
20180103,2152.97,2111.24,2152.97,2111.24,-,2.05
20171229,2109.74,2102.81,2110.90,2091.93,-,0.33
20171228,2102.89,2105.98,2106.25,2088.67,-,-0.16
20171227,2106.17,2099.09,2108.74,2091.94,-,0.44
20171226,2097.03,2105.51,2107.48,2086.61,-,-0.38
20171225,2105.06,2109.38,2115.68,2100.76,-,0.10
20171222,2102.94,2095.56,2109.44,2089.60,-,0.46
20171221,2093.38,2101.23,2103.62,2082.29,-,-0.46
20171220,2102.97,2116.97,2120.57,2101.93,-,-0.72
20171219,2118.16,2133.93,2139.27,2112.99,-,-0.77
20171218,2134.58,2144.92,2155.92,2122.05,-,-0.44
20171215,2143.99,2151.23,2151.23,2135.85,-,-0.39
20171214,2152.41,2132.54,2152.41,2127.74,-,0.96
20171213,2131.94,2152.39,2158.25,2127.10,-,-1.33
20171212,2160.75,2151.96,2160.75,2142.06,-,0.57
20171211,2148.60,2104.62,2148.60,2104.62,-,2.07
20171208,2104.99,2106.38,2118.71,2097.29,-,0.09
20171207,2103.15,2120.80,2120.83,2100.87,-,-0.99
20171206,2124.12,2110.80,2126.16,2102.90,-,0.49
20171205,2113.69,2117.70,2117.70,2099.77,-,-0.27
20171204,2119.42,2104.90,2123.08,2087.37,-,0.64
20171201,2105.99,2102.54,2109.33,2091.89,-,0.26
20171130,2100.62,2121.93,2123.18,2092.20,-,-1.10
20171129,2124.08,2148.95,2150.88,2120.24,-,-1.18
20171128,2149.45,2144.53,2149.45,2126.06,-,0.17
20171127,2145.87,2159.02,2164.32,2139.12,-,-0.71
20171124,2161.17,2148.59,2163.61,2144.62,-,0.59
20171123,2148.56,2159.88,2160.64,2143.06,-,-0.54
20171122,2160.16,2158.33,2168.01,2151.30,-,0.20
20171121,2155.82,2132.50,2155.82,2132.50,-,1.19
20171120,2130.39,2132.40,2139.91,2123.76,-,-0.07
20171117,2131.91,2135.58,2139.43,2127.95,-,-0.03
20171116,2132.65,2135.18,2147.83,2112.20,-,0.04
20171115,2131.75,2159.83,2162.41,2131.75,-,-1.62
20171114,2166.83,2166.11,2185.56,2166.11,-,-0.04
20171113,2167.63,2169.85,2191.71,2167.63,-,-0.08
20171110,2169.26,2184.64,2190.56,2166.68,-,-0.66
20171109,2183.61,2162.00,2183.61,2156.48,-,0.95
20171108,2163.01,2155.21,2178.42,2144.98,-,0.35
20171107,2155.55,2092.78,2155.55,2092.78,-,3.57
20171103,2081.15,2073.17,2096.04,2073.17,-,0.39
20171102,2073.04,2080.53,2080.53,2065.69,-,-0.47
20171101,2082.73,2070.68,2089.83,2068.26,-,0.89
20171031,2064.31,2066.10,2079.28,2064.31,-,-0.05
20171030,2065.25,2069.45,2076.96,2064.74,-,-0.17
20171027,2068.76,2050.35,2068.76,2050.35,-,1.08
20171026,2046.69,2049.66,2053.53,2038.26,-,-0.14
20171025,2049.48,2063.20,2073.44,2048.78,-,-0.60
20171024,2061.79,2064.07,2066.21,2057.69,-,-0.10
20171023,2063.81,2073.55,2078.59,2060.43,-,-0.39
20171020,2071.83,2076.29,2079.64,2067.91,-,-0.04
20171019,2072.73,2094.56,2099.66,2071.60,-,-1.03
20171018,2094.40,2091.40,2101.35,2086.45,-,0.09
20171017,2092.57,2105.74,2106.49,2086.41,-,-0.66
20171016,2106.39,2102.25,2106.39,2098.07,-,0.36
20171013,2098.77,2094.94,2105.64,2092.40,-,0.18
20171012,2094.96,2101.33,2101.33,2090.86,-,-0.29
20171011,2101.07,2087.47,2103.29,2087.07,-,0.68
20171010,2086.91,2096.35,2096.35,2084.49,-,-0.45
20171009,2096.29,2094.16,2100.29,2086.74,-,0.12
20171006,2093.86,2089.39,2103.05,2089.39,-,0.27
20171005,2088.32,2076.78,2088.64,2071.19,-,0.54
20171004,2077.09,2076.50,2080.05,2068.73,-,0.01
20171003,2076.81,2076.53,2084.03,2072.83,-,0.05
20171002,2075.72,2077.16,2083.43,2072.72,-,-0.07
20170929,2077.19,2071.33,2077.28,2068.39,-,0.27
20170928,2071.64,2080.73,2084.39,2068.54,-,-0.46
20170927,2081.12,2072.27,2085.14,2065.79,-,0.48
20170926,2071.13,2071.62,2086.65,2070.49,-,0.10
20170925,2069.11,2050.52,2070.82,2046.01,-,0.85
20170922,2051.63,2059.01,2059.01,2046.35,-,-0.42
20170921,2060.24,2056.27,2066.41,2051.68,-,0.13
20170920,2057.53,2048.86,2058.08,2044.23,-,0.42
20170919,2048.99,2057.36,2059.16,2046.61,-,-0.49
20170918,2059.08,2055.41,2062.75,2053.60,-,0.26
20170915,2053.81,2051.47,2061.60,2041.28,-,0.08
20170914,2052.25,2054.66,2055.93,2036.22,-,-0.09
20170913,2054.19,2059.40,2072.96,2054.19,-,-0.22
20170912,2058.80,2045.85,2059.96,2044.07,-,0.72
20170911,2044.13,2038.78,2049.07,2032.92,-,0.56
20170908,2032.75,2010.55,2037.48,2010.55,-,1.12
20170907,2010.17,2017.52,2025.37,2010.17,-,-0.22
20170906,2014.60,2001.97,2015.63,1992.68,-,0.53
20170905,2004.02,2005.23,2014.03,1995.94,-,0.03
20170904,2003.32,2005.08,2012.29,1999.84,-,-0.38
20170901,2010.98,2021.93,2030.37,2008.49,-,-0.56
20170831,2022.22,2006.07,2030.86,2001.66,-,0.66
20170830,2008.88,1993.00,2009.29,1988.78,-,0.99
20170829,1989.12,1986.10,1989.12,1967.11,-,0.10
20170828,1987.15,1978.79,1987.23,1972.76,-,0.40
20170825,1979.14,1973.44,1981.79,1973.39,-,0.29
20170824,1973.50,1958.83,1973.50,1958.83,-,0.76
20170823,1958.52,1947.77,1958.58,1944.30,-,0.57
20170822,1947.40,1939.95,1948.28,1938.90,-,0.50
20170821,1937.66,1932.25,1943.78,1932.25,-,0.36
20170818,1930.71,1937.51,1937.51,1921.34,-,-0.56
20170817,1941.52,1941.55,1947.95,1936.95,-,-0.07
20170816,1942.88,1952.11,1957.62,1941.07,-,-0.38
20170815,1950.28,1950.42,1952.60,1938.58,-,-0.08
20170814,1951.75,1947.69,1960.38,1946.67,-,0.36
20170811,1944.83,1953.56,1953.56,1933.69,-,-0.79
20170810,1960.23,1977.15,1983.74,1959.05,-,-0.79
20170809,1975.91,1985.31,1987.95,1973.08,-,-0.69
20170808,1989.61,1970.30,1989.77,1969.75,-,0.98
20170807,1970.37,1953.62,1970.96,1953.62,-,0.86
20170804,1953.49,1962.46,1962.46,1950.57,-,-0.60
20170803,1965.29,1965.56,1976.36,1961.38,-,-0.01
20170802,1965.48,1940.95,1966.97,1940.77,-,1.31
20170801,1940.14,1924.77,1948.62,1924.77,-,1.07
20170731,1919.53,1917.34,1930.27,1904.56,-,0.15
20170728,1916.75,1940.79,1940.79,1904.26,-,-1.46
20170727,1945.12,1935.12,1945.12,1935.12,-,0.62
20170726,1933.10,1928.13,1938.56,1923.90,-,0.49
20170725,1923.73,1931.92,1936.25,1913.24,-,-0.42
20170724,1931.75,1921.52,1934.25,1914.60,-,0.34
20170721,1925.13,1946.19,1946.19,1921.00,-,-1.10
20170720,1946.51,1952.10,1959.33,1941.38,-,-0.28
20170719,1951.89,1929.67,1951.89,1925.70,-,0.21
20170718,1947.71,1956.56,1966.86,1944.81,-,-0.58
20170717,1959.11,1963.29,1972.49,1949.55,-,-0.08
20170714,1960.69,1959.86,1967.60,1955.09,-,0.04
20170713,1959.91,1951.66,1963.37,1946.61,-,0.28
20170712,1954.39,1938.36,1957.02,1938.36,-,0.86
20170711,1937.64,1927.34,1938.11,1919.19,-,0.62
20170710,1925.74,1912.76,1928.10,1908.99,-,0.69
20170707,1912.48,1906.72,1914.29,1897.87,-,-0.56
20170706,1923.22,1920.59,1929.43,1911.96,-,0.10
20170705,1921.38,1917.36,1924.53,1912.31,-,0.21
20170704,1917.40,1902.64,1919.23,1899.17,-,0.78
20170703,1902.59,1886.72,1902.59,1881.98,-,1.23
20170630,1879.50,1879.16,1895.98,1877.57,-,-0.08
20170629,1881.04,1896.12,1902.80,1877.13,-,-0.58
20170628,1891.98,1877.04,1893.65,1864.88,-,0.69
20170627,1878.94,1857.24,1884.41,1849.42,-,1.00
20170626,1860.39,1870.33,1880.11,1857.03,-,-0.38
20170623,1867.46,1859.63,1876.36,1850.22,-,0.40
20170622,1860.05,1842.62,1863.42,1836.02,-,0.50
20170621,1850.81,1858.24,1861.03,1844.06,-,-0.38
20170620,1857.96,1850.38,1870.56,1846.70,-,0.44
20170619,1849.78,1820.83,1851.70,1820.11,-,1.47
20170616,1822.91,1818.87,1833.70,1811.45,-,0.28
20170615,1817.82,1833.42,1833.42,1774.56,-,-1.12
20170614,1838.32,1861.50,1862.30,1834.51,-,-1.23
20170613,1861.27,1871.07,1871.29,1857.26,-,-1.17
20170609,1883.34,1873.26,1888.92,1866.30,-,0.49
20170608,1874.21,1869.49,1874.45,1851.63,-,0.31
20170607,1868.42,1870.69,1889.45,1867.97,-,-0.09
20170606,1870.04,1877.36,1882.94,1867.88,-,-0.41
20170605,1877.69,1882.83,1894.50,1871.29,-,-0.22
20170602,1881.87,1868.75,1881.97,1849.57,-,0.65
20170601,1869.66,1900.89,1904.82,1862.60,-,-1.62
20170531,1900.38,1934.03,1936.65,1893.39,-,-1.68
20170530,1932.91,1938.06,1939.74,1927.28,-,-0.40
20170529,1940.77,1934.66,1945.82,1931.45,-,0.34
20170526,1934.25,1944.16,1945.03,1930.76,-,-0.67
20170525,1947.26,1955.83,1960.95,1939.97,-,-0.24
20170524,1951.98,1958.22,1965.95,1936.99,-,-0.42
20170523,1960.16,1950.27,1966.19,1945.50,-,0.49
20170522,1950.51,1966.66,1966.66,1941.78,-,-0.61
20170519,1962.40,1969.73,1977.03,1954.32,-,-0.27
20170518,1967.66,1989.05,1996.85,1961.20,-,-1.34
20170517,1994.35,1989.02,1999.56,1982.97,-,0.07
20170516,1992.94,2000.20,2002.25,1987.21,-,-0.51
20170515,2003.12,1995.60,2008.11,1984.06,-,0.43
20170512,1994.58,2003.92,2004.03,1983.83,-,-0.40
20170511,2002.54,2028.26,2028.58,1991.81,-,-1.27
20170510,2028.21,2012.84,2028.21,2005.40,-,1.29
20170505,2002.41,1989.88,2002.41,1982.97,-,0.18
20170504,1998.87,1994.16,2015.61,1989.44,-,0.26
20170503,1993.66,2024.40,2027.65,1992.33,-,-1.64
20170502,2026.85,2022.19,2044.24,2020.55,-,0.50
20170428,2016.71,2021.74,2031.06,2011.02,-,0.25
20170427,2011.67,2024.49,2024.49,2005.35,-,-0.75
20170426,2026.92,2000.80,2031.08,1994.52,-,1.43
20170425,1998.41,1983.23,2002.37,1969.04,-,0.95
20170424,1979.57,1954.31,1979.76,1954.31,-,1.79
20170421,1944.72,1932.82,1955.43,1932.82,-,0.65
20170420,1932.17,1912.70,1932.25,1900.72,-,0.82
20170419,1916.50,1920.19,1932.81,1911.35,-,-0.20
20170418,1920.29,1944.28,1949.52,1914.44,-,-1.15
20170417,1942.72,1917.13,1944.93,1902.48,-,1.38
20170414,1916.29,1943.65,1943.65,1913.71,-,-1.46
20170413,1944.70,1954.39,1954.81,1916.67,-,-0.16
20170412,1947.88,1985.69,1986.56,1942.58,-,-1.52
20170411,1977.95,1969.12,1994.26,1965.80,-,0.34
20170410,1971.23,2017.75,2018.03,1965.58,-,-2.43
20170407,2020.23,2046.78,2048.63,2010.92,-,-1.68
20170406,2054.69,2052.05,2058.11,2043.42,-,-0.08
20170405,2056.32,2028.71,2057.03,2028.12,-,1.51
20170404,2025.69,2007.90,2028.01,2005.61,-,0.85
20170403,2008.61,1998.55,2014.18,1992.67,-,0.64
20170331,1995.90,2021.16,2022.24,1992.95,-,-1.28
20170330,2021.88,2025.00,2026.94,2012.07,-,-0.09
20170329,2023.71,2032.49,2037.58,2013.13,-,-0.43
20170328,2032.54,2016.95,2032.54,2010.92,-,0.96
20170327,2013.16,2034.10,2034.10,1997.92,-,-1.30
20170324,2039.77,2047.78,2052.90,2036.30,-,-0.55
20170323,2051.04,2065.37,2072.91,2040.18,-,-0.51
20170322,2061.53,2042.65,2061.53,2030.55,-,0.66
20170321,2048.07,2045.19,2067.40,2040.55,-,0.26
20170320,2042.72,2038.99,2051.50,2024.85,-,0.28
20170317,2036.96,2015.59,2045.85,2013.82,-,1.12
20170316,2014.37,2001.82,2021.05,1998.24,-,1.09
20170315,1992.59,2003.09,2018.39,1989.12,-,-0.43
20170314,2001.25,2001.40,2018.42,1990.55,-,0.06
20170313,2000.14,1972.66,2001.71,1968.61,-,1.33
20170310,1973.96,1977.75,1989.06,1965.23,-,-0.01
20170309,1974.24,2010.85,2020.04,1971.73,-,-2.50
20170307,2024.84,2047.59,2048.98,2009.00,-,-1.10
20170306,2047.42,2056.63,2071.69,2045.28,-,-0.46
20170303,2056.89,2046.61,2056.89,2032.27,-,0.39
20170302,2049.00,2062.61,2076.71,2044.25,-,-0.53
20170301,2059.87,2034.28,2063.67,2030.49,-,1.18
20170228,2035.77,2057.74,2057.77,2027.05,-,-1.01
20170227,2056.46,2095.51,2097.20,2054.93,-,-1.75
20170224,2093.09,2106.96,2106.96,2081.35,-,-0.63
20170222,2106.30,2128.98,2130.80,2094.85,-,-1.01
20170221,2127.72,2118.85,2135.97,2111.55,-,0.41
20170220,2119.09,2132.47,2136.80,2113.03,-,-0.43
20170217,2128.21,2148.58,2148.84,2125.45,-,-0.94
20170216,2148.48,2138.70,2148.48,2127.04,-,0.53
20170215,2137.08,2140.20,2156.36,2109.93,-,-0.21
20170214,2141.50,2162.13,2162.13,2135.01,-,-0.92
20170213,2161.49,2165.12,2174.73,2150.52,-,-0.03
20170210,2162.19,2176.79,2182.18,2156.81,-,-0.54
20170209,2173.98,2192.24,2196.08,2160.42,-,-0.71
20170208,2189.61,2215.34,2217.37,2180.21,-,-1.31
20170207,2218.77,2210.87,2218.77,2201.22,-,0.37
20170206,2210.51,2228.85,2230.86,2202.20,-,-0.72
20170203,2226.61,2219.49,2228.05,2213.22,-,0.41
20170202,2217.56,2231.66,2236.80,2210.14,-,-0.63
20170201,2231.68,2219.19,2231.68,2214.00,-,0.64
