fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,34787.40,35126.22,35182.93,34257.21,-,-0.96
20180126,35126.22,35141.72,35334.84,34885.94,-,-0.04
20180125,35141.72,34948.56,35189.15,34686.85,-,0.55
20180124,34948.56,33893.42,34980.66,33893.42,-,3.11
20180123,33893.42,33525.47,33950.97,33506.96,-,1.10
20180122,33525.47,33591.70,33703.06,33432.48,-,-0.20
20180119,33591.70,34049.35,34147.84,33266.97,-,-1.34
20180118,34049.35,33598.21,34100.02,33598.01,-,1.34
20180117,33598.21,33521.63,33879.16,33417.51,-,0.23
20180116,33521.63,33622.84,33697.54,33076.95,-,-0.30
20180115,33622.84,32719.70,33698.19,32697.54,-,2.76
20180112,32719.70,32078.22,32765.65,32076.42,-,2.00
20180111,32078.22,31632.36,32108.07,31609.98,-,1.41
20180110,31632.36,32138.59,32144.13,31219.56,-,-1.58
20180109,32138.59,32351.20,32648.40,32104.49,-,-0.66
20180108,32351.20,32190.30,32419.43,31880.30,-,0.50
20180105,32190.30,31951.99,32242.04,31697.82,-,0.75
20180104,31951.99,31476.26,32000.55,31421.35,-,1.51
20180103,31476.26,31084.42,31496.50,30819.93,-,1.26
20180102,31084.42,30065.61,31143.73,30065.61,-,3.39
20171229,30065.61,29974.54,30172.96,29838.77,-,0.30
20171228,29974.54,29193.48,30277.53,29193.48,-,2.68
20171227,29193.48,29185.62,29562.04,29072.89,-,0.03
20171226,29185.62,28931.54,29465.28,28931.54,-,0.88
20171222,28931.54,28480.71,29020.09,28480.71,-,1.58
20171221,28480.71,28068.96,28559.63,28068.96,-,1.47
20171220,28068.96,27706.71,28123.24,27706.71,-,1.31
20171219,27706.71,27137.32,27934.42,27128.26,-,2.10
20171218,27137.32,27021.94,27354.76,27021.94,-,0.43
20171215,27021.94,27139.10,27450.48,26946.55,-,-0.43
20171214,27139.10,27034.57,27371.46,26854.41,-,0.39
20171213,27034.57,27341.58,27569.16,27004.63,-,-1.12
20171212,27341.58,27307.06,27586.38,27284.41,-,0.13
20171211,27307.06,26841.50,27342.04,26841.50,-,1.73
20171207,26841.50,26470.45,26874.85,26341.76,-,1.40
20171206,26470.45,26483.00,26616.59,26171.66,-,-0.05
20171205,26483.00,26834.30,26933.75,26379.49,-,-1.31
20171204,26834.30,26941.63,27130.31,26806.85,-,-0.40
20171201,26941.63,26905.26,27158.88,26894.74,-,0.14
20171130,26905.26,26902.88,27125.73,26720.48,-,0.01
20171129,26902.88,26912.15,27046.83,26768.21,-,-0.03
20171128,26912.15,27122.35,27259.47,26850.25,-,-0.78
20171127,27122.35,27464.78,27657.33,27122.35,-,-1.25
20171124,27464.78,27293.31,27605.80,27289.76,-,0.63
20171123,27293.31,27327.97,27590.71,27083.67,-,-0.13
20171122,27327.97,27266.05,27615.54,27266.05,-,0.23
20171121,27266.05,27128.50,27352.61,27124.09,-,0.51
20171117,27128.50,27267.30,27638.38,26953.54,-,-0.51
20171116,27267.30,26312.68,27289.05,26312.68,-,3.63
20171115,26312.68,25611.01,26543.85,25194.27,-,2.74
20171114,25611.01,26714.90,26741.69,25394.52,-,-4.13
20171113,26714.90,27080.55,27217.28,26565.15,-,-1.35
20171110,27080.55,27951.54,28086.16,27047.15,-,-3.12
20171109,27951.54,28081.57,28374.48,27921.23,-,-0.46
20171108,28081.57,28120.22,28345.31,27997.41,-,-0.14
20171107,28120.22,27978.33,28545.17,27978.33,-,0.51
20171103,27978.33,27944.45,28034.49,27709.07,-,0.12
20171102,27944.45,27979.83,28200.38,27661.82,-,-0.13
20171101,27979.83,27935.28,28357.47,27923.28,-,0.16
