fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,21531.24,21531.24,21531.24,21531.24,-,0.25
20180126,21476.97,21476.97,21476.97,21476.97,-,0.31
20180125,21410.57,21410.57,21410.57,21410.57,-,0.12
20180124,21384.24,21384.24,21384.24,21384.24,-,0.24
20180123,21332.12,21332.12,21332.12,21332.12,-,0.09
20180122,21313.32,21313.32,21313.32,21313.32,-,0.82
20180119,21139.54,21139.54,21139.54,21139.54,-,0.33
20180118,21070.43,21070.43,21070.43,21070.43,-,0.96
20180117,20869.61,20869.61,20869.61,20869.61,-,0.35
20180116,20795.92,20795.92,20795.92,20795.92,-,0.06
20180115,20782.55,20782.55,20782.55,20782.55,-,-0.02
20180112,20786.81,20786.81,20786.81,20786.81,-,0.20
20180111,20746.16,20746.16,20746.16,20746.16,-,0.49
20180110,20645.73,20645.73,20645.73,20645.73,-,-0.45
20180109,20739.92,20739.92,20739.92,20739.92,-,-0.60
20180108,20865.21,20865.21,20865.21,20865.21,-,-2.28
20180105,21351.66,21351.66,21351.66,21351.66,-,-0.33
20180104,21423.01,21423.01,21423.01,21423.01,-,-0.74
20180103,21583.10,21583.10,21583.10,21583.10,-,1.34
20180102,21298.68,21298.68,21298.68,21298.68,-,2.71
20171228,20736.93,20736.93,20736.93,20736.93,-,3.13
20171227,20106.78,20106.78,20106.78,20106.78,-,1.19
20171226,19870.11,19870.11,19870.11,19870.11,-,-0.69
20171225,20008.27,20008.27,20008.27,20008.27,-,-3.85
20171222,20809.18,20809.18,20809.18,20809.18,-,-3.71
20171221,21610.60,21610.60,21610.60,21610.60,-,0.19
20171220,21570.64,21570.64,21570.64,21570.64,-,0.80
20171219,21399.68,21399.68,21399.68,21399.68,-,0.36
20171218,21322.29,21322.29,21322.29,21322.29,-,-0.81
20171215,21495.97,21495.97,21495.97,21495.97,-,-1.29
20171214,21776.06,21776.06,21776.06,21776.06,-,-2.70
20171213,22381.23,22381.23,22381.23,22381.23,-,-2.59
20171212,22975.88,22975.88,22975.88,22975.88,-,-0.35
20171211,23056.60,23056.60,23056.60,23056.60,-,-0.27
20171208,23119.06,23119.06,23119.06,23119.06,-,-1.38
20171207,23441.80,23441.80,23441.80,23441.80,-,-3.60
20171206,24317.38,24317.38,24317.38,24317.38,-,-0.83
20171205,24520.35,24520.35,24520.35,24520.35,-,2.48
20171204,23927.97,23927.97,23927.97,23927.97,-,-8.57
20171201,26170.54,26170.54,26170.54,26170.54,-,0.84
20171130,25951.71,25951.71,25951.71,25951.71,-,9.37
20171129,23728.41,23728.41,23728.41,23728.41,-,-0.67
20171128,23887.85,23887.85,23887.85,23887.85,-,-0.10
20171127,23910.87,23910.87,23910.87,23910.87,-,0.43
20171124,23807.46,23807.46,23807.46,23807.46,-,0.94
20171123,23586.66,23586.66,23586.66,23586.66,-,2.80
