fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,802.56,802.56,802.56,802.56,-,-0.79
20180125,808.96,808.96,808.96,808.96,-,0.07
20180124,808.42,808.42,808.42,808.42,-,2.76
20180123,786.70,786.70,786.70,786.70,-,0.61
20180122,781.94,781.94,781.94,781.94,-,1.83
20180119,767.85,767.85,767.85,767.85,-,1.19
20180118,758.85,758.85,758.85,758.85,-,-0.67
20180117,763.98,763.98,763.98,763.98,-,-1.44
20180116,775.13,775.13,775.13,775.13,-,-1.07
20180115,783.54,783.54,783.54,783.54,-,-1.52
20180112,795.62,795.62,795.62,795.62,-,2.04
20180111,779.72,779.72,779.72,779.72,-,0.28
20180110,777.54,777.54,777.54,777.54,-,0.67
20180109,772.37,772.37,772.37,772.37,-,-0.56
20171229,776.69,776.69,776.69,776.69,-,1.72
20171228,763.57,763.57,763.57,763.57,-,2.22
20171227,746.97,746.97,746.97,746.97,-,-0.43
20171226,750.20,750.20,750.20,750.20,-,-0.29
20171225,752.35,752.35,752.35,752.35,-,-0.25
20171222,754.22,754.22,754.22,754.22,-,-0.16
20171221,755.40,755.40,755.40,755.40,-,0.11
20171220,754.59,754.59,754.59,754.59,-,-0.35
20171219,757.22,757.22,757.22,757.22,-,0.59
20171218,752.76,752.76,752.76,752.76,-,-1.02
20171215,760.51,760.51,760.51,760.51,-,0.31
20171214,758.19,758.19,758.19,758.19,-,-0.70
20171213,763.54,763.54,763.54,763.54,-,-0.14
20171212,764.61,764.61,764.61,764.61,-,-0.69
20171211,769.89,769.89,769.89,769.89,-,-0.80
20171208,776.11,776.11,776.11,776.11,-,-1.52
20171207,788.07,788.07,788.07,788.07,-,-0.13
20171206,789.09,789.09,789.09,789.09,-,0.02
20171205,788.91,788.91,788.91,788.91,-,-1.96
20171204,804.66,804.66,804.66,804.66,-,0.86
20171201,797.83,797.83,797.83,797.83,-,0.09
20171130,797.14,797.14,797.14,797.14,-,0.52
20171129,793.04,793.04,793.04,793.04,-,0.50
20171128,789.11,789.11,789.11,789.11,-,-2.07
20171127,805.78,805.78,805.78,805.78,-,0.30
20171124,803.34,803.34,803.34,803.34,-,-0.74
20171123,809.29,809.29,809.29,809.29,-,-0.28
20171122,811.56,811.56,811.56,811.56,-,0.28
20171121,809.27,809.27,809.27,809.27,-,0.37
20171120,806.28,806.28,806.28,806.28,-,-0.13
20171117,807.34,807.34,807.34,807.34,-,-0.36
20171116,810.22,810.22,810.22,810.22,-,0.00
20171115,810.22,810.22,810.22,810.22,-,0.05
20171114,809.80,809.80,809.80,809.80,-,0.01
20171113,809.68,809.68,809.68,809.68,-,-0.35
20171110,812.49,812.49,812.49,812.49,-,1.03
20171109,804.22,804.22,804.22,804.22,-,-0.84
20171108,811.00,811.00,811.00,811.00,-,-0.01
20171107,811.12,811.12,811.12,811.12,-,1.10
20171106,802.32,802.32,802.32,802.32,-,-0.19
20171103,803.84,803.84,803.84,803.84,-,-0.27
20171102,806.00,806.00,806.00,806.00,-,-1.18
20171101,815.64,815.64,815.64,815.64,-,-0.81
20171031,822.27,822.27,822.27,822.27,-,0.68
20171030,816.74,816.74,816.74,816.74,-,0.20
20171027,815.13,815.13,815.13,815.13,-,-0.26
20171026,817.29,817.29,817.29,817.29,-,0.16
20171025,815.98,815.98,815.98,815.98,-,-0.51
20171024,820.16,820.16,820.16,820.16,-,-0.27
20171023,822.36,822.36,822.36,822.36,-,-1.64
20171020,836.09,836.09,836.09,836.09,-,0.83
