fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,4463.12,4463.12,4463.12,4463.12,-,-0.35
20180125,4478.59,4478.59,4478.59,4478.59,-,0.09
20180124,4474.50,4474.50,4474.50,4474.50,-,0.51
20180123,4451.88,4451.88,4451.88,4451.88,-,-0.02
20180122,4452.73,4452.73,4452.73,4452.73,-,-0.35
20180119,4468.41,4468.41,4468.41,4468.41,-,0.13
20180118,4462.77,4462.77,4462.77,4462.77,-,-0.27
20180117,4474.66,4474.66,4474.66,4474.66,-,0.32
20180116,4460.49,4460.49,4460.49,4460.49,-,0.19
20180115,4451.94,4451.94,4451.94,4451.94,-,-0.52
20180112,4475.34,4475.34,4475.34,4475.34,-,-0.10
20180111,4480.00,4480.00,4480.00,4480.00,-,-0.01
20180110,4480.49,4480.49,4480.49,4480.49,-,0.04
20180109,4478.57,4478.57,4478.57,4478.57,-,-0.27
20180108,4490.48,4490.48,4490.48,4490.48,-,-0.23
20180105,4501.05,4501.05,4501.05,4501.05,-,0.08
20180104,4497.28,4497.28,4497.28,4497.28,-,-0.47
20180103,4518.31,4518.31,4518.31,4518.31,-,0.21
20171229,4509.00,4509.00,4509.00,4509.00,-,0.79
20171228,4473.88,4473.88,4473.88,4473.88,-,-0.08
20171227,4477.46,4477.46,4477.46,4477.46,-,0.63
20171222,4449.48,4449.48,4449.48,4449.48,-,-0.11
20171221,4454.54,4454.54,4454.54,4454.54,-,-0.01
20171220,4454.98,4454.98,4454.98,4454.98,-,0.11
20171219,4450.10,4450.10,4450.10,4450.10,-,-0.50
20171218,4472.51,4472.51,4472.51,4472.51,-,0.35
20171215,4456.87,4456.87,4456.87,4456.87,-,0.40
20171214,4439.09,4439.09,4439.09,4439.09,-,-0.70
20171212,4470.56,4470.56,4470.56,4470.56,-,0.59
20171211,4444.41,4444.41,4444.41,4444.41,-,0.71
20171207,4413.28,4413.28,4413.28,4413.28,-,-0.24
20171206,4423.97,4423.97,4423.97,4423.97,-,0.46
20171205,4403.74,4403.74,4403.74,4403.74,-,0.50
20171204,4382.02,4382.02,4382.02,4382.02,-,-0.94
20171201,4423.52,4423.52,4423.52,4423.52,-,0.74
20171130,4391.09,4391.09,4391.09,4391.09,-,-0.91
20171129,4431.31,4431.31,4431.31,4431.31,-,-0.30
20171128,4444.59,4444.59,4444.59,4444.59,-,0.77
20171127,4410.65,4410.65,4410.65,4410.65,-,-0.21
20171124,4419.77,4419.77,4419.77,4419.77,-,-1.34
