fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,5002.69,4991.26,5008.54,4991.26,7.97,0.23
20180128,4991.38,5007.08,5012.81,4988.16,5.79,-0.33
20180125,5007.77,4974.50,5007.77,4974.50,8.96,0.68
20180124,4973.79,4978.01,4985.95,4973.33,15.97,-0.08
20180123,4978.01,4989.09,4992.20,4976.95,5.25,-0.22
20180122,4989.09,4978.60,4995.19,4978.60,6.79,0.21
20180121,4978.60,5026.75,5027.79,4978.46,3.32,-0.90
20180118,5024.06,5032.10,5032.49,5010.35,5.33,-0.15
20180117,5031.73,5039.86,5039.86,5031.59,2.80,-0.16
20180116,5039.86,5071.71,5077.34,5039.55,3.94,-0.58
20180115,5069.25,5081.57,5081.57,5067.50,4.28,-0.40
20180114,5089.48,5086.55,5092.28,5083.69,3.51,0.04
20180111,5087.47,5099.88,5105.51,5084.84,10.08,-0.24
20180110,5099.53,5105.39,5105.73,5099.53,5.32,-0.13
20180109,5106.28,5107.97,5114.39,5102.90,6.72,-0.03
20180108,5107.97,5120.06,5123.03,5107.78,2.42,-0.22
20180107,5119.18,5106.81,5123.22,5106.81,8.14,0.28
20180104,5104.87,5092.25,5104.89,5092.25,6.87,0.32
20180103,5088.72,5086.06,5098.29,5086.06,6.28,-0.10
20180102,5093.69,5082.23,5094.83,5082.23,2.48,0.23
20180101,5082.23,5099.28,5099.34,5078.85,1.93,-0.33
20171231,5099.28,5051.29,5099.43,5051.29,7.13,1.03
20171228,5047.14,5040.79,5064.81,5040.28,6.36,0.13
20171227,5040.43,5006.69,5041.58,5006.69,7.13,0.67
20171226,5006.69,5023.49,5026.03,5006.69,1.19,-0.33
20171225,5023.49,5054.61,5054.61,5023.49,1.76,-0.62
20171224,5054.77,5063.27,5066.78,5054.04,3.99,-0.17
20171221,5063.33,5069.86,5075.74,5062.39,2.84,-0.13
20171220,5069.91,5070.35,5078.94,5066.85,5.81,-0.01
20171219,5070.35,5087.84,5094.64,5070.35,6.62,-0.34
