fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,566.21,567.48,567.48,565.11,-,-0.10
20180126,566.79,565.00,567.70,564.40,61.20,0.30
20180125,565.07,564.80,569.21,563.35,84.89,-0.17
20180124,566.04,570.04,570.44,566.04,80.16,-0.80
20180123,570.60,572.75,572.81,569.26,92.87,-0.04
20180122,570.82,569.08,570.90,568.86,76.78,0.27
20180119,569.30,565.67,570.27,565.54,84.82,0.50
20180118,566.49,565.88,566.49,564.15,89.79,0.57
20180117,563.28,561.72,564.09,561.33,88.43,0.37
20180116,561.18,561.70,562.70,560.26,75.08,0.02
20180115,561.06,561.50,562.23,559.86,56.71,-0.01
20180112,561.10,559.99,561.10,557.93,87.55,0.40
20180111,558.89,561.33,561.33,557.83,103.33,-0.28
20180110,560.44,562.17,563.30,559.16,113.49,-0.46
20180109,563.04,562.24,563.31,561.24,108.09,0.38
20180108,560.89,559.82,561.32,559.53,68.96,0.49
20180105,558.16,554.59,558.16,554.17,79.15,0.74
20180104,554.06,551.37,555.00,550.91,97.56,0.86
20180103,549.34,546.46,551.02,546.10,96.59,0.84
20180102,544.79,545.24,545.38,540.34,66.57,0.04
20171229,544.58,546.20,547.72,544.04,46.94,-0.45
20171228,547.06,548.35,548.94,546.47,41.09,-0.28
20171227,548.60,548.51,549.86,546.44,43.13,0.02
20171222,548.48,548.33,549.18,546.89,46.67,-0.17
20171221,549.39,546.27,549.72,544.08,72.73,0.37
20171220,547.38,552.21,552.26,545.19,75.90,-0.84
20171219,552.03,553.84,555.12,551.91,68.93,-0.23
20171218,553.29,551.57,553.65,551.15,81.76,0.84
20171215,548.67,546.61,548.67,545.65,144.95,0.22
20171214,547.47,550.16,550.60,547.47,88.65,-0.56
20171213,550.56,551.65,552.85,550.56,100.19,-0.42
20171212,552.87,550.09,552.87,548.96,116.44,0.81
20171211,548.41,548.81,548.92,547.20,93.22,0.22
20171208,547.22,547.30,548.90,546.36,112.56,0.50
20171207,544.51,543.65,544.67,542.08,116.56,0.32
20171206,542.77,539.15,543.75,538.30,86.97,-0.06
20171205,543.08,542.51,543.88,540.19,94.20,0.28
20171204,541.54,541.99,543.55,539.82,97.76,1.11
20171201,535.57,540.95,541.40,535.29,108.77,-0.84
20171130,540.11,541.11,545.02,540.11,150.61,-0.24
20171129,541.42,546.13,546.60,540.18,96.37,-0.40
20171128,543.59,539.40,544.98,539.04,90.84,1.02
20171127,538.09,539.84,542.95,538.05,75.84,-0.47
20171124,540.63,541.61,543.53,540.63,65.67,-0.13
20171123,541.35,538.60,542.39,537.76,62.85,0.25
20171122,540.02,542.16,544.43,540.02,92.79,-0.33
20171121,541.82,539.50,543.20,538.75,97.30,0.39
